Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
61,100,2,600,0.007915,0.023557,0.249106,0.026177,0.022699,0.026193,0.022035,0.027761,0.021775,0.026754,0.02239,0.026719,0.021532,0.02794,0.021801,0.027682
81,100,2,600,0.010822,0.042677,0.334791,0.046589,0.040525,0.058665,0.077231,0.077416,0.07518,0.074614,0.074878,0.064237,0.061533,0.051226,0.082377,0.079954
101,100,2,600,0.021612,0.080181,0.79942,0.090059,0.074495,0.079124,0.069632,0.086512,0.062801,0.105513,0.058904,0.071122,0.05893,0.074584,0.072845,0.083828
1,100,2,600,0.017025,0.000154,0.002335,8.8e-05,0.003502,0.002077,0.003705,0.000415,0.004627,0.000163,0.003668,0.000105,0.003546,0.000728,0.003551,0.000447
21,100,2,600,0.123298,0.016353,0.018441,0.0039,0.004993,0.004345,0.005139,0.003795,0.004712,0.003305,0.005412,0.003225,0.004782,0.004479,0.004699,0.003839
41,100,2,600,0.19718,0.071455,0.125493,0.014196,0.011599,0.012996,0.011577,0.014679,0.012885,0.014179,0.013063,0.011863,0.014489,0.016521,0.014603,0.014741
61,100,2,600,0.251511,0.161435,0.295874,0.027205,0.02589,0.031393,0.024651,0.028646,0.02647,0.027521,0.026209,0.026561,0.025674,0.030574,0.024224,0.027742
81,100,2,600,0.274618,0.260947,0.342152,0.045155,0.040397,0.049051,0.042818,0.050331,0.045006,0.048858,0.066918,0.05654,0.067616,0.062582,0.045351,0.059942
101,100,2,600,0.327925,0.421189,0.436922,0.082992,0.062789,0.076571,0.059874,0.075205,0.059758,0.070893,0.060004,0.070485,0.060006,0.07422,0.065295,0.071173
1,100,2,600,0.008843,0.000116,0.001593,8.9e-05,0.001565,0.000495,0.001583,0.001752,0.001549,6.7e-05,0.00153,6.9e-05,0.001537,0.000536,0.001541,0.000347
