Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,0.027374,0.000343,0.004368,0.000183,0.00679,0.00133,0.006835,0.00082,0.008696,0.000327,0.006972,0.00024,0.006917,0.001421,0.006534,0.000923
21,100,0.379927,0.048598,0.033753,0.007216,0.009548,0.009297,0.009663,0.00825,0.008812,0.007208,0.010134,0.007264,0.009111,0.009406,0.008865,0.008898
41,100,0.374984,0.171329,0.131285,0.025873,0.02215,0.029401,0.022183,0.028182,0.021024,0.026426,0.023211,0.026387,0.021417,0.029761,0.021255,0.028145
61,100,0.359273,0.364511,0.214795,0.064385,0.044831,0.063262,0.04352,0.063491,0.043665,0.059244,0.044834,0.060603,0.043225,0.063534,0.043922,0.062273
81,100,0.476337,0.687314,0.291258,0.106498,0.073527,0.112399,0.072546,0.110098,0.072457,0.105393,0.073238,0.105653,0.072815,0.111895,0.071795,0.110486
101,100,0.547009,1.05096,0.615147,0.157453,0.10846,0.172212,0.107548,0.170668,0.106562,0.163261,0.106688,0.163803,0.106849,0.173273,0.106442,0.1715
1,100,0.015385,0.000262,0.003057,0.000185,0.002955,0.001019,0.002964,0.000601,0.00298,0.000151,0.002993,0.00015,0.002986,0.001088,0.002967,0.000676
21,100,0.063568,0.021594,0.072253,0.00736,0.013201,0.012392,0.012818,0.012432,0.012969,0.010713,0.016768,0.011115,0.012855,0.012531,0.012904,0.013149
41,100,0.070114,0.078516,0.174379,0.026671,0.032791,0.042629,0.032101,0.041897,0.032229,0.040658,0.036967,0.040209,0.032946,0.043276,0.033834,0.041054
61,100,0.080209,0.17987,0.324905,0.059245,0.070992,0.093263,0.06852,0.095221,0.068408,0.092754,0.072804,0.090973,0.070405,0.098743,0.069496,0.0949
81,100,0.102731,0.314573,0.710993,0.111911,0.11548,0.168609,0.114669,0.168544,0.114224,0.168704,0.115625,0.16035,0.114256,0.168721,0.116259,0.169138
101,100,0.131166,0.483518,0.890792,0.163204,0.171963,0.260015,0.173593,0.273523,0.17804,0.249276,0.175486,0.246251,0.176183,0.255554,0.173063,0.262166
1,100,0.009537,0.000177,0.004626,0.00018,0.005765,0.001278,0.002903,0.000726,0.002905,0.000151,0.003707,0.000153,0.002879,0.001372,0.002839,0.000838
21,100,0.007244,0.007232,0.095931,0.007226,0.00832,0.008515,0.008231,0.008458,0.008142,0.00714,0.008629,0.007234,0.008315,0.008163,0.008102,0.007919
41,100,0.008476,0.026109,0.188185,0.026952,0.020384,0.029027,0.020111,0.027532,0.020765,0.027013,0.020446,0.026394,0.019704,0.027783,0.019461,0.02717
61,100,0.011458,0.059935,0.347752,0.05965,0.043279,0.061018,0.0398,0.059297,0.040086,0.057658,0.042769,0.060209,0.043114,0.061581,0.042426,0.062213
81,100,0.01675,0.105746,0.751561,0.105985,0.070985,0.111002,0.070398,0.117979,0.072482,0.104913,0.072137,0.105747,0.071409,0.108036,0.075578,0.104671
101,100,0.021131,0.161533,0.830003,0.163192,0.108742,0.167382,0.11118,0.16452,0.104991,0.164267,0.105787,0.164353,0.110374,0.16613,0.104932,0.170546
1,100,0.014435,0.000256,0.006122,0.000292,0.005285,0.000629,0.00594,0.000453,0.00529,0.000234,0.006059,0.000233,0.005292,0.000629,0.005307,0.000461
21,100,0.194588,0.036154,0.04208,0.00724,0.009679,0.00889,0.010224,0.008114,0.009119,0.007202,0.010337,0.007701,0.009534,0.009,0.009473,0.00816
41,100,0.204526,0.131635,0.146202,0.02579,0.022412,0.028845,0.022869,0.027246,0.021129,0.026632,0.022517,0.026789,0.021876,0.030701,0.022473,0.026816
61,100,0.185829,0.270144,0.218931,0.058281,0.043582,0.063194,0.044258,0.06175,0.044014,0.059202,0.045099,0.060445,0.043834,0.064029,0.044137,0.062531
81,100,0.226104,0.475333,0.465995,0.105011,0.073917,0.111764,0.07325,0.111929,0.075255,0.102668,0.074185,0.104625,0.072522,0.120058,0.072929,0.109828
101,100,0.260664,0.726709,0.559437,0.16461,0.10605,0.172374,0.106953,0.169299,0.110505,0.159337,0.111397,0.159555,0.107941,0.170977,0.106892,0.170674
1,100,0.016214,0.000267,0.003175,0.000177,0.003152,0.001091,0.003098,0.000646,0.00316,0.00015,0.003156,0.000164,0.003112,0.001165,0.003103,0.000714
21,100,0.040635,0.018101,0.072319,0.007224,0.013754,0.012968,0.013385,0.011906,0.013455,0.010777,0.015558,0.011086,0.013526,0.012526,0.013342,0.011996
41,100,0.045887,0.066365,0.172107,0.026505,0.033184,0.044721,0.033124,0.044473,0.032968,0.040692,0.035444,0.040536,0.033623,0.041821,0.0327,0.044222
61,100,0.039956,0.121185,0.2998,0.059779,0.068616,0.096044,0.063919,0.09469,0.067879,0.100192,0.070691,0.091259,0.06872,0.097234,0.069505,0.093944
81,100,0.051966,0.211413,0.653582,0.103947,0.115766,0.168269,0.115235,0.176343,0.114594,0.161329,0.117545,0.162418,0.11749,0.169771,0.116683,0.167885
101,100,0.099158,0.404243,0.927614,0.166122,0.17299,0.259715,0.173578,0.261014,0.178,0.249868,0.176662,0.254652,0.174858,0.265304,0.173568,0.262094
1,100,0.013987,0.000254,0.007337,0.000178,0.003487,0.001103,0.003384,0.000647,0.00342,0.000152,0.003424,0.000154,0.00342,0.001165,0.003413,0.0007
21,100,0.040931,0.018445,0.061614,0.007299,0.014402,0.012753,0.014843,0.012247,0.013787,0.011566,0.017521,0.011084,0.013996,0.013006,0.014181,0.011969
41,100,0.045594,0.065243,0.175603,0.026651,0.032697,0.043177,0.03469,0.041567,0.034728,0.039899,0.037337,0.04011,0.034529,0.041063,0.033043,0.044344
61,100,0.058568,0.149703,0.302373,0.059311,0.069373,0.095471,0.070558,0.094497,0.070921,0.097747,0.072841,0.096188,0.067665,0.094282,0.066029,0.09225
81,100,0.072206,0.260276,0.747107,0.104604,0.11656,0.169382,0.119768,0.17012,0.118417,0.162717,0.121942,0.162664,0.117303,0.168933,0.118852,0.168643
101,100,0.099205,0.403591,0.913615,0.165621,0.170666,0.26288,0.179086,0.262403,0.177931,0.25499,0.179626,0.261938,0.167847,0.261888,0.177,0.262311
1,100,0.033364,0.000381,0.006758,0.000277,0.007869,0.00218,0.008036,0.001279,0.007999,0.000334,0.006118,0.000256,0.005912,0.001751,0.005846,0.001092
21,100,0.498454,0.050855,0.023764,0.007221,0.00953,0.009689,0.009203,0.008279,0.009167,0.007213,0.009849,0.007223,0.009507,0.009254,0.009321,0.008529
41,100,0.684098,0.210356,0.056464,0.026293,0.021886,0.029578,0.021794,0.02805,0.020858,0.026228,0.022098,0.026322,0.021933,0.029259,0.02082,0.027663
61,100,0.620741,0.449843,0.113781,0.058987,0.04419,0.062852,0.043682,0.062862,0.04356,0.059483,0.043326,0.059512,0.04193,0.063344,0.042975,0.062931
81,100,0.712791,0.794346,0.247308,0.105672,0.072688,0.112875,0.073109,0.109504,0.072966,0.104353,0.073839,0.105837,0.073084,0.113052,0.073061,0.111171
101,100,0.793902,1.21119,0.299628,0.16596,0.107765,0.176995,0.107625,0.171619,0.10565,0.162239,0.106889,0.163916,0.107689,0.174213,0.106222,0.172754
1,100,0.015483,0.000254,0.0064,0.000273,0.005348,0.001817,0.005417,0.001067,0.005414,0.000235,0.006161,0.000247,0.005408,0.001961,0.005414,0.001194
21,100,0.418964,0.047021,0.021099,0.007444,0.009579,0.009173,0.009567,0.00816,0.009242,0.007327,0.010094,0.007223,0.009417,0.009189,0.009166,0.00824
41,100,0.410966,0.172061,0.061997,0.026349,0.021359,0.02958,0.02257,0.028311,0.02164,0.028169,0.022242,0.026848,0.021647,0.029376,0.021806,0.028432
61,100,0.45024,0.390402,0.132142,0.059159,0.04363,0.063682,0.043503,0.062134,0.04352,0.064241,0.044726,0.058597,0.043324,0.067557,0.043049,0.062335
81,100,0.501595,0.688083,0.190444,0.105492,0.075409,0.10819,0.072493,0.111862,0.072694,0.105712,0.073316,0.105681,0.073253,0.111304,0.073227,0.110364
101,100,0.786871,1.21133,0.261032,0.166066,0.106491,0.172761,0.107401,0.171386,0.107052,0.163,0.106949,0.163726,0.107014,0.17241,0.106184,0.171159
1,100,0.006802,0.000183,0.005004,0.000183,0.003086,0.000925,0.003107,0.000564,0.003087,0.000152,0.003954,0.000158,0.003123,0.001019,0.003094,0.000642
21,100,0.007033,0.007265,0.072444,0.007281,0.008503,0.008166,0.008176,0.007622,0.008092,0.007224,0.008837,0.007199,0.008127,0.008349,0.008372,0.007816
41,100,0.008511,0.026496,0.173162,0.026335,0.020486,0.027906,0.020874,0.027307,0.020747,0.026197,0.021313,0.026324,0.020424,0.027729,0.019821,0.0271
61,100,0.011696,0.059417,0.297981,0.058285,0.043616,0.062867,0.04232,0.061744,0.041779,0.059966,0.042235,0.058172,0.042801,0.061689,0.043274,0.061506
81,100,0.016583,0.105483,0.647845,0.104582,0.071213,0.110623,0.071954,0.109156,0.071162,0.105892,0.072865,0.100461,0.071135,0.109846,0.07261,0.107
101,100,0.020959,0.160563,0.93159,0.165227,0.106569,0.170407,0.104692,0.17033,0.106908,0.166254,0.106737,0.165948,0.112032,0.167306,0.106203,0.170185
1,100,0.025449,0.000377,0.004754,0.000179,0.0072,0.000649,0.007608,0.00049,0.008538,0.000331,0.007224,0.000237,0.006518,0.00067,0.006506,0.000477
21,100,0.152353,0.033561,0.027005,0.007238,0.009544,0.009539,0.009758,0.008139,0.009503,0.007226,0.010188,0.007214,0.009231,0.009559,0.009168,0.008254
41,100,0.171386,0.119344,0.07579,0.026433,0.022137,0.030519,0.021772,0.027767,0.022214,0.026315,0.022502,0.026366,0.021341,0.028473,0.021779,0.027463
61,100,0.257924,0.301242,0.142966,0.059569,0.044757,0.061942,0.043695,0.063365,0.042262,0.058544,0.044185,0.05955,0.042986,0.063059,0.043003,0.062741
81,100,0.2213,0.474957,0.279254,0.105332,0.072901,0.111001,0.072476,0.110437,0.073421,0.105032,0.073218,0.106198,0.072443,0.1109,0.072717,0.111445
101,100,0.259753,0.728122,0.665572,0.165855,0.108351,0.172192,0.107874,0.171994,0.107366,0.165522,0.108146,0.166425,0.109001,0.187169,0.10902,0.169141
1,100,0.026322,0.000385,0.004468,0.000179,0.008535,0.002035,0.00852,0.001216,0.008592,0.000317,0.007493,0.000242,0.008509,0.0022,0.008514,0.001375
21,100,0.72604,0.062612,0.025617,0.007221,0.009657,0.009496,0.009369,0.008517,0.009086,0.007454,0.010115,0.007339,0.009367,0.009535,0.009237,0.008227
41,100,0.6584,0.211092,0.091365,0.026464,0.022107,0.030391,0.021836,0.028114,0.021244,0.026409,0.022386,0.026822,0.021275,0.029783,0.021305,0.028373
61,100,0.729015,0.484697,0.199332,0.059159,0.045283,0.065644,0.046069,0.061014,0.04364,0.059837,0.044933,0.060277,0.043272,0.064338,0.043172,0.063069
81,100,0.875081,0.901881,0.265133,0.103197,0.072713,0.113341,0.072809,0.112439,0.072431,0.104767,0.0725,0.105918,0.075051,0.109881,0.072582,0.110048
101,100,0.866043,1.29432,0.331054,0.164205,0.107645,0.174607,0.106279,0.172482,0.106329,0.162902,0.10729,0.164244,0.108002,0.173988,0.105755,0.172293
1,100,0.016329,0.000262,0.005983,0.000289,0.005104,0.001403,0.005125,0.000858,0.005184,0.000241,0.006177,0.00024,0.00509,0.001536,0.005109,0.000982
21,100,1.00877,0.070691,0.014443,0.007217,0.009603,0.010177,0.00992,0.008598,0.008936,0.007223,0.009908,0.007234,0.008947,0.010009,0.009282,0.00853
41,100,1.18207,0.26516,0.040321,0.027887,0.022005,0.030361,0.022065,0.028473,0.02126,0.026494,0.022644,0.026732,0.021515,0.03035,0.020961,0.028385
61,100,1.2406,0.605833,0.114295,0.058519,0.043692,0.066446,0.044007,0.063578,0.044216,0.058488,0.044879,0.059184,0.043819,0.065215,0.043458,0.062488
81,100,1.84364,1.00655,0.15354,0.105754,0.072265,0.115228,0.072524,0.111733,0.074693,0.103334,0.07323,0.107116,0.072171,0.113947,0.072885,0.111589
101,100,1.25325,1.53779,0.261607,0.164903,0.107716,0.176249,0.106119,0.172441,0.107874,0.167545,0.108647,0.166558,0.107999,0.178188,0.106606,0.172068
1,100,0.014451,0.000264,0.003495,0.000189,0.003448,0.000977,0.003369,0.000561,0.003393,0.000162,0.003445,0.000161,0.003473,0.001014,0.003389,0.000597
