Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUl, time_subproblem_BAUl, time_master_BAUe, time_subproblem_BAUe, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCUl, time_subproblem_KCUl, time_master_KCUl, time_subproblem_KCUe, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
21,90,2,600,2.62189,0.075597,2.90607,0.036813,2.70732,0.035627,2.41107,0.035946,4.22954,0.03233,0.178955,0.029455,0.214579,0.023688,0.034875,0.02916,0.040528,0.023341,0.045151,0.007602,0.034185,0.007597,0.047971,0.007704,0.03174,0.031954,0.035718,0.023223
41,90,2,600,2.4932,0.230421,3.04913,0.124584,2.45068,0.122973,2.57363,0.120333,5.04096,0.125633,0.376199,0.084399,0.362404,0.07521,0.043066,0.074746,0.045378,0.074333,0.04053,0.025179,0.042874,0.02435,0.057615,0.024415,0.041196,0.07526,0.040981,0.073289
61,90,2,600,2.40974,0.487653,2.71949,0.2584,2.45101,0.26631,2.46107,0.242854,4.13505,0.239481,0.851864,0.137208,0.710635,0.143729,0.057231,0.138429,0.063189,0.127493,0.056926,0.051244,0.05737,0.051649,0.065018,0.050692,0.055725,0.137202,0.05628,0.12887
81,90,2,600,2.80527,0.802277,3.3384,0.441197,2.8698,0.444964,2.51497,0.419991,6.62768,0.475531,1.59187,0.20863,1.44853,0.212253,0.079963,0.195127,0.08043,0.199713,0.095418,0.09314,0.082917,0.090563,0.086553,0.08999,0.07981,0.208656,0.077873,0.172504
101,90,2,600,2.56264,1.1386,2.9125,0.603163,2.64042,0.613667,2.271,0.604672,5.84681,0.665041,2.5684,0.338443,2.46502,0.315355,0.118516,0.342656,0.105606,0.322571,0.101512,0.13342,0.101728,0.132969,0.111179,0.133497,0.10208,0.307135,0.104598,0.256717
1,90,2,600,0.067513,0.000272,0.067396,0.000172,0.061529,0.000165,0.062001,0.000135,0.072377,0.000176,0.045783,0.004377,0.042833,0.001766,0.04395,0.003077,0.031992,0.002629,0.033207,0.000242,0.046901,0.000242,0.043893,0.000399,0.035528,0.004153,0.045884,0.00232
21,90,2,600,4.355,0.077181,6.07809,0.042702,4.49165,0.042652,4.2138,0.043255,8.11183,0.040506,0.145038,0.030086,0.220731,0.029381,0.033589,0.030463,0.03621,0.029457,0.032464,0.006971,0.031909,0.007454,0.040968,0.007664,0.031712,0.029167,0.038056,0.023339
41,90,2,600,5.44392,0.28306,7.15455,0.138159,5.18017,0.153396,4.62616,0.141446,6.84131,0.12474,0.315335,0.074969,0.312803,0.075736,0.04289,0.075289,0.044447,0.074279,0.042278,0.025173,0.043135,0.02533,0.049748,0.025108,0.041657,0.066246,0.041084,0.064627
61,90,2,600,4.41972,0.526333,8.12746,0.281273,4.42734,0.281634,4.89746,0.278394,9.69951,0.282231,0.617212,0.136415,0.630371,0.138429,0.060521,0.127444,0.059978,0.131305,0.057508,0.051778,0.053888,0.052388,0.070853,0.051757,0.061578,0.121969,0.063768,0.140153
81,90,2,600,4.92748,0.900886,6.19881,0.475824,4.76617,0.475356,4.7269,0.469305,9.43832,0.486904,0.9109,0.206851,0.8879,0.216056,0.076917,0.217843,0.079418,0.230052,0.075462,0.08882,0.075606,0.088199,0.079861,0.088414,0.075424,0.239357,0.075437,0.22973
101,90,2,600,4.11354,1.30076,6.76398,0.715026,4.25148,0.715769,4.42211,0.701574,11.8238,0.760266,2.12832,0.306675,1.63495,0.347815,0.115953,0.288122,0.104659,0.334726,0.100958,0.134074,0.100518,0.134145,0.099822,0.134258,0.101452,0.28954,0.101241,0.266854
1,90,2,600,0.035569,0.000196,0.040012,0.000122,0.052887,0.000176,0.03434,9.7e-05,0.036496,0.00014,0.033621,0.001826,0.031882,0.001197,0.025587,0.001976,0.029306,0.002526,0.042221,0.000137,0.029582,0.000164,0.032915,0.000158,0.027508,0.003043,0.037598,0.002215
21,90,2,600,0.036045,0.00888,0.036706,0.00386,0.048659,0.004614,1.08303,0.029067,0.035647,0.004565,0.225859,0.031224,0.202471,0.025668,0.036133,0.022696,0.034544,0.023238,0.032765,0.007514,0.330322,0.05467,0.048784,0.007438,0.032502,0.029514,0.029826,0.02278
