Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOGL, time_subproblem_KCHOGL
61,100,1500,500,0.034622,0.043933,0.028642,0.038033,0.033922,1.95254
71,100,500,500,0.038783,0.055068,0.037041,0.052441,0.041389,1.96279
71,100,1000,500,0.041434,0.051374,0.038849,0.050671,0.04105,1.96845
71,100,1500,500,0.03706,0.054413,0.039986,0.048207,0.037922,1.96441
81,100,500,500,0.048428,0.072455,0.044024,0.064003,0.045735,1.99446
81,100,1000,500,0.047433,0.068604,0.056298,0.080067,0.043846,2.0094
81,100,1500,500,0.045314,0.070335,0.045753,0.067813,0.043527,2.00453
91,100,500,500,0.055853,0.094161,0.05253,0.080342,0.052781,2.01327
91,100,1000,500,0.054446,0.082842,0.051548,0.080134,0.053685,2.01522
91,100,1500,500,0.059324,0.085144,0.052537,0.078422,0.053469,2.01804
1,100,500,500,0.005577,0.003061,0.005677,0.000216,0.004281,2.92458
1,100,1000,500,0.00538,0.001133,0.005106,0.000348,0.004422,2.89845
1,100,1500,500,0.006643,0.001388,0.004407,0.000258,0.004255,2.92093
11,100,500,500,0.005949,0.002716,0.005752,0.001814,0.005999,0.976559
11,100,1000,500,0.00606,0.002787,0.005268,0.001533,0.006687,0.973153
11,100,1500,500,0.006304,0.002459,0.005596,0.001456,0.006497,0.977715
21,100,500,500,0.009689,0.006395,0.009547,0.005225,0.008095,1.96876
21,100,1000,500,0.009236,0.006983,0.008138,0.006584,0.007317,1.95798
21,100,1500,500,0.009329,0.00706,0.010054,0.00455,0.007679,1.95896
31,100,500,500,0.01434,0.013471,0.010905,0.011047,0.011891,1.98899
31,100,1000,500,0.0182,0.014316,0.011966,0.010827,0.012698,2.13457
31,100,1500,500,0.013912,0.012588,0.012659,0.011306,0.01304,2.01374
41,100,500,500,0.018075,0.022628,0.017061,0.022139,0.015901,1.94877
41,100,1000,500,0.018609,0.024302,0.01592,0.01913,0.017766,1.95151
41,100,1500,500,0.018332,0.025864,0.01986,0.021744,0.01579,1.96888
51,100,500,500,0.023149,0.034146,0.023133,0.029155,0.023462,1.95758
51,100,1000,500,0.024592,0.032189,0.025017,0.027542,0.023382,1.95901
51,100,1500,500,0.023126,0.033068,0.023747,0.029728,0.025156,1.95114
61,100,500,500,0.031829,0.043683,0.028971,0.038462,0.029686,1.9686
61,100,1000,500,0.031813,0.047764,0.028876,0.038447,0.030123,1.97259
61,100,1500,500,0.032021,0.042784,0.028642,0.03807,0.028939,1.97044
71,100,500,500,0.039383,0.055057,0.037403,0.050987,0.039322,1.99411
71,100,1000,500,0.044497,0.054697,0.03683,0.050073,0.036511,1.98354
71,100,1500,500,0.039076,0.056701,0.040414,0.047999,0.03786,2.00399
81,100,500,500,0.050581,0.067358,0.043105,0.067596,0.04411,2.00588
81,100,1000,500,0.047037,0.067408,0.046656,0.066852,0.043853,1.99537
81,100,1500,500,0.04718,0.069689,0.043092,0.063127,0.044418,2.00572
91,100,500,500,0.059129,0.093191,0.052132,0.078779,0.053309,2.02668
91,100,1000,500,0.055964,0.081946,0.056048,0.079979,0.053358,2.01518
91,100,1500,500,0.055461,0.082091,0.052428,0.078257,0.054264,2.01385
1,100,500,500,0.002957,0.000773,0.003162,0.000191,0.002367,1.94669
1,100,1000,500,0.005429,0.000874,0.003105,0.000242,0.002452,1.95873
1,100,1500,500,0.002827,0.000782,0.002996,0.000133,0.002184,1.93835
11,100,500,500,0.004297,0.002466,0.004366,0.001581,0.00337,1.90852
11,100,1000,500,0.003815,0.003398,0.004367,0.001683,0.003331,1.92049
11,100,1500,500,0.003889,0.002314,0.004216,0.001739,0.003809,2.08069
21,100,500,500,0.010789,0.009132,0.013173,0.009288,0.009164,2.90573
21,100,1000,500,0.010662,0.008898,0.014003,0.007281,0.009249,2.8976
21,100,1500,500,0.012873,0.00859,0.014469,0.007788,0.009814,2.86236
31,100,500,500,0.012579,0.014953,0.013092,0.008849,0.009653,1.91164
31,100,1000,500,0.01156,0.010947,0.009662,0.010668,0.009266,1.91929
31,100,1500,500,0.011072,0.012517,0.013724,0.012709,0.009823,1.92505
41,100,500,500,0.026021,0.03243,0.026949,0.031082,0.026023,2.91839
41,100,1000,500,0.027536,0.032084,0.026222,0.02904,0.025443,2.89552
41,100,1500,500,0.027387,0.038668,0.025853,0.029808,0.024599,2.87669
51,100,500,500,0.033745,0.048443,0.034012,0.045273,0.032693,2.91241
51,100,1000,500,0.034352,0.048343,0.034651,0.045955,0.033618,2.91734
51,100,1500,500,0.035972,0.053766,0.036,0.043374,0.033599,2.90274
61,100,500,500,0.044059,0.06741,0.049913,0.058052,0.04412,2.92983
61,100,1000,500,0.047023,0.061605,0.045484,0.059394,0.047412,2.94537
