Fichier, Gamma, tau, time_master_classic, time_subproblem_classic, time_master_matrix, time_subproblem_matrix, time_master_augmented, time_subproblem_augmented, time_master_augmented_HOG, time_subproblem_augmented_HOG
toy_instances/toy_instance_1.txt,1,0,0.00171,1.6e-05,0.000539,7e-06,0.000741,1.4e-05,0.000588,0.000106
toy_instances/toy_instance_1.txt,1,20,0.001191,2.2e-05,0.001076,1e-05,0.000673,1.7e-05,0.000301,0.000183
toy_instances/toy_instance_1.txt,1,40,0.000459,1e-05,0.000372,6e-06,0.00029,8e-06,0.000285,0.000105
toy_instances/toy_instance_1.txt,1,60,0.000391,1e-05,0.000352,6e-06,0.000281,8e-06,0.000417,0.000107
toy_instances/toy_instance_1.txt,1,80,0.000505,1.5e-05,0.000476,9e-06,0.000407,8e-06,0.000431,0.000206
toy_instances/toy_instance_1.txt,1,100,0.000705,1e-05,0.00049,1e-05,0.000585,1.3e-05,0.000448,0.000313
toy_instances/toy_instance_1.txt,11,0,0.00165,0.000313,0.001028,0.000231,0.001423,0.000214,0.00175,0.002447
toy_instances/toy_instance_1.txt,11,20,0.000916,0.000289,0.000827,0.000128,0.000872,0.000211,0.001403,0.00159
toy_instances/toy_instance_1.txt,11,40,0.00078,0.000213,0.000958,0.000137,0.00141,0.000293,0.001945,0.002047
toy_instances/toy_instance_1.txt,11,60,0.001184,0.000213,0.00139,0.000178,0.00089,0.000217,0.000708,0.00197
toy_instances/toy_instance_1.txt,11,80,0.000811,0.000292,0.00093,0.000146,0.002045,0.000162,0.00169,0.002384
toy_instances/toy_instance_1.txt,11,100,0.0015,0.000246,0.000636,7.3e-05,0.000816,0.000142,0.000803,0.001398
toy_instances/toy_instance_1.txt,21,0,0.000604,0.000318,0.001196,0.000672,0.003078,0.000661,0.002178,0.001819
toy_instances/toy_instance_1.txt,21,20,0.000714,0.000492,0.000731,0.000329,0.000874,0.00021,0.000928,0.002052
toy_instances/toy_instance_1.txt,21,40,0.001781,0.001281,0.001786,0.000383,0.000957,0.00032,0.000875,0.001249
toy_instances/toy_instance_1.txt,21,60,0.000567,0.000263,0.000718,0.000229,0.001157,0.000936,0.00271,0.002234
toy_instances/toy_instance_1.txt,21,80,0.000965,0.000531,0.001098,0.000405,0.001049,0.000315,0.000922,0.002307
toy_instances/toy_instance_1.txt,21,100,0.002239,0.000997,0.002504,0.000582,0.001473,0.000631,0.001415,0.001911
toy_instances/toy_instance_1.txt,31,0,0.002282,0.001755,0.00284,0.001113,0.000866,0.00049,0.001403,0.003489
toy_instances/toy_instance_1.txt,31,20,0.001365,0.001569,0.001047,0.000455,0.001048,0.000478,0.000591,0.00136
toy_instances/toy_instance_1.txt,31,40,0.000989,0.00262,0.003231,0.001456,0.001106,0.000478,0.000911,0.001199
toy_instances/toy_instance_1.txt,31,60,0.000731,0.000929,0.002263,0.002385,0.003088,0.000454,0.000923,0.001177
