Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,90,2,600,0.014945,0.000232,0.003087,0.000148,0.002965,0.000138,0.002911,0.000582,0.002933,0.000328,0.002869,0.000124,0.002862,0.000122,0.00292,0.000636,0.002958,0.000368
21,90,2,600,0.013174,0.008743,0.10946,0.005799,0.066626,0.006245,0.009259,0.008209,0.00976,0.007548,0.009526,0.006688,0.010445,0.006928,0.009259,0.008518,0.009883,0.007824
41,90,2,600,0.022292,0.039066,0.369368,0.026675,0.328381,0.026762,0.02437,0.028764,0.025431,0.028061,0.024514,0.026694,0.025735,0.026906,0.024656,0.029143,0.025891,0.027797
61,90,2,600,0.030443,0.08549,0.797642,0.059212,0.477364,0.056245,0.047683,0.0621,0.048003,0.062373,0.048872,0.065805,0.042198,0.049215,0.04214,0.051745,0.040791,0.051399
81,90,2,600,0.022599,0.129021,1.00699,0.084804,0.784332,0.085778,0.063128,0.088125,0.063893,0.08811,0.063368,0.083046,0.064328,0.08368,0.064198,0.090841,0.068284,0.085783
101,90,2,600,0.044937,0.185662,1.343,0.128491,0.977161,0.124072,0.10209,0.129767,0.094417,0.136344,0.095158,0.128478,0.09616,0.127865,0.094074,0.13619,0.093111,0.134061
1,90,2,600,0.012099,0.000214,0.002944,0.00014,0.002833,0.00014,0.002829,0.000887,0.002805,0.000497,0.0028,0.00012,0.002777,0.00012,0.002826,0.000753,0.002783,0.000458
21,90,2,600,0.023135,0.01076,0.105274,0.005855,0.083572,0.005558,0.011608,0.009586,0.011309,0.009394,0.011513,0.008163,0.014982,0.008274,0.011854,0.009419,0.011546,0.009304
41,90,2,600,0.028888,0.040601,0.417069,0.021541,0.362606,0.020761,0.031438,0.036325,0.02996,0.033743,0.033665,0.029947,0.036964,0.031519,0.034961,0.034861,0.035506,0.033647
61,90,2,600,0.04178,0.093743,0.682411,0.055521,0.508237,0.052375,0.06271,0.077273,0.063868,0.082178,0.064444,0.0747,0.069909,0.074282,0.066921,0.077394,0.065022,0.078579
81,90,2,600,0.051805,0.162454,1.1923,0.084295,0.837407,0.083148,0.099593,0.142879,0.100315,0.134448,0.10123,0.126113,0.10418,0.126516,0.100581,0.133562,0.100898,0.135135
101,90,2,600,0.066585,0.243511,1.24443,0.128668,2.25874,0.136688,0.153939,0.215488,0.152463,0.206661,0.153297,0.194798,0.162684,0.187415,0.153682,0.205969,0.153388,0.202166
