Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAO, time_subproblem_BAO, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.068502,0.000897,0.081429,0.000644,0.010037,0.000499,0.01111,0.000444,0.009224,0.001913,0.013481,0.00152,0.009639,0.000373,0.009716,0.000351,0.009071,0.00178,0.009016,0.001072
21,90,2,600,0.044575,0.031462,0.071481,0.013307,0.136222,0.01126,0.086711,0.009374,0.00865,0.008962,0.009443,0.008688,0.008856,0.008296,0.009439,0.008275,0.00903,0.009214,0.009508,0.009611
41,90,2,600,0.015193,0.049859,0.021589,0.025052,0.205252,0.032657,0.20343,0.030281,0.021016,0.031826,0.020639,0.031931,0.020512,0.029715,0.021499,0.029184,0.021353,0.031269,0.020715,0.031509
61,90,2,600,0.01546,0.106735,0.018785,0.054803,0.329729,0.066744,0.297052,0.064151,0.04018,0.064991,0.038855,0.066003,0.03896,0.062109,0.040177,0.061387,0.038707,0.066756,0.039426,0.067006
81,90,2,600,0.015283,0.183996,0.019596,0.091583,0.612889,0.11201,0.506044,0.114022,0.063881,0.111005,0.062224,0.110714,0.062364,0.105576,0.062855,0.105994,0.062526,0.110505,0.062428,0.110859
101,90,2,600,0.01444,0.274759,0.019417,0.137694,0.798988,0.173857,0.609791,0.167531,0.092273,0.168529,0.089436,0.16867,0.093036,0.160251,0.090381,0.161497,0.092161,0.168846,0.09265,0.168851
1,90,2,600,0.007134,0.000235,0.007425,0.000115,0.004379,0.000203,0.004142,0.000207,0.003322,0.001056,0.004396,0.00088,0.002724,0.000162,0.003389,0.000178,0.00277,0.001052,0.00401,0.000906
21,90,2,600,0.005966,0.009891,0.007943,0.005954,0.082659,0.010457,0.067452,0.009241,0.008654,0.009654,0.008704,0.00828,0.010003,0.007804,0.008871,0.007961,0.009038,0.00891,0.011514,0.01069
41,90,2,600,0.006387,0.03423,0.00916,0.016399,0.186793,0.031461,0.182432,0.030381,0.020767,0.031335,0.020614,0.03206,0.022291,0.02921,0.021466,0.02904,0.02056,0.031691,0.020528,0.031447
61,90,2,600,0.006623,0.069787,0.008436,0.036588,0.342694,0.064263,0.289876,0.064319,0.03883,0.06529,0.038855,0.063184,0.038672,0.061322,0.039188,0.062611,0.03875,0.065376,0.038518,0.065722
