Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,1,600,0.258108,0.000923,0.150381,0.000398,0.086408,0.000177,0.066249,0.000234,0.064682,0.000223,0.079973,0.002368,0.094097,0.001656,0.077109,0.000328,0.067276,0.000175,0.036769,0.00138,0.034588,0.000898
1,90,3,600,0.037731,0.00025,0.051743,0.000154,0.043267,0.000134,0.070307,0.00034,0.065066,0.000254,0.077532,0.002717,0.06823,0.002093,0.081736,0.000289,0.093563,0.000349,0.076719,0.002792,0.062962,0.001988
1,90,5,600,0.062307,0.000255,0.104796,0.000179,0.056678,0.000168,0.0781,0.000364,0.087703,0.000283,0.058615,0.001683,0.039516,0.000765,0.037951,0.000266,0.040239,0.00019,0.032857,0.002382,0.044964,0.002204
1,90,7,600,0.037451,0.000247,0.059061,0.000125,0.047438,0.000112,0.051088,0.000216,0.039682,0.000249,0.036527,0.002474,0.033662,0.000876,0.02742,0.000277,0.034874,0.000248,0.030277,0.00412,0.029027,0.002716
1,90,9,600,0.034696,0.00028,0.060444,0.000156,0.048911,0.000105,0.04089,0.000261,0.039234,0.000247,0.047268,0.001341,0.033635,0.000981,0.046308,0.000179,0.036773,0.000209,0.029909,0.004176,0.031393,0.003551
1,90,11,600,0.03882,0.000227,0.063409,0.000185,0.043493,0.000168,0.040716,0.000261,0.042008,0.000217,0.038257,0.001585,0.037918,0.00137,0.038657,0.00025,0.042746,0.000244,0.03578,0.007003,0.036428,0.007268
21,90,1,600,0.088804,0.016719,0.099553,0.008306,0.13855,0.008309,0.223466,0.010679,0.242061,0.010583,0.059454,0.012113,0.073486,0.011459,0.078173,0.010662,0.08485,0.010394,0.043948,0.011031,0.039747,0.010648
21,90,3,600,0.097728,0.016914,0.111229,0.009025,0.141426,0.008275,0.249133,0.009145,0.210231,0.008937,0.039135,0.010719,0.04529,0.010689,0.042424,0.008961,0.039096,0.009327,0.041462,0.010993,0.042962,0.011105
21,90,5,600,0.088682,0.016762,0.130598,0.007208,0.133938,0.008454,0.215984,0.009477,0.200585,0.009361,0.04091,0.010791,0.042228,0.012222,0.03987,0.008654,0.047971,0.00858,0.044111,0.01082,0.037094,0.011693
21,90,7,600,0.08653,0.015291,0.131043,0.007854,0.129142,0.008718,0.228987,0.010691,0.204415,0.009732,0.044971,0.010405,0.039217,0.010558,0.042208,0.009464,0.048675,0.011018,0.043346,0.014007,0.049842,0.012827
21,90,9,600,0.087529,0.017192,0.150267,0.009834,0.126913,0.009158,0.21141,0.009369,0.201962,0.009643,0.045911,0.010547,0.041902,0.009551,0.035418,0.010217,0.043227,0.009832,0.041629,0.013484,0.041309,0.012349
21,90,11,600,0.089814,0.01529,0.169155,0.009208,0.129577,0.007635,0.218594,0.010028,0.20999,0.008661,0.048854,0.00955,0.043981,0.010024,0.036075,0.011284,0.045827,0.009694,0.042763,0.014855,0.044645,0.013947
41,90,1,600,0.109557,0.053653,0.110043,0.027046,0.128585,0.026376,0.729446,0.033829,0.654055,0.032463,0.053682,0.033338,0.052298,0.032358,0.051088,0.029917,0.05564,0.030259,0.053361,0.031644,0.04907,0.031613
41,90,3,600,0.095022,0.05274,0.109136,0.026442,0.118306,0.029283,0.720872,0.031993,0.53989,0.031069,0.057118,0.034113,0.059138,0.03382,0.049384,0.031429,0.055704,0.030762,0.048667,0.034155,0.048958,0.031778
41,90,5,600,0.092623,0.052088,0.133941,0.02578,0.112593,0.028748,0.688149,0.033411,0.5697,0.030858,0.055808,0.032283,0.053864,0.031352,0.046366,0.029886,0.055843,0.029775,0.051796,0.034768,0.050482,0.032543
41,90,7,600,0.096683,0.053471,0.139899,0.028626,0.12184,0.026017,0.690948,0.031704,0.577487,0.031348,0.055423,0.033837,0.050207,0.032077,0.047198,0.030075,0.055834,0.031659,0.055317,0.033543,0.04871,0.034046
