Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.022764,0.000424,0.03861,0.000426,0.023664,0.000173,0.00384,0.000197,0.005357,0.000246,0.006557,0.001773,0.005823,0.001432,0.006358,0.000306,0.007206,0.000259,0.007017,0.0019,0.00562,0.001097
21,90,2,600,0.30324,0.052446,0.806351,0.028748,0.94117,0.034728,0.024638,0.007245,0.025144,0.007935,0.009882,0.008638,0.008976,0.00867,0.009132,0.006795,0.010529,0.007351,0.008273,0.009933,0.009647,0.008289
41,90,2,600,0.430985,0.229926,0.600143,0.101837,0.564191,0.087568,0.109526,0.028251,0.081761,0.02808,0.020396,0.028704,0.019797,0.028211,0.031975,0.039475,0.024397,0.032316,0.019278,0.02808,0.020274,0.027605
61,90,2,600,0.317702,0.404987,0.587411,0.211459,0.76995,0.197619,0.217227,0.057548,0.181744,0.055367,0.035298,0.058364,0.035104,0.057503,0.0351,0.053372,0.035886,0.060297,0.035715,0.058299,0.034849,0.056706
81,90,2,600,0.312017,0.693066,0.68855,0.357114,1.04311,0.392926,0.262721,0.098228,0.309624,0.094224,0.056671,0.100702,0.056984,0.097963,0.055934,0.092,0.056945,0.093927,0.060777,0.098065,0.056015,0.097747
101,90,2,600,0.305597,1.04888,0.719598,0.53934,1.0685,0.57833,0.325092,0.145604,0.285133,0.153502,0.083633,0.150696,0.082844,0.149048,0.094645,0.138136,0.081887,0.139521,0.081858,0.148932,0.081994,0.149879
1,90,2,600,0.00775,0.000298,0.007422,0.000101,0.007875,0.000119,0.00418,0.000168,0.003666,0.000184,0.002604,0.00047,0.004054,0.000731,0.002895,0.000146,0.003028,0.000118,0.002381,0.000475,0.002389,0.000294
21,90,2,600,0.006816,0.008349,0.008526,0.004221,0.008513,0.003878,0.074092,0.009241,0.06213,0.007315,0.00784,0.008576,0.008887,0.007565,0.009611,0.010305,0.011661,0.013083,0.012294,0.01365,0.015513,0.013164
41,90,2,600,0.006212,0.0302,0.007841,0.015551,0.008124,0.015047,0.172878,0.027458,0.153758,0.026379,0.018389,0.028688,0.018451,0.026686,0.018189,0.026595,0.018372,0.02573,0.018396,0.031792,0.019377,0.02706
61,90,2,600,0.007231,0.062923,0.007588,0.032985,0.008658,0.031968,0.336478,0.056637,0.2589,0.055733,0.034052,0.05704,0.034815,0.056429,0.03426,0.055299,0.034438,0.053551,0.034158,0.057137,0.038816,0.057001
81,90,2,600,0.006713,0.105786,0.00757,0.053361,0.008346,0.054056,0.4985,0.094715,0.398128,0.095565,0.055929,0.10089,0.054645,0.095621,0.055214,0.092193,0.055569,0.091004,0.055182,0.097576,0.053953,0.105438
101,90,2,600,0.006532,0.158788,0.007683,0.078829,0.007993,0.082228,0.885921,0.143296,0.577087,0.143601,0.081634,0.162485,0.081401,0.146856,0.082273,0.140195,0.086782,0.142091,0.081524,0.147832,0.081625,0.147102
1,90,2,600,0.012938,0.000446,0.015522,0.000203,0.015495,0.00018,0.006045,0.000381,0.005356,0.000273,0.005444,0.00078,0.005743,0.000519,0.004946,0.000254,0.007181,0.000392,0.005191,0.00069,0.00466,0.000498
21,90,2,600,0.158634,0.040491,0.539021,0.026039,0.371422,0.024659,0.039613,0.00917,0.034548,0.008168,0.008859,0.008827,0.009047,0.007754,0.009621,0.007777,0.009322,0.006633,0.009262,0.009777,0.008124,0.007749
41,90,2,600,0.163869,0.152803,0.394693,0.074404,0.420571,0.08076,0.158848,0.027279,0.117098,0.025999,0.01926,0.028596,0.019387,0.02864,0.019289,0.025308,0.02,0.026231,0.018957,0.027824,0.019692,0.027904
61,90,2,600,0.189446,0.345438,0.235839,0.144247,0.290748,0.146691,0.185986,0.05548,0.225173,0.055259,0.035623,0.064672,0.035425,0.05759,0.034392,0.054113,0.035323,0.055722,0.035193,0.057278,0.034202,0.057215
81,90,2,600,0.126898,0.51542,0.311486,0.271734,0.526903,0.296352,0.260477,0.094937,0.256415,0.093829,0.062562,0.099046,0.055269,0.096422,0.055155,0.090757,0.055257,0.091512,0.055629,0.097396,0.056693,0.096934
101,90,2,600,0.20311,0.889893,0.50015,0.492151,0.53101,0.462577,0.495224,0.143519,0.374562,0.143128,0.082199,0.150472,0.082712,0.147048,0.08249,0.139542,0.083165,0.140409,0.082327,0.161521,0.082298,0.153686
1,90,2,600,0.006186,0.000185,0.00711,0.0001,0.006667,9.4e-05,0.004088,0.000187,0.004886,0.000218,0.002886,0.000787,0.002592,0.000475,0.002979,0.000159,0.003676,0.000156,0.002812,0.001011,0.002606,0.000633
21,90,2,600,0.011595,0.012647,0.015942,0.006915,0.020607,0.006591,0.117418,0.008425,0.063488,0.008349,0.012987,0.013491,0.012257,0.012394,0.012548,0.012716,0.02033,0.012678,0.011916,0.013482,0.013326,0.012813
41,90,2,600,0.0111,0.044289,0.015995,0.022072,0.021625,0.022812,0.182104,0.026776,0.175991,0.027887,0.028054,0.04468,0.027471,0.042501,0.028179,0.042744,0.029992,0.041699,0.028615,0.044147,0.027888,0.042646
61,90,2,600,0.011602,0.094685,0.015474,0.046664,0.020231,0.046983,0.354987,0.054191,0.277092,0.054785,0.052647,0.090559,0.052156,0.088279,0.052208,0.085076,0.053865,0.083943,0.051814,0.089566,0.051671,0.08909
81,90,2,600,0.011902,0.163332,0.016055,0.080038,0.020706,0.079395,0.523804,0.094678,0.45082,0.094079,0.092564,0.181543,0.084092,0.151623,0.084171,0.146335,0.085092,0.143436,0.083335,0.150474,0.085724,0.151567
101,90,2,600,0.01204,0.236855,0.015327,0.123751,0.020661,0.120759,0.838996,0.155116,0.643902,0.150495,0.125244,0.232899,0.123805,0.232632,0.123811,0.225537,0.125753,0.219163,0.129542,0.233189,0.122075,0.232493
1,90,2,600,0.007291,0.000275,0.006733,0.000115,0.007722,0.000111,0.004031,0.00015,0.003721,0.00015,0.003774,0.001936,0.003032,0.00079,0.002574,0.000126,0.003139,0.00012,0.003384,0.001776,0.00315,0.000788
21,90,2,600,0.011075,0.013413,0.015906,0.006721,0.01905,0.006073,0.108324,0.009033,0.074982,0.007847,0.013333,0.015028,0.013003,0.011491,0.013607,0.012731,0.014881,0.010491,0.014255,0.014621,0.012512,0.011884
41,90,2,600,0.01231,0.043223,0.01734,0.021904,0.021955,0.022604,0.172656,0.033214,0.160925,0.026002,0.028819,0.043607,0.028692,0.0429,0.028558,0.040558,0.029628,0.039899,0.0285,0.043552,0.028114,0.0429
61,90,2,600,0.012677,0.097781,0.015615,0.047778,0.017676,0.047763,0.317558,0.055464,0.266421,0.067895,0.052075,0.09041,0.052456,0.089253,0.05124,0.083566,0.057142,0.088382,0.053004,0.08935,0.052117,0.0873
81,90,2,600,0.011447,0.157767,0.015848,0.07932,0.017853,0.080277,0.492863,0.093822,0.481226,0.105361,0.085254,0.154255,0.084136,0.153091,0.083218,0.142749,0.08481,0.142894,0.08552,0.150992,0.082887,0.151273
101,90,2,600,0.011677,0.245271,0.015753,0.122638,0.020104,0.12237,0.783127,0.14311,0.636979,0.144376,0.124147,0.244211,0.124231,0.230777,0.122163,0.219363,0.125627,0.22633,0.123693,0.23155,0.129116,0.229469
1,90,2,600,0.012335,0.000453,0.016412,0.000236,0.014854,0.000155,0.005139,0.000238,0.00589,0.000402,0.004463,0.001132,0.004026,0.000682,0.005391,0.000275,0.007507,0.000302,0.004461,0.001391,0.004897,0.000843
21,90,2,600,0.298196,0.054859,0.95393,0.028808,0.724707,0.02845,0.040195,0.00836,0.032839,0.007659,0.008954,0.008575,0.009446,0.008329,0.008183,0.006582,0.009965,0.007456,0.008146,0.008473,0.010244,0.007922
41,90,2,600,0.269718,0.206727,0.79232,0.097473,0.646392,0.091996,0.13889,0.027705,0.097062,0.026507,0.019433,0.029203,0.01934,0.028969,0.019079,0.026108,0.020809,0.026181,0.019206,0.029627,0.019355,0.028939
61,90,2,600,0.258999,0.380032,0.717422,0.193314,0.866948,0.217944,0.205768,0.056911,0.193385,0.069541,0.044701,0.074338,0.035034,0.057073,0.034788,0.054735,0.036634,0.054508,0.035226,0.058641,0.035933,0.063611
81,90,2,600,0.251351,0.63548,0.638834,0.332981,0.667078,0.330204,0.307216,0.095023,0.252316,0.094996,0.056849,0.100458,0.056481,0.098681,0.05614,0.09241,0.056764,0.092098,0.056598,0.105191,0.056806,0.098275
101,90,2,600,0.300189,1.04641,0.56646,0.500433,0.657797,0.499884,0.409718,0.144518,0.391678,0.143077,0.082033,0.15027,0.086506,0.153039,0.081923,0.141075,0.083709,0.141693,0.082447,0.149139,0.082696,0.150109
