Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAO, time_subproblem_BAO, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.069913,0.001003,0.05024,0.000402,0.007413,0.000241,0.005156,0.000247,0.005727,0.000449,0.005228,0.00041,0.004314,0.000164,0.00731,0.000419,0.004858,0.00039,0.004364,0.00026
21,90,2,600,0.143833,0.029022,0.334267,0.016659,0.078819,0.008552,0.03385,0.008897,0.008651,0.008085,0.00964,0.00762,0.007697,0.006664,0.010159,0.006579,0.007552,0.008687,0.009263,0.00767
41,90,2,600,0.108016,0.116826,0.289495,0.073072,0.167117,0.02847,0.150434,0.024779,0.018756,0.026944,0.01908,0.027513,0.017997,0.025113,0.019356,0.024879,0.017907,0.027381,0.019152,0.03043
61,90,2,600,0.097924,0.24348,0.283011,0.142403,0.211485,0.054097,0.246995,0.053343,0.033671,0.058096,0.03325,0.054145,0.032775,0.051406,0.033349,0.051084,0.032708,0.054541,0.037904,0.070084
81,90,2,600,0.102378,0.495356,0.352907,0.268028,0.394545,0.095538,0.319337,0.089284,0.054041,0.094352,0.05392,0.093718,0.053162,0.088274,0.054064,0.087751,0.053638,0.095325,0.053511,0.094795
101,90,2,600,0.130626,0.693603,0.202863,0.314329,0.485883,0.142641,0.411475,0.135807,0.078647,0.142859,0.078175,0.140637,0.077899,0.13422,0.07925,0.135351,0.077881,0.141746,0.077932,0.141886
1,90,2,600,0.021724,0.000349,0.019998,0.000164,0.004442,0.000256,0.003788,0.000223,0.006365,0.00158,0.006526,0.000881,0.009111,0.000416,0.006644,0.000236,0.006062,0.001468,0.008244,0.001677
21,90,2,600,0.527325,0.070108,1.09567,0.031045,0.028026,0.006579,0.036776,0.007422,0.008087,0.009691,0.008223,0.007459,0.00845,0.006807,0.009432,0.00632,0.007425,0.009615,0.008097,0.007499
41,90,2,600,0.489315,0.223187,2.07889,0.145795,0.203261,0.044879,0.210257,0.045638,0.042173,0.055027,0.024753,0.037001,0.021145,0.028971,0.021084,0.027469,0.024394,0.040416,0.018743,0.029842
61,90,2,600,0.698335,0.638514,1.63099,0.25811,0.254778,0.056612,0.201594,0.052263,0.034227,0.055503,0.033776,0.054586,0.032567,0.05559,0.037627,0.055659,0.034688,0.060899,0.035902,0.060052
81,90,2,600,0.567949,0.883461,1.81756,0.446945,0.280686,0.100269,0.25489,0.099207,0.071451,0.150561,0.080346,0.145671,0.095202,0.140208,0.076009,0.115544,0.053035,0.094473,0.052966,0.094004
101,90,2,600,0.572767,1.29443,2.17465,0.697532,0.369736,0.139706,0.338943,0.135657,0.078046,0.143074,0.080149,0.142564,0.078255,0.133901,0.079225,0.135048,0.079387,0.142456,0.078306,0.142294
1,90,2,600,0.012981,0.00038,0.015758,0.000199,0.005379,0.000331,0.004758,0.000222,0.004929,0.001663,0.004123,0.000667,0.003823,0.000197,0.005314,0.000268,0.006395,0.001814,0.007036,0.001231
21,90,2,600,0.351748,0.061515,1.18595,0.032313,0.046578,0.007261,0.029247,0.007094,0.008545,0.008336,0.009428,0.007453,0.007511,0.006758,0.00964,0.006653,0.00764,0.007992,0.008885,0.007846
41,90,2,600,0.357286,0.201329,0.870285,0.102319,0.114052,0.025271,0.093887,0.024409,0.018462,0.02687,0.018558,0.026027,0.017922,0.024125,0.019412,0.02425,0.017715,0.026613,0.018571,0.02623
61,90,2,600,0.279413,0.379725,1.1116,0.214463,0.187435,0.053403,0.172568,0.052532,0.033276,0.057012,0.033624,0.055508,0.033381,0.051955,0.034741,0.051718,0.038213,0.059926,0.033309,0.055846
81,90,2,600,0.297554,0.677136,1.1201,0.357736,0.27205,0.091441,0.241962,0.089001,0.05333,0.093882,0.053504,0.093098,0.053066,0.087459,0.054536,0.088286,0.061592,0.09544,0.053461,0.095773
101,90,2,600,0.328962,1.07717,1.28142,0.558988,0.399001,0.135352,0.368353,0.135929,0.0801,0.145641,0.08077,0.145957,0.08094,0.136893,0.079092,0.1332,0.078003,0.143972,0.078167,0.141441
1,90,2,600,0.022801,0.000393,0.020025,0.000174,0.004282,0.000159,0.003843,0.000149,0.005244,0.00112,0.00715,0.000787,0.007102,0.000311,0.008823,0.00034,0.005258,0.001023,0.006065,0.000685
21,90,2,600,0.247328,0.050402,0.281878,0.018784,0.042098,0.007457,0.030355,0.007267,0.00898,0.008014,0.007926,0.008492,0.008307,0.006409,0.008461,0.007139,0.011473,0.009744,0.015526,0.010265
41,90,2,600,0.277086,0.202973,0.313119,0.07785,0.1175,0.035159,0.122266,0.046015,0.019086,0.027659,0.029366,0.033005,0.018522,0.024867,0.019564,0.024844,0.018382,0.027541,0.029579,0.033245
61,90,2,600,0.220648,0.370299,0.335445,0.158978,0.145309,0.05384,0.142078,0.053871,0.036825,0.058526,0.037265,0.057625,0.052022,0.071928,0.035477,0.0551,0.034549,0.060226,0.035545,0.056568
81,90,2,600,0.309122,0.670085,0.551068,0.287543,0.239441,0.090392,0.279416,0.089577,0.05433,0.094632,0.053617,0.094503,0.053635,0.087494,0.05496,0.0881,0.053621,0.09407,0.053451,0.093555
101,90,2,600,0.209752,0.878588,0.56536,0.430227,0.411416,0.136466,0.364207,0.137489,0.079231,0.14434,0.080331,0.142899,0.079028,0.135964,0.079957,0.13507,0.079964,0.142507,0.078552,0.144226
