Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,90,2,600,0.030285,0.000545,0.022037,0.000822,0.022884,0.000742,0.013668,0.004436,0.014628,0.002435,0.014219,0.000644,0.018281,0.000602,0.014347,0.004909,0.014425,0.002766
21,90,2,600,0.045681,0.04186,0.077117,0.008833,0.144126,0.011429,0.021355,0.024765,0.022261,0.022922,0.023079,0.022824,0.02404,0.021028,0.021856,0.024526,0.022659,0.023272
41,90,2,600,0.021278,0.089084,0.524562,0.054646,0.375826,0.048613,0.051907,0.081907,0.054781,0.096541,0.055,0.080561,0.052846,0.072646,0.048938,0.083419,0.051253,0.079497
61,90,2,600,0.018266,0.137985,0.309052,0.085331,0.337988,0.066171,0.058194,0.101816,0.058484,0.098855,0.057381,0.096299,0.0598,0.095338,0.058313,0.100125,0.057606,0.10026
81,90,2,600,0.015193,0.180847,0.427241,0.110479,0.543205,0.110198,0.095617,0.175614,0.097035,0.178007,0.097179,0.167363,0.095925,0.165206,0.09461,0.174376,0.094262,0.173093
101,90,2,600,0.015094,0.275498,0.605555,0.178347,0.786041,0.166822,0.139404,0.259902,0.139879,0.266412,0.140471,0.253002,0.141772,0.255714,0.140047,0.266152,0.139515,0.267601
1,90,2,600,0.028576,0.000436,0.005937,0.000275,0.006903,0.000398,0.007808,0.00165,0.009574,0.001262,0.009356,0.000413,0.007946,0.000335,0.009191,0.00192,0.005536,0.000848
21,90,2,600,0.444664,0.070557,0.033252,0.008428,0.034156,0.008377,0.010068,0.009567,0.010472,0.009424,0.009425,0.008916,0.010128,0.007686,0.009703,0.009695,0.010407,0.009064
41,90,2,600,0.471329,0.239271,0.100753,0.030193,0.096106,0.030247,0.021629,0.031887,0.022383,0.031104,0.022126,0.028865,0.022079,0.028997,0.021843,0.033203,0.022573,0.032555
61,90,2,600,0.373666,0.457437,0.173489,0.064025,0.212886,0.060658,0.0397,0.066196,0.039966,0.065516,0.039777,0.061859,0.040111,0.062311,0.03933,0.066689,0.039423,0.065162
81,90,2,600,0.500944,0.894234,0.261906,0.109958,0.20997,0.109837,0.064015,0.113886,0.064491,0.114402,0.064089,0.10653,0.064799,0.107215,0.063907,0.114471,0.064056,0.112976
101,90,2,600,0.382046,1.1983,0.347075,0.167501,0.403855,0.166704,0.093558,0.170829,0.093626,0.170188,0.093155,0.160641,0.094009,0.161523,0.093086,0.171579,0.093354,0.170564
1,90,2,600,0.014528,0.000313,0.005578,0.000396,0.006622,0.000332,0.005044,0.001282,0.006352,0.000829,0.005036,0.000276,0.00595,0.00041,0.006001,0.00146,0.004954,0.000882
21,90,2,600,0.902766,0.094124,0.038925,0.009365,0.033121,0.008741,0.009184,0.010302,0.009548,0.008923,0.010225,0.007614,0.011111,0.007995,0.008917,0.009693,0.009569,0.008937
41,90,2,600,0.605569,0.305868,0.134811,0.031038,0.127805,0.029666,0.021517,0.031567,0.021853,0.030954,0.02132,0.028831,0.022102,0.029969,0.020998,0.031861,0.021438,0.031641
61,90,2,600,0.487352,0.526781,0.200064,0.063603,0.215382,0.063189,0.038762,0.065622,0.039198,0.064702,0.038657,0.061052,0.03985,0.060735,0.038732,0.065751,0.038808,0.06471
81,90,2,600,0.658405,1.01326,0.288745,0.108144,0.294319,0.108598,0.062841,0.112452,0.064511,0.112637,0.062264,0.10588,0.064509,0.105878,0.062734,0.112538,0.064116,0.111726
101,90,2,600,0.499968,1.3611,0.440356,0.166281,0.44951,0.165384,0.093103,0.16976,0.094093,0.172446,0.092688,0.162477,0.093848,0.159528,0.093158,0.171884,0.093927,0.164157
1,90,2,600,0.027604,0.000515,0.004145,0.000208,0.005099,0.000223,0.007361,0.001827,0.008172,0.001431,0.007022,0.000377,0.007805,0.000284,0.00868,0.002641,0.00773,0.001397
