Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG
1,0,0.021577,0.000191,0.004034,0.00012,0.007769,0.000584,0.007772,0.000207,0.006164,0.000156,0.007737,0.00057
1,0,0.02068,0.000209,0.003612,0.000123,0.00734,0.000598,0.007337,0.000207,0.005682,0.000159,0.007376,0.000599
1,0,0.01098,0.000154,0.002728,0.000118,0.002687,0.000753,0.002722,0.000102,0.002686,0.000114,0.002695,0.001184
1,0,0.020874,0.000206,0.003774,0.000124,0.00784,0.001346,0.007802,0.000211,0.005957,0.000158,0.007878,0.001724
1,0,0.005348,0.000103,0.003904,0.000125,0.002697,0.000775,0.002672,0.000106,0.003466,0.000104,0.002719,0.00138
1,0,0.005111,0.000101,0.004025,0.000122,0.002768,0.00112,0.002737,0.000101,0.00369,0.000103,0.002757,0.002128
1,0,0.005743,0.000101,0.004084,0.000121,0.002721,0.000771,0.002675,0.0001,0.003769,0.000101,0.002684,0.001394
1,0,0.011178,0.000154,0.002387,0.000122,0.002346,0.000713,0.002343,0.000101,0.002333,0.000103,0.00233,0.001031
1,0,0.005357,0.000104,0.003816,0.000122,0.002553,0.000727,0.002514,0.000102,0.003092,0.000102,0.002537,0.001312
1,0,0.011908,0.000162,0.002719,0.000122,0.002667,0.000834,0.002661,0.000101,0.002652,0.000104,0.002682,0.001483
1,0,0.019942,0.000206,0.003434,0.000124,0.006835,0.001223,0.006807,0.000209,0.005536,0.000159,0.006811,0.00121
1,0,0.009922,0.000162,0.002797,0.000119,0.002759,0.000753,0.002758,0.000108,0.002758,0.000104,0.00275,0.001107
1,0,0.018866,0.000209,0.003538,0.000124,0.006956,0.000448,0.006928,0.000209,0.005656,0.000159,0.006953,0.000454
1,0,0.005035,0.000102,0.003872,0.000122,0.002738,0.000768,0.002696,0.00011,0.003502,0.000103,0.002771,0.001382
1,0,0.011106,0.000156,0.004866,0.000187,0.004072,0.001082,0.004028,0.000155,0.004933,0.000159,0.004103,0.001959
