gamma,time_KCHOGL,iter_KCHOGL,time_KCRDKL,iter_KCRDKL
1,0.006368385333333334,1.43,0.004676232857142857,1.448
11,0.012032444857142856,1.2837142857142858,0.010360011333333334,1.295904761904762
21,0.025576545142857142,1.4557142857142857,0.023607986761904762,1.4548571428571428
31,0.03968478238095238,1.26,0.03782435685714286,1.2614285714285713
41,0.069062524,1.4185714285714286,0.06767424828571429,1.4185714285714286
51,0.10053498038095238,1.47,0.09828417333333332,1.4687619047619047
61,0.128162252,1.36,0.1263401623809524,1.36
81,0.21522615361904762,1.4105714285714286,0.2145585121904762,1.4043809523809523
91,0.270773688,1.4428571428571428,0.27022960523809525,1.436
101,0.33824363904761906,1.4448571428571428,0.3383192783809524,1.4397142857142857
