Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCHOGL, time_subproblem_KCHOGL
1,90,5,1300,0.012818,0.001519,0.01184,0.00635
1,90,5,1400,0.009385,0.001719,0.011402,0.005818
1,90,7,100,0.020356,0.000417,0.014463,0.000993
1,90,7,200,0.015626,0.001379,0.01543,0.00136
1,90,7,300,0.014791,0.000766,0.016387,0.004277
1,90,7,400,0.017854,0.001072,0.013211,0.005132
1,90,7,500,0.016129,0.001221,0.00876,0.005255
1,90,7,600,0.008583,0.001023,0.007375,0.003422
1,90,7,700,0.010522,0.001126,0.009164,0.005073
1,90,7,800,0.005574,0.001134,0.008536,0.005823
1,90,7,900,0.009635,0.002288,0.007035,0.007449
1,90,7,1000,0.005785,0.001243,0.008682,0.006958
1,90,7,1100,0.015489,0.001359,0.011929,0.009664
1,90,7,1200,0.009764,0.001432,0.013255,0.006137
1,90,7,1300,0.013753,0.001848,0.012584,0.006275
1,90,7,1400,0.014454,0.002048,0.012529,0.013749
1,90,9,100,0.005713,0.000721,0.012944,0.001183
1,90,9,200,0.013156,0.000696,0.012414,0.002146
1,90,9,300,0.013667,0.000746,0.012095,0.004062
1,90,9,400,0.006572,0.001269,0.00719,0.009682
1,90,9,500,0.007707,0.001172,0.011553,0.010496
1,90,9,600,0.007203,0.001002,0.006296,0.011658
1,90,9,700,0.012669,0.001216,0.007147,0.010792
1,90,9,800,0.012787,0.001357,0.008034,0.011707
1,90,9,900,0.011937,0.001348,0.006189,0.014104
1,90,9,1000,0.008403,0.001404,0.010827,0.0135
1,90,9,1100,0.006153,0.001517,0.009788,0.014777
1,90,9,1200,0.005766,0.001697,0.013135,0.016359
1,90,9,1300,0.009652,0.002429,0.005768,0.014628
1,90,9,1400,0.012825,0.001835,0.009831,0.017793
1,90,11,100,0.011361,0.000491,0.00856,0.007437
1,90,11,200,0.011347,0.000557,0.016947,0.003045
1,90,11,300,0.011778,0.002572,0.020565,0.008157
1,90,11,400,0.013568,0.000846,0.022868,0.009717
1,90,11,500,0.010023,0.001326,0.009343,0.007303
1,90,11,600,0.013274,0.001109,0.012116,0.008747
1,90,11,700,0.00992,0.007332,0.014722,0.013241
1,90,11,800,0.010453,0.002232,0.011492,0.015712
1,90,11,900,0.010333,0.003029,0.011557,0.014618
1,90,11,1000,0.01278,0.002679,0.011201,0.020391
1,90,11,1100,0.018456,0.001399,0.010482,0.020555
1,90,11,1200,0.012316,0.001441,0.008833,0.012748
1,90,11,1300,0.009185,0.001502,0.00885,0.021075
1,90,11,1400,0.009295,0.003749,0.009431,0.015799
1,100,3,100,0.008663,0.000475,0.010132,0.000447
