BA,1,100,1,4,0.037434,0.03671,0.00044
KCU,1,100,1,3,0.011233,0.010506,0.000319
BA,11,100,1,12,0.281646,0.27066,0.010428
KCU,11,100,1,1,0.008517,0.00502,0.001953
BA,21,100,1,12,0.29642,0.261489,0.034182
KCU,21,100,1,1,0.04002,0.015758,0.011085
BA,31,100,1,12,0.344279,0.267496,0.075998
KCU,31,100,1,1,0.040819,0.011881,0.013512
BA,41,100,1,12,0.398464,0.275339,0.122339
KCU,41,100,1,1,0.06189,0.015513,0.022815
BA,51,100,1,11,0.400845,0.233301,0.166832
KCU,51,100,1,1,0.087688,0.024673,0.031918
BA,61,100,1,11,0.478805,0.263163,0.214964
KCU,61,100,1,1,0.114696,0.030311,0.039554
BA,71,100,1,12,0.637012,0.325487,0.310828
KCU,71,100,1,1,0.15002,0.037552,0.05269
BA,81,100,1,11,0.63759,0.267681,0.369344
KCU,81,100,1,1,0.1885,0.04546,0.066351
BA,91,100,1,12,0.836083,0.34764,0.487837
KCU,91,100,1,1,0.229724,0.053468,0.080991
BA,101,100,1,11,0.853788,0.316979,0.536255
KCU,101,100,1,1,0.278623,0.063886,0.097542
