Gamma, tau, nb_path_to_select, time_master_BA, time_subproblem_BA, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,1,0.03671,0.00044,0.010974,0.000583,0.010506,0.000319,0.006746,0.000317
11,100,1,0.27066,0.010428,0.004376,0.00153,0.00502,0.001953,0.005803,0.001824
21,100,1,0.261489,0.034182,0.009463,0.008569,0.015758,0.011085,0.010442,0.009276
31,100,1,0.267496,0.075998,0.012712,0.012448,0.011881,0.013512,0.010157,0.012512
41,100,1,0.275339,0.122339,0.017626,0.023509,0.015513,0.022815,0.015544,0.024038
51,100,1,0.233301,0.166832,0.023554,0.035841,0.024673,0.031918,0.022509,0.032519
61,100,1,0.263163,0.214964,0.030414,0.048746,0.030311,0.039554,0.02965,0.044294
71,100,1,0.325487,0.310828,0.037815,0.060433,0.037552,0.05269,0.038136,0.054818
81,100,1,0.267681,0.369344,0.043767,0.074091,0.04546,0.066351,0.047318,0.06598
91,100,1,0.34764,0.487837,0.052509,0.09064,0.053468,0.080991,0.053872,0.084248
101,100,1,0.316979,0.536255,0.063715,0.109717,0.063886,0.097542,0.06362,0.102325
