BA,1,100,1,4,0.037434,0.03671,0.00044
KCHOGL,1,100,1,3,0.007338,0.006746,0.000317
BA,11,100,1,12,0.281646,0.27066,0.010428
KCHOGL,11,100,1,1,0.009287,0.005803,0.001824
BA,21,100,1,12,0.29642,0.261489,0.034182
KCHOGL,21,100,1,1,0.026385,0.010442,0.009276
BA,31,100,1,12,0.344279,0.267496,0.075998
KCHOGL,31,100,1,1,0.037108,0.010157,0.012512
BA,41,100,1,12,0.398464,0.275339,0.122339
KCHOGL,41,100,1,1,0.063576,0.015544,0.024038
BA,51,100,1,11,0.400845,0.233301,0.166832
KCHOGL,51,100,1,1,0.087123,0.022509,0.032519
BA,61,100,1,11,0.478805,0.263163,0.214964
KCHOGL,61,100,1,1,0.119571,0.02965,0.044294
BA,71,100,1,12,0.637012,0.325487,0.310828
KCHOGL,71,100,1,1,0.152734,0.038136,0.054818
BA,81,100,1,11,0.63759,0.267681,0.369344
KCHOGL,81,100,1,1,0.189884,0.047318,0.06598
BA,91,100,1,12,0.836083,0.34764,0.487837
KCHOGL,91,100,1,1,0.235757,0.053872,0.084248
BA,101,100,1,11,0.853788,0.316979,0.536255
KCHOGL,101,100,1,1,0.284046,0.06362,0.102325
