Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.138561,0.000373,0.220555,0.000247,0.278517,0.000299,0.170736,0.000327,0.188099,0.000271,0.254227,0.001458,0.343062,0.000835,0.284,0.000229,0.270292,0.000245,0.155549,0.001328,0.179264,0.001287
21,90,2,600,1.02891,0.049864,0.892177,0.020474,0.300966,0.016897,0.447322,0.010764,0.36063,0.009085,0.353155,0.037957,0.409569,0.036568,0.772245,0.036407,0.286136,0.01918,0.409659,0.04996,0.275519,0.03668
41,90,2,600,1.02096,0.131513,0.985829,0.071494,0.221097,0.02814,1.05555,0.025324,0.913623,0.025502,0.112123,0.048237,0.111625,0.044406,0.190543,0.046349,0.130283,0.050139,0.178805,0.054242,0.128953,0.048799
61,90,2,600,0.879016,0.259051,1.03457,0.127766,0.24909,0.059022,3.13464,0.073899,2.10515,0.063528,0.113011,0.089413,0.120681,0.087653,0.119216,0.085812,0.259432,0.092413,0.137564,0.087157,0.115167,0.098861
81,90,2,600,1.36225,0.53718,1.58309,0.326067,0.316591,0.109317,4.45089,0.097681,3.97622,0.172512,0.293098,0.216693,0.282153,0.204175,0.351929,0.153131,0.471965,0.239173,0.403866,0.2563,0.400064,0.270845
101,90,2,600,2.25499,1.2078,2.03363,0.664297,0.733844,0.245971,18.4651,0.304989,6.79216,0.214275,0.259881,0.321211,0.404602,0.357172,0.404721,0.320827,0.490581,0.382319,0.552912,0.442211,0.385544,0.303226
1,90,2,600,0.05263,0.000259,0.048427,0.000173,0.07909,0.000225,0.080229,0.000292,0.082391,0.000338,0.068288,0.00176,0.073429,0.001128,0.088793,0.000327,0.151267,0.000293,0.101045,0.001863,0.10105,0.001119
21,90,2,600,0.50474,0.025151,0.461669,0.013192,0.51861,0.012924,0.65599,0.014908,0.65714,0.015515,0.147728,0.016615,0.093356,0.013657,0.116721,0.012262,0.136916,0.026792,0.211777,0.022465,0.221716,0.033372
41,90,2,600,0.535847,0.089716,0.312591,0.039088,0.301637,0.032905,1.81639,0.030458,1.70256,0.043517,0.089434,0.045169,0.083387,0.035889,0.089222,0.031813,0.103055,0.03113,0.077616,0.048311,0.072655,0.032567
61,90,2,600,0.248984,0.127314,0.254855,0.067219,0.26512,0.052814,4.52622,0.082196,3.49109,0.101307,0.118614,0.080834,0.117045,0.088162,0.174667,0.091152,0.138199,0.118039,0.149871,0.103227,0.162561,0.106043
81,90,2,600,0.280063,0.27608,0.203991,0.104668,0.322309,0.145224,6.15756,0.124254,6.95666,0.130761,0.131169,0.118209,0.105709,0.09372,0.088756,0.093449,0.107499,0.088235,0.08181,0.095659,0.083439,0.092281
101,90,2,600,0.10511,0.24052,0.103289,0.124119,0.15861,0.121979,14.9872,0.19567,8.71556,0.169037,0.123861,0.152398,0.121743,0.141706,0.112259,0.142242,0.135481,0.145885,0.108062,0.150666,0.159434,0.182063
1,90,2,600,0.235083,0.00046,0.203849,0.000302,0.193454,0.000304,0.028263,0.000299,0.028599,0.000279,0.032244,0.001373,0.029772,0.000643,0.030869,0.000237,0.033897,0.00023,0.02841,0.001562,0.027965,0.000831
21,90,2,600,0.082861,0.015021,0.079681,0.008399,0.105002,0.008956,0.197231,0.007201,0.193336,0.008217,0.036076,0.008239,0.036698,0.010727,0.041301,0.006841,0.041607,0.009872,0.035119,0.009791,0.038509,0.008594
41,90,2,600,0.073701,0.04756,0.075272,0.027153,0.117152,0.023852,0.900822,0.024829,0.788371,0.029642,0.089825,0.029147,0.104983,0.034075,0.089002,0.042214,0.122218,0.036867,0.081857,0.052913,0.088509,0.040497
61,90,2,600,0.22334,0.147884,0.266821,0.073866,0.309155,0.056647,2.18216,0.084743,2.39115,0.09326,0.186472,0.095018,0.120034,0.074058,0.122658,0.072304,0.119949,0.073681,0.1092,0.077509,0.075624,0.066191
81,90,2,600,0.082715,0.160662,0.143341,0.111181,0.289053,0.101634,2.72571,0.099258,3.36265,0.116851,0.100498,0.123049,0.241757,0.211959,0.224315,0.202599,0.229437,0.139958,0.222655,0.199577,0.148134,0.138781
101,90,2,600,0.227514,0.44716,0.267944,0.237143,0.487925,0.244024,14.0314,0.205973,5.9028,0.22576,0.177271,0.182792,0.163412,0.221205,0.146389,0.155653,0.198367,0.188226,0.182297,0.200807,0.138943,0.230316
1,90,2,600,0.134492,0.000304,0.151249,0.000273,0.165181,0.000187,0.08214,0.000301,0.079148,0.000296,0.082535,0.004505,0.088616,0.003332,0.092797,0.000281,0.12553,0.000259,0.151467,0.001848,0.136566,0.002646
21,90,2,600,0.614903,0.028459,0.416701,0.012883,0.40799,0.011767,0.586993,0.014556,0.365578,0.013193,0.115646,0.022436,0.123407,0.014515,0.1621,0.021134,0.186961,0.013795,0.151252,0.021838,0.085393,0.009252
41,90,2,600,0.289963,0.05977,0.294697,0.031756,0.219812,0.0274,1.07601,0.03173,1.46762,0.048005,0.332215,0.074865,0.2549,0.080068,0.182098,0.057308,0.418509,0.076985,0.182355,0.072593,0.319836,0.068899
61,90,2,600,0.641599,0.17547,0.486534,0.085368,0.549801,0.123704,3.29519,0.091407,1.77997,0.095928,0.22722,0.105313,0.230866,0.113394,0.119349,0.098665,0.203077,0.13932,0.474954,0.155973,0.239812,0.149926
81,90,2,600,0.390701,0.268805,0.400735,0.113938,0.4768,0.183989,6.5816,0.151039,4.86524,0.116702,0.285317,0.260229,0.28273,0.22505,0.231509,0.20094,0.303314,0.254541,0.277468,0.260524,0.298592,0.241149
101,90,2,600,0.277593,0.430023,0.312022,0.220641,0.373814,0.19751,9.83728,0.187825,8.20516,0.252406,0.415752,0.392456,0.321668,0.351201,0.464984,0.311133,0.442807,0.398427,0.445543,0.329569,0.347483,0.34167
1,90,2,600,0.154424,0.000475,0.087751,0.000257,0.088496,0.000288,0.092281,0.000445,0.058295,0.000466,0.048678,0.002248,0.051025,0.001637,0.292787,0.0004,0.235958,0.000415,0.224865,0.003708,0.214198,0.001516
21,90,2,600,5.03961,0.096552,4.09921,0.047135,9.50165,0.049383,0.256039,0.009093,0.174562,0.009999,0.061402,0.009719,0.046728,0.010471,0.0393,0.008398,0.046963,0.00754,0.040982,0.010974,0.049558,0.009016
41,90,2,600,4.26522,0.293152,4.78124,0.167678,11.555,0.183509,0.868062,0.040476,1.0552,0.047601,0.256792,0.061434,0.116534,0.051085,0.12172,0.041927,0.157191,0.030391,0.105759,0.039516,0.140677,0.038581
61,90,2,600,2.94448,0.469004,5.56767,0.289509,10.9847,0.355798,2.37964,0.11384,1.97368,0.095588,0.222694,0.099575,0.255509,0.120146,0.267615,0.093914,0.23175,0.099765,0.2756,0.113222,0.336192,0.166711
81,90,2,600,5.51906,1.07856,3.1183,0.367487,7.48605,0.431379,2.20394,0.096545,1.64461,0.09467,0.122697,0.096788,0.125723,0.101124,0.112981,0.088993,0.104432,0.113174,0.124539,0.096264,0.127679,0.098318
101,90,2,600,2.82246,1.0801,2.72907,0.566253,5.06042,0.544449,3.01262,0.152822,2.98032,0.149736,0.114742,0.151184,0.122718,0.154048,0.356542,0.328321,0.245477,0.161515,0.109976,0.152054,0.19471,0.22244
1,90,2,600,0.293557,0.000583,0.330763,0.000477,0.255334,0.000273,0.136727,0.000344,0.143242,0.000263,0.671999,0.00311,0.357406,0.000905,0.79885,0.000589,0.345129,0.000412,0.477353,0.002186,0.274882,0.00116
21,90,2,600,3.78148,0.108273,4.82477,0.061954,5.99496,0.052485,0.470785,0.009025,0.486572,0.010831,0.120769,0.018431,0.129193,0.016071,0.157988,0.008975,0.127757,0.010816,0.171581,0.013659,0.154524,0.011921
41,90,2,600,2.0792,0.232531,2.93187,0.129019,3.16941,0.120624,0.591691,0.025723,0.504846,0.025844,0.059177,0.028805,0.058906,0.031285,0.056531,0.027191,0.062677,0.025326,0.086436,0.028314,0.063944,0.02971
61,90,2,600,1.87317,0.466151,1.94731,0.225562,2.18472,0.190354,1.21432,0.05943,0.994941,0.073236,0.068772,0.060045,0.084055,0.056355,0.066572,0.056994,0.083056,0.053997,0.070312,0.060541,0.075096,0.059282
81,90,2,600,1.63414,0.676949,1.84015,0.377954,5.29863,0.467859,4.12486,0.146627,2.93765,0.142222,0.169148,0.157174,0.164079,0.122002,0.170684,0.102819,0.176688,0.134038,0.153011,0.113142,0.204913,0.121956
101,90,2,600,3.09093,1.40905,2.90278,0.666022,2.85448,0.53503,3.12976,0.150471,5.6221,0.20046,0.304719,0.229263,0.157554,0.185647,0.158071,0.167969,0.322121,0.182114,0.285792,0.231675,0.195815,0.233791
1,90,2,600,0.252971,0.000606,0.49791,0.000495,0.473658,0.00026,0.132363,0.000323,0.152953,0.000307,0.178275,0.003068,0.238936,0.00269,0.207847,0.000584,0.209322,0.000576,0.098368,0.002628,0.066766,0.001539
21,90,2,600,2.01479,0.058562,3.40785,0.042128,6.14105,0.039622,0.578281,0.012902,0.442159,0.009902,0.06309,0.014315,0.141329,0.014853,0.119417,0.00968,0.081964,0.011147,0.173385,0.012861,0.147336,0.013343
41,90,2,600,3.53651,0.274082,2.77197,0.108364,5.37791,0.124955,0.515807,0.027464,0.506594,0.02871,0.057065,0.028601,0.057874,0.030026,0.05466,0.025588,0.117107,0.032203,0.162237,0.05467,0.284354,0.049196
61,90,2,600,4.09998,0.517571,2.05984,0.20431,6.44591,0.258972,1.87025,0.058055,1.11989,0.059015,0.071138,0.059963,0.072582,0.060453,0.075876,0.055586,0.085417,0.056283,0.081341,0.062254,0.091224,0.060837
