gamma,time_BA,iter_BA,time_HOG,iter_HOG,time_HOGL,iter_HOGL,time_KCA,iter_KCA,time_KCF,iter_KCF,time_KCRDK,iter_KCRDK,time_KCRDKL,iter_KCRDKL,time_KCU,iter_KCU,time_KCUD,iter_KCUD
1,0.01848046,3.16,0.007014199999999999,1.6,0.00609272,1.6,0.0053548,1.26,0.005175760000000001,1.26,0.0069267800000000004,1.66,0.00640972,1.64,0.006228200000000001,1.82,0.0061516800000000005,1.52
21,0.29381409999999997,8.56,0.03159446,1.22,0.030489259999999997,1.22,0.060582979999999995,1.0,0.059532379999999996,1.0,0.03147444,1.24,0.032141,1.3,0.029446240000000002,1.24,0.03065048,1.22
41,0.39295858,8.5,0.09841894,1.3,0.09746636,1.3,0.19412959999999999,1.0,0.19545972,1.0,0.10099593999999999,1.34,0.09761806,1.3,0.09586238,1.32,0.09233388,1.22
61,0.5391363,8.44,0.19585832,1.3,0.19475324,1.3,0.34022440000000004,1.0,0.33529803999999996,1.0,0.1963085,1.3,0.19546122,1.3,0.19316213999999998,1.32,0.18386508,1.22
81,0.76953682,8.66,0.33560712000000004,1.32,0.33423595999999994,1.32,0.5349562999999999,1.0,0.53420682,1.0,0.33528838,1.32,0.3355015,1.32,0.3283081,1.32,0.31571916,1.24
101,1.03293006,8.62,0.53739578,1.34,0.53553326,1.34,0.81839956,1.0,0.81720118,1.0,0.53812306,1.34,0.53141724,1.32,0.5265256,1.34,0.5074477000000001,1.26
