Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,2,600,0.042455,0.000602,0.016245,0.000488,0.017606,0.000706,0.015424,0.004942,0.015663,0.002753,0.015226,0.000558,0.018197,0.000601,0.013832,0.004764,0.015306,0.002551
21,100,2,600,0.049331,0.037873,0.19522,0.016715,0.141346,0.018999,0.01935,0.01991,0.019594,0.019372,0.018877,0.016481,0.022643,0.01695,0.020391,0.023447,0.019729,0.019276
41,100,2,600,0.021765,0.084075,0.38553,0.054777,0.408514,0.049655,0.051629,0.082253,0.050738,0.080489,0.049261,0.071116,0.055051,0.073047,0.052356,0.084382,0.052242,0.082736
61,100,2,600,0.027839,0.184247,0.339829,0.087225,0.287561,0.064221,0.058638,0.101802,0.059335,0.10091,0.058287,0.096867,0.06028,0.096643,0.059784,0.102157,0.058949,0.100504
81,100,2,600,0.015028,0.185765,0.434441,0.116375,0.424064,0.110389,0.097542,0.175417,0.099852,0.179534,0.094819,0.166319,0.095858,0.165882,0.094307,0.173229,0.094527,0.172525
101,100,2,600,0.015254,0.276648,0.579692,0.171397,0.580795,0.166358,0.139445,0.265616,0.140484,0.264569,0.140086,0.253449,0.141401,0.253721,0.139482,0.266641,0.140498,0.265929
1,100,2,600,0.028317,0.000469,0.005974,0.000281,0.006615,0.000356,0.008265,0.001622,0.009739,0.001125,0.0079,0.000335,0.00932,0.000381,0.005823,0.001566,0.006192,0.000981
21,100,2,600,0.440701,0.070009,0.020826,0.007895,0.020059,0.008344,0.011187,0.010103,0.009399,0.010136,0.009409,0.008161,0.010457,0.007672,0.011541,0.010144,0.009329,0.010054
41,100,2,600,0.477224,0.238031,0.05245,0.029313,0.054164,0.029082,0.022196,0.032555,0.021902,0.031562,0.021419,0.028752,0.022504,0.028643,0.02218,0.032973,0.021282,0.031383
61,100,2,600,0.373696,0.463106,0.10099,0.060854,0.098958,0.062015,0.040073,0.066596,0.039362,0.069296,0.039444,0.062038,0.040018,0.061355,0.039561,0.067152,0.039544,0.065183
81,100,2,600,0.509227,0.906377,0.177943,0.107044,0.188656,0.107328,0.064301,0.115411,0.064513,0.115553,0.064134,0.106626,0.064578,0.107168,0.064428,0.115676,0.064522,0.114394
101,100,2,600,0.380496,1.19042,0.260528,0.164523,0.263443,0.163045,0.093606,0.171908,0.094725,0.173941,0.094603,0.163097,0.09497,0.162992,0.094654,0.174318,0.094136,0.171496
1,100,2,600,0.014402,0.000319,0.006894,0.000353,0.005638,0.00028,0.00574,0.002374,0.005714,0.000807,0.00504,0.000267,0.008179,0.000279,0.005144,0.001262,0.0067,0.000908
21,100,2,600,0.892051,0.097997,0.023212,0.008197,0.023377,0.00774,0.009281,0.011033,0.009639,0.010612,0.009121,0.007637,0.011309,0.007727,0.010387,0.010689,0.009079,0.009809
41,100,2,600,0.579499,0.269959,0.090267,0.029072,0.092891,0.029322,0.021608,0.032477,0.022296,0.031357,0.021402,0.028883,0.022056,0.028787,0.020989,0.032958,0.020971,0.032021
61,100,2,600,0.485795,0.524032,0.15919,0.062508,0.167575,0.061889,0.039748,0.066709,0.03934,0.066076,0.039141,0.061061,0.039809,0.061423,0.039283,0.066918,0.038909,0.065129
81,100,2,600,0.667618,1.02369,0.222351,0.107419,0.239079,0.108427,0.064107,0.112873,0.064005,0.113687,0.063869,0.107543,0.064363,0.107293,0.064142,0.115443,0.063907,0.112924
101,100,2,600,0.506053,1.38331,0.318304,0.163074,0.319915,0.165852,0.09373,0.172974,0.093749,0.171016,0.093991,0.162294,0.094298,0.162108,0.093802,0.172724,0.093358,0.171014
1,100,2,600,0.026664,0.000426,0.004133,0.000212,0.004914,0.00019,0.007185,0.00184,0.008326,0.001311,0.007062,0.000306,0.007535,0.00024,0.009349,0.002877,0.007423,0.001309
21,100,2,600,1.11,0.10131,0.016604,0.007832,0.016021,0.010708,0.011388,0.010242,0.009864,0.011199,0.009071,0.008495,0.010225,0.007667,0.011354,0.010307,0.009725,0.00984
41,100,2,600,1.0116,0.316507,0.05148,0.029325,0.050328,0.029374,0.022138,0.032507,0.022451,0.031306,0.021307,0.028978,0.021812,0.028997,0.021148,0.032671,0.021893,0.03132
61,100,2,600,0.978927,0.666335,0.150205,0.061533,0.143721,0.062019,0.039146,0.067344,0.03946,0.064595,0.03878,0.061778,0.039911,0.060724,0.038868,0.068236,0.040251,0.065175
81,100,2,600,0.744595,1.01816,0.207633,0.106875,0.20311,0.107293,0.064092,0.113736,0.063926,0.111291,0.062986,0.107295,0.063984,0.105826,0.063638,0.114648,0.063534,0.112922
101,100,2,600,0.722283,1.56133,0.275918,0.165672,0.286355,0.164448,0.093462,0.17346,0.095303,0.171961,0.093607,0.161838,0.093942,0.158349,0.092792,0.172388,0.092597,0.17113
1,100,2,600,0.014949,0.00035,0.003108,0.00018,0.002898,0.000176,0.002866,0.00055,0.002893,0.00035,0.003974,0.000233,0.003322,0.000183,0.003045,0.00073,0.002965,0.000366
21,100,2,600,0.026985,0.018327,0.047404,0.009414,0.050068,0.008022,0.013561,0.016425,0.014721,0.013855,0.013655,0.011854,0.018878,0.012559,0.016982,0.017064,0.013262,0.015632
41,100,2,600,0.025071,0.068678,0.155672,0.030905,0.173356,0.030277,0.032,0.048956,0.032256,0.048094,0.031703,0.046673,0.035312,0.045485,0.031046,0.049728,0.031401,0.048127
61,100,2,600,0.02556,0.143906,0.27368,0.063173,0.245753,0.064405,0.059043,0.100799,0.059797,0.100152,0.057972,0.096287,0.062347,0.096177,0.058005,0.101017,0.058523,0.101979
81,100,2,600,0.025525,0.241227,0.369912,0.111631,0.368963,0.108764,0.095799,0.173602,0.096223,0.173258,0.094643,0.166331,0.098372,0.166152,0.094622,0.174907,0.094488,0.173019
101,100,2,600,0.026507,0.366868,0.560291,0.168509,0.543571,0.165897,0.139843,0.263785,0.140343,0.263431,0.138774,0.253497,0.142759,0.252121,0.136084,0.263271,0.138981,0.262099
1,100,2,600,0.027537,0.000485,0.004221,0.000178,0.004125,0.000196,0.00793,0.003395,0.007794,0.00076,0.009085,0.000371,0.008478,0.000337,0.00768,0.001408,0.008124,0.001044
21,100,2,600,0.437631,0.070642,0.024432,0.007968,0.024059,0.009983,0.010782,0.010405,0.009919,0.008824,0.010506,0.007657,0.009998,0.007649,0.009718,0.010078,0.010787,0.008949
41,100,2,600,0.275468,0.200377,0.066426,0.030404,0.065846,0.030687,0.022088,0.032097,0.021997,0.031164,0.02154,0.029656,0.022346,0.031818,0.022886,0.033747,0.021353,0.032247
61,100,2,600,0.272,0.426509,0.142638,0.062884,0.141605,0.062649,0.038965,0.065814,0.039694,0.065336,0.039158,0.061073,0.0398,0.060816,0.039316,0.066109,0.03947,0.066753
81,100,2,600,0.286331,0.72231,0.241174,0.107101,0.224217,0.107097,0.063514,0.11309,0.064346,0.111705,0.063051,0.106255,0.06414,0.105646,0.063204,0.113195,0.063442,0.112022
101,100,2,600,0.342075,1.19672,0.332173,0.164735,0.331607,0.164047,0.094039,0.172537,0.093601,0.169158,0.093783,0.162433,0.093783,0.161323,0.09328,0.173228,0.093121,0.168824
1,100,2,600,0.027041,0.000517,0.003882,0.000199,0.003785,0.000199,0.00937,0.00183,0.009616,0.001305,0.008057,0.000366,0.00978,0.000373,0.009246,0.001893,0.008468,0.00122
21,100,2,600,0.746106,0.088287,0.017708,0.007687,0.017465,0.00781,0.010002,0.010276,0.011312,0.009085,0.01001,0.007975,0.009968,0.009807,0.008898,0.011462,0.009004,0.009052
41,100,2,600,0.61992,0.269808,0.052928,0.02931,0.05286,0.030368,0.023167,0.033979,0.021356,0.03335,0.021274,0.029802,0.022286,0.02983,0.020961,0.033782,0.021303,0.032236
61,100,2,600,0.726028,0.595151,0.120557,0.061946,0.125191,0.061572,0.040189,0.06703,0.039549,0.065227,0.038668,0.060766,0.039703,0.060927,0.038799,0.069008,0.038763,0.065287
81,100,2,600,0.64234,0.956399,0.215493,0.108545,0.216351,0.105989,0.064187,0.114952,0.063544,0.111797,0.063575,0.105363,0.064158,0.106329,0.063255,0.114028,0.062797,0.112117
101,100,2,600,0.815807,1.64309,0.28181,0.163525,0.275072,0.162624,0.093354,0.17336,0.093825,0.170832,0.09003,0.163449,0.09391,0.162696,0.092836,0.174768,0.092677,0.170745
1,100,2,600,0.015084,0.000455,0.003724,0.000232,0.002928,0.000169,0.002753,0.000825,0.002794,0.000534,0.004084,0.000187,0.002908,0.000154,0.002747,0.000872,0.002756,0.000604
21,100,2,600,0.014526,0.014081,0.057382,0.009472,0.057945,0.008218,0.008978,0.008978,0.008154,0.008212,0.008867,0.007809,0.008883,0.007747,0.008435,0.008787,0.009486,0.00848
41,100,2,600,0.013562,0.055673,0.1765,0.03027,0.188118,0.030528,0.021463,0.031619,0.020444,0.029953,0.020343,0.028666,0.02095,0.028858,0.020256,0.031207,0.020311,0.030031
61,100,2,600,0.01602,0.107129,0.285223,0.062024,0.267086,0.065261,0.038003,0.063979,0.037986,0.063615,0.038036,0.060879,0.03867,0.061287,0.038096,0.064491,0.03807,0.063469
81,100,2,600,0.0415,0.304185,0.458217,0.108377,0.447443,0.109104,0.125172,0.236079,0.125717,0.236395,0.124958,0.226447,0.095864,0.166873,0.12526,0.235944,0.124905,0.23615
101,100,2,600,0.04276,0.45878,0.70518,0.166016,0.702591,0.165589,0.185228,0.359592,0.187282,0.355019,0.185728,0.344116,0.141831,0.251973,0.18476,0.358218,0.18296,0.356857
1,100,2,600,0.015174,0.000369,0.003102,0.000201,0.003171,0.000212,0.004697,0.000993,0.003271,0.000524,0.003013,0.000165,0.00344,0.000238,0.003904,0.000992,0.003141,0.000574
21,100,2,600,0.041667,0.023866,0.050558,0.009585,0.049852,0.008379,0.01383,0.014748,0.013378,0.013393,0.014541,0.011906,0.017667,0.01409,0.013585,0.014428,0.013797,0.012895
41,100,2,600,0.042933,0.084106,0.178422,0.030395,0.187671,0.029467,0.031853,0.049572,0.032669,0.048995,0.032315,0.045761,0.035843,0.046979,0.03144,0.04862,0.031878,0.049169
61,100,2,600,0.041714,0.175453,0.284218,0.063431,0.282358,0.063827,0.058226,0.102089,0.058042,0.101518,0.058031,0.095541,0.061525,0.095513,0.058872,0.100721,0.05827,0.102343
81,100,2,600,0.043939,0.306635,0.449688,0.108951,0.458052,0.11008,0.095425,0.172351,0.095668,0.173312,0.09538,0.164885,0.099452,0.167009,0.095938,0.173905,0.095602,0.173154
101,100,2,600,0.041048,0.463102,0.725625,0.166523,0.701577,0.166787,0.140023,0.262392,0.139184,0.26331,0.139674,0.252403,0.143271,0.254382,0.140753,0.263574,0.139398,0.262259
1,100,2,600,0.009159,0.000263,0.004474,0.000186,0.004312,0.000172,0.003033,0.00084,0.003075,0.000903,0.004167,0.000173,0.004202,0.000173,0.003003,0.000904,0.003881,0.000639
21,100,2,600,0.013269,0.014049,0.066041,0.010987,0.062495,0.008552,0.013775,0.014689,0.013017,0.015887,0.013262,0.011909,0.017887,0.012003,0.016658,0.01451,0.012978,0.015164
41,100,2,600,0.013512,0.049833,0.189127,0.029363,0.182916,0.030003,0.031446,0.048973,0.032048,0.047182,0.031426,0.045308,0.034055,0.045305,0.031686,0.048723,0.032091,0.047819
61,100,2,600,0.015077,0.105153,0.289426,0.064156,0.300107,0.063238,0.058882,0.101429,0.05933,0.10213,0.058113,0.095508,0.06126,0.096106,0.059102,0.101923,0.05855,0.100196
