Fichier, Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCU, time_subproblem_KCU, time_master_KCRDK, time_subproblem_KCRDK, time_master_KC_HOG, time_subproblem_KC_HOG
1,0,0.005362,0.000171,0.002673,0.000173,0.002278,0.000143,0.002093,0.000409,0.002111,0.000831
1,0,0.004102,0.000186,0.002559,0.000182,0.002049,0.000148,0.002032,0.000427,0.002193,0.000866
1,0,0.003705,0.000174,0.002512,0.000187,0.002081,0.000144,0.002074,0.000425,0.002168,0.00087
1,0,0.003625,0.000181,0.002653,0.000183,0.002146,0.000157,0.002073,0.00043,0.002197,0.00087
1,0,0.00374,0.000192,0.002523,0.000183,0.002145,0.000151,0.002086,0.000426,0.002202,0.000857
1,0,0.003707,0.000188,0.002644,0.00019,0.002277,0.000161,0.002141,0.000438,0.002237,0.000873
1,0,0.003769,0.000201,0.002604,0.000194,0.00211,0.000146,0.002104,0.000414,0.002235,0.000855
1,0,0.003699,0.000189,0.002498,0.000188,0.002127,0.000155,0.002065,0.000423,0.002185,0.000885
1,0,0.003709,0.000207,0.0025,0.000213,0.002156,0.000153,0.002077,0.000434,0.002196,0.000849
1,0,0.00365,0.000187,0.00255,0.000195,0.002166,0.000148,0.002154,0.000434,0.002188,0.000864
1,0,0.003673,0.000188,0.002507,0.000183,0.002091,0.000165,0.00209,0.000419,0.00218,0.000875
1,0,0.003765,0.000194,0.002511,0.000184,0.002169,0.000155,0.002046,0.000424,0.002179,0.000858
1,0,0.00381,0.000201,0.002812,0.000191,0.002348,0.00015,0.002167,0.000442,0.00231,0.000892
1,0,0.003712,0.000186,0.002487,0.000185,0.002119,0.000146,0.002058,0.000427,0.002209,0.00086
1,0,0.003633,0.000187,0.002528,0.000198,0.002188,0.000166,0.002094,0.000416,0.002181,0.000865
1,0,0.00377,0.000218,0.002694,0.000231,0.002293,0.000161,0.002159,0.00043,0.002239,0.000893
1,0,0.003747,0.000197,0.002558,0.000189,0.002295,0.000157,0.002122,0.00043,0.00232,0.000879
1,0,0.003784,0.000201,0.002547,0.00019,0.002201,0.00015,0.00211,0.000422,0.002218,0.000877
1,0,0.003667,0.000207,0.002599,0.000201,0.002172,0.00016,0.002042,0.000415,0.002155,0.000867
1,0,0.003635,0.000196,0.002513,0.000187,0.002161,0.000158,0.002094,0.000424,0.002198,0.000856
1,0,0.003744,0.000194,0.002678,0.000204,0.002205,0.000151,0.002149,0.000435,0.002249,0.000863
1,0,0.003671,0.000199,0.002555,0.000201,0.002167,0.000154,0.002032,0.000428,0.00224,0.000867
1,0,0.003739,0.000199,0.002493,0.000211,0.00218,0.000144,0.002058,0.000417,0.00211,0.00087
1,0,0.003556,0.000208,0.002511,0.000187,0.002126,0.000162,0.002113,0.000428,0.002216,0.000861
1,0,0.003685,0.000211,0.002469,0.000197,0.002099,0.000147,0.002047,0.000429,0.002197,0.000892
1,0,0.003623,0.000189,0.002594,0.000197,0.002095,0.000143,0.00204,0.000423,0.002185,0.000853
1,0,0.003701,0.000198,0.002642,0.00019,0.002554,0.00016,0.002129,0.000455,0.002289,0.000888
1,0,0.003563,0.000193,0.002496,0.000195,0.002121,0.00016,0.001996,0.000431,0.002193,0.000874
1,0,0.003694,0.000214,0.002672,0.000211,0.002193,0.000161,0.002103,0.00043,0.002199,0.000883
1,0,0.003683,0.0002,0.002494,0.000186,0.002208,0.000153,0.00213,0.000448,0.002399,0.000893
