Fichier, Gamma, tau, time_master_classic, time_subproblem_classic, time_master_matrix, time_subproblem_matrix, time_master_augmented, time_subproblem_augmented, time_master_augmented_HOG, time_subproblem_augmented_HOG
toy_instances/toy_instance_2.txt,1,0,0.077778,0.001124,0.031884,0.001046,0.031518,0.001401,0.022641,0.077446
toy_instances/toy_instance_7.txt,1,0,0.022321,0.000378,0.006725,0.000247,0.008871,0.000375,0.00882,0.010236
toy_instances/toy_instance_13.txt,1,0,0.01129,0.000292,0.004951,0.000206,0.008036,0.000287,0.005753,0.02567
toy_instances/toy_instance_20.txt,1,0,0.025245,0.000448,0.008891,0.000309,0.01102,0.00042,0.008753,0.038044
toy_instances/toy_instance_3.txt,1,0,0.010432,0.000278,0.00519,0.00021,0.007128,0.000264,0.008131,0.039986
toy_instances/toy_instance_16.txt,1,0,0.04341,0.000442,0.019637,0.002944,0.02215,0.0004,0.017868,0.052306
toy_instances/toy_instance_29.txt,1,0,0.043143,0.000593,0.015162,0.000482,0.008326,0.000268,0.025214,0.095266
toy_instances/toy_instance_5.txt,1,0,0.145858,0.000616,0.048814,0.002124,0.024422,0.000315,0.0334,0.116361
toy_instances/toy_instance_11.txt,1,0,0.031741,0.000307,0.005657,0.00023,0.00883,0.000256,0.011643,0.014783
toy_instances/toy_instance_19.txt,1,0,0.07624,0.000601,0.047274,0.000408,0.00699,0.000263,0.006694,0.003586
toy_instances/toy_instance_27.txt,1,0,0.043445,0.000593,0.019421,0.000391,0.015942,0.000266,0.024124,0.086084
toy_instances/toy_instance_22.txt,1,0,0.045932,0.000552,0.019753,0.000344,0.020828,0.000504,0.017822,0.045777
toy_instances/toy_instance_23.txt,1,0,0.051825,0.000649,0.027183,0.000424,0.017395,0.000584,0.026074,0.087856
toy_instances/toy_instance_8.txt,1,0,0.054573,0.000479,0.01589,0.0002,0.011771,0.000277,0.014909,0.059475
toy_instances/toy_instance_28.txt,1,0,0.048886,0.000453,0.014305,0.000314,0.011524,0.000312,0.014653,0.028832
toy_instances/toy_instance_21.txt,1,0,0.118413,0.000611,0.022139,0.000427,0.01792,0.000273,0.022304,0.068286
toy_instances/toy_instance_15.txt,1,0,0.095143,0.00088,0.025785,0.000513,0.008141,0.000311,0.01476,0.047367
toy_instances/toy_instance_26.txt,1,0,0.043547,0.000658,0.015261,0.000589,0.007129,0.0003,0.007099,0.009499
toy_instances/toy_instance_17.txt,1,0,0.042964,0.000668,0.016251,0.000605,0.007692,0.00031,0.007721,0.009814
toy_instances/toy_instance_24.txt,1,0,0.01219,0.00029,0.005802,0.000227,0.008148,0.000286,0.005067,0.024435
toy_instances/toy_instance_10.txt,1,0,0.04577,0.000642,0.012588,0.000427,0.007579,0.00034,0.012928,0.020269
toy_instances/toy_instance_18.txt,1,0,0.042325,0.000653,0.017091,0.000557,0.006957,0.000322,0.008011,0.028334
toy_instances/toy_instance_6.txt,1,0,0.020531,0.000475,0.005302,0.000231,0.005464,0.000256,0.005593,0.025571
toy_instances/toy_instance_30.txt,1,0,0.021314,0.000464,0.009364,0.000306,0.009685,0.000439,0.009485,0.036177
toy_instances/toy_instance_12.txt,1,0,0.02394,0.000594,0.005306,0.000279,0.005823,0.000292,0.005689,0.023832
toy_instances/toy_instance_25.txt,1,0,0.021327,0.000456,0.005485,0.000223,0.005725,0.000272,0.005586,0.02382
toy_instances/toy_instance_1.txt,1,0,0.0118,0.000294,0.004971,0.000218,0.007812,0.000376,0.005693,0.024932
toy_instances/toy_instance_4.txt,1,0,0.040291,0.000621,0.014071,0.000437,0.006676,0.000282,0.0072,0.004566
toy_instances/toy_instance_14.txt,1,0,0.041758,0.000617,0.015009,0.000426,0.007431,0.000271,0.015911,0.049861
toy_instances/toy_instance_9.txt,1,0,0.043962,0.000704,0.01714,0.000537,0.007586,0.000317,0.011609,0.038704
toy_instances/toy_instance_2.txt,1,20,0.043069,0.000642,0.015033,0.00043,0.007312,0.000325,0.007123,0.002225
toy_instances/toy_instance_7.txt,1,20,0.021475,0.000453,0.005314,0.000247,0.005051,0.000282,0.005406,0.018428
toy_instances/toy_instance_13.txt,1,20,0.025338,0.000469,0.009129,0.000241,0.005947,0.000325,0.00522,0.007048
toy_instances/toy_instance_20.txt,1,20,0.039878,0.000701,0.013399,0.000434,0.00677,0.000274,0.006804,0.009074
toy_instances/toy_instance_3.txt,1,20,0.010835,0.000355,0.006737,0.000234,0.008744,0.000347,0.005582,0.01346
toy_instances/toy_instance_16.txt,1,20,0.043712,0.000646,0.012849,0.000504,0.010265,0.000373,0.014572,0.053664
toy_instances/toy_instance_29.txt,1,20,0.025606,0.000533,0.00665,0.000219,0.006055,0.000317,0.005539,0.019132
toy_instances/toy_instance_5.txt,1,20,0.012852,0.000398,0.005608,0.000235,0.007648,0.000303,0.006569,0.025161
toy_instances/toy_instance_11.txt,1,20,0.03997,0.000645,0.011844,0.000443,0.006874,0.000279,0.006658,0.004121
toy_instances/toy_instance_19.txt,1,20,0.021063,0.000503,0.00441,0.0002,0.005868,0.000494,0.005828,0.025037
toy_instances/toy_instance_27.txt,1,20,0.044501,0.000778,0.012919,0.000481,0.007355,0.000297,0.006557,0.008851
toy_instances/toy_instance_22.txt,1,20,0.023365,0.00053,0.005256,0.000212,0.005512,0.000276,0.005717,0.014883
toy_instances/toy_instance_23.txt,1,20,0.020615,0.000496,0.004774,0.00021,0.005211,0.000357,0.006034,0.017433
toy_instances/toy_instance_8.txt,1,20,0.009284,0.000354,0.004837,0.000228,0.007552,0.000307,0.005553,0.024983
toy_instances/toy_instance_28.txt,1,20,0.009727,0.000356,0.004791,0.000214,0.007293,0.00031,0.005291,0.024286
