Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,2,100,0.008362,0.000395,0.005478,0.000246,0.003376,0.000211
1,100,2,200,0.002927,0.000232,0.002467,8.9e-05,0.002753,0.000631
1,100,2,300,0.004269,0.000324,0.002732,0.000151,0.002524,0.000332
1,100,2,400,0.002436,0.000398,0.004247,0.0002,0.00295,0.000456
1,100,2,500,0.002641,0.000483,0.002686,0.000134,0.002454,0.000474
1,100,2,600,0.003813,0.000702,0.002825,9.9e-05,0.002463,0.000519
1,100,2,700,0.002965,0.000521,0.003881,0.000294,0.005077,0.000985
1,100,2,800,0.00447,0.000961,0.00542,0.000181,0.003129,0.000699
1,100,2,900,0.002476,0.000557,0.002874,9.9e-05,0.002656,0.000738
1,100,2,1000,0.003802,0.000648,0.002694,0.000122,0.002434,0.000801
1,100,2,1100,0.002528,0.000859,0.003507,0.000113,0.002892,0.000771
1,100,2,1200,0.003104,0.000725,0.003262,0.000212,0.003763,0.000921
1,100,2,1300,0.002994,0.000698,0.002697,9.8e-05,0.0026,0.00077
1,100,2,1400,0.002778,0.000714,0.003772,0.000112,0.002932,0.000837
11,100,2,100,0.007597,0.002722,0.010564,0.00258,0.005967,0.002707
11,100,2,200,0.006735,0.002809,0.009966,0.002948,0.007083,0.002962
11,100,2,300,0.006559,0.00337,0.010259,0.002881,0.008172,0.003666
11,100,2,400,0.008801,0.004476,0.012121,0.004642,0.011937,0.006243
11,100,2,500,0.011186,0.006009,0.015756,0.005036,0.009756,0.003516
11,100,2,600,0.008165,0.00333,0.009945,0.002579,0.006455,0.003252
11,100,2,700,0.007342,0.003263,0.009454,0.003062,0.006798,0.003628
11,100,2,800,0.007586,0.003487,0.009529,0.002835,0.007035,0.003559
11,100,2,900,0.007285,0.00442,0.013512,0.00428,0.008795,0.00487
11,100,2,1000,0.008397,0.004474,0.014674,0.004372,0.009701,0.005349
11,100,2,1100,0.008156,0.006503,0.010252,0.003167,0.007844,0.003885
