Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,0,0.023533,0.000249,0.004921,0.000197,0.004651,0.002566,0.004094,0.001049,0.00361,0.000132,0.003207,0.000104,0.00209,0.002588,0.002098,0.002093
1,0,0.009391,0.000126,0.002108,9e-05,0.002075,0.001245,0.002084,0.000678,0.00206,7.8e-05,0.002051,8.1e-05,0.002065,0.002689,0.002079,0.002155
1,0,0.009419,0.000118,0.004006,0.000152,0.003226,0.001695,0.00318,0.000928,0.003161,0.00012,0.003974,0.000121,0.003195,0.003855,0.003162,0.003157
1,0,0.008035,0.000129,0.001957,9.2e-05,0.001933,0.001101,0.001931,0.000651,0.001919,7.5e-05,0.001909,7.8e-05,0.001914,0.002547,0.001941,0.002099
1,0,0.009079,0.000119,0.003764,0.000145,0.003184,0.001589,0.003734,0.000848,0.003163,0.000119,0.00379,0.000121,0.003179,0.003775,0.003711,0.002836
1,0,0.008586,0.000119,0.002118,9.3e-05,0.002079,0.000676,0.002087,0.000364,0.002085,7.9e-05,0.002084,8.7e-05,0.002076,0.001493,0.002078,0.001147
1,0,0.00855,0.000122,0.001954,0.0001,0.001931,0.000999,0.001934,0.000517,0.001911,7.7e-05,0.001898,7.9e-05,0.001913,0.00246,0.00193,0.001786
1,0,0.004165,8.2e-05,0.002939,9.5e-05,0.001937,0.001094,0.001907,0.000614,0.001905,8e-05,0.002325,8e-05,0.001924,0.00259,0.001919,0.002106
1,0,0.017388,0.000171,0.002803,9.5e-05,0.005237,0.002326,0.005217,0.001299,0.005212,0.000167,0.004297,0.000124,0.005228,0.005241,0.005235,0.004291
1,0,0.003998,8.1e-05,0.003193,9.4e-05,0.00212,0.001121,0.002161,0.000629,0.0021,8.1e-05,0.00275,8.1e-05,0.002147,0.002587,0.002149,0.002125
1,0,0.004456,8e-05,0.002974,9.5e-05,0.002083,0.001193,0.002151,0.000672,0.00209,8e-05,0.002844,8e-05,0.00216,0.002626,0.00216,0.002145
1,0,0.016372,0.000161,0.003845,0.000152,0.003791,0.001747,0.00384,0.000846,0.004845,0.000159,0.00378,0.000123,0.003801,0.003943,0.003818,0.0026
1,0,0.009686,0.000121,0.002106,9.3e-05,0.00208,0.001148,0.002082,0.000518,0.002077,8.8e-05,0.002082,8e-05,0.002073,0.002627,0.002109,0.00152
1,0,0.008883,0.000126,0.001967,9.9e-05,0.001933,0.001052,0.001934,0.000588,0.00192,7.8e-05,0.001919,8e-05,0.001923,0.00253,0.001947,0.002087
1,0,0.003958,8e-05,0.003158,0.0001,0.002155,0.001213,0.002159,0.000658,0.00214,8e-05,0.002884,8e-05,0.002157,0.002694,0.002165,0.002157
