Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAO, time_subproblem_BAO, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.023379,0.000421,0.033535,0.000227,0.006515,0.000328,0.004475,0.000173,0.003243,0.001797,0.00464,0.000855,0.002411,0.000136,0.002126,0.000126,0.004376,0.00274,0.006239,0.000722
21,90,2,600,0.038529,0.017624,0.054001,0.008802,0.096259,0.01251,0.125058,0.009026,0.021334,0.013852,0.017357,0.02297,0.028127,0.025183,0.033978,0.032583,0.027575,0.018528,0.022546,0.020129
41,90,2,600,0.047676,0.075937,0.057145,0.041905,0.283526,0.051156,0.194448,0.033967,0.032956,0.058578,0.035675,0.051712,0.033033,0.046256,0.031776,0.046681,0.039474,0.07548,0.034861,0.078611
61,90,2,600,0.05461,0.160207,0.067116,0.0992,0.419718,0.065823,0.336127,0.070181,0.071521,0.126572,0.074209,0.114973,0.073393,0.105269,0.081892,0.104992,0.081203,0.108453,0.075463,0.10855
81,90,2,600,0.048901,0.227652,0.061022,0.133542,0.585401,0.111112,0.487306,0.113112,0.110252,0.171727,0.107296,0.18513,0.103168,0.17667,0.11053,0.173494,0.110882,0.17365,0.103696,0.17852
101,90,2,600,0.082318,0.399718,0.100137,0.205041,0.830911,0.16531,0.735399,0.154992,0.157012,0.271076,0.162274,0.252076,0.171527,0.242134,0.168031,0.240138,0.154109,0.255692,0.154817,0.251417
1,90,2,600,0.004338,0.000107,0.00098,8.1e-05,0.00109,7.6e-05,0.000698,5.7e-05,0.000781,0.001008,0.000793,0.000241,0.000898,9.4e-05,0.000648,4.5e-05,0.000647,0.000315,0.000546,0.000191
21,90,2,600,0.000656,0.006059,0.001259,0.002148,0.003768,0.008155,0.002333,0.003324,0.003622,0.003525,0.003366,0.008041,0.002409,0.004862,0.00274,0.003009,0.010749,0.00514,0.004242,0.003089
41,90,2,600,0.00371,0.018926,0.001293,0.006977,0.013599,0.01621,0.016759,0.014121,0.01934,0.018987,0.012917,0.013112,0.010985,0.011826,0.013273,0.013225,0.008421,0.01863,0.008021,0.013848
61,90,2,600,0.002015,0.041334,0.001227,0.015564,0.028317,0.033251,0.017427,0.031535,0.02158,0.029819,0.016599,0.02739,0.026243,0.026311,0.018579,0.027947,0.019111,0.035084,0.016889,0.032094
