Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,90,5,1300,0.005542,0.005863,0.008226,0.004064
1,90,5,1400,0.005123,0.009518,0.006469,0.003709
1,90,7,100,0.005838,0.001109,0.004211,0.000948
1,90,7,200,0.005819,0.00176,0.004144,0.00104
1,90,7,300,0.005428,0.002188,0.005209,0.001872
1,90,7,400,0.00456,0.002638,0.005347,0.001944
1,90,7,500,0.003802,0.002671,0.005893,0.003156
1,90,7,600,0.003606,0.003221,0.005774,0.002663
1,90,7,700,0.003416,0.00343,0.005514,0.003805
1,90,7,800,0.004574,0.004656,0.00526,0.003148
1,90,7,900,0.005173,0.005568,0.004023,0.003006
1,90,7,1000,0.005855,0.005969,0.00411,0.003443
1,90,7,1100,0.005732,0.006113,0.005102,0.004757
1,90,7,1200,0.004279,0.005151,0.005357,0.005083
1,90,7,1300,0.005407,0.007349,0.004213,0.004192
1,90,7,1400,0.005053,0.008873,0.005169,0.006436
1,90,9,100,0.003607,0.000848,0.004451,0.000961
1,90,9,200,0.004888,0.001699,0.003449,0.001463
1,90,9,300,0.004948,0.003096,0.004571,0.002009
1,90,9,400,0.00497,0.003395,0.004587,0.002567
1,90,9,500,0.004065,0.004077,0.004635,0.003676
1,90,9,600,0.004524,0.00469,0.004692,0.003482
1,90,9,700,0.005158,0.006242,0.004639,0.004514
1,90,9,800,0.00442,0.005779,0.00518,0.00566
1,90,9,900,0.004125,0.006513,0.005702,0.004985
1,90,9,1000,0.005535,0.008038,0.004686,0.006344
1,90,9,1100,0.004822,0.007773,0.006062,0.006499
1,90,9,1200,0.005428,0.009244,0.005073,0.007268
1,90,9,1300,0.005284,0.010512,0.004336,0.007621
1,90,9,1400,0.004733,0.011834,0.004767,0.007539
1,90,11,100,0.005857,0.001437,0.003993,0.001099
1,90,11,200,0.004281,0.002521,0.004733,0.002083
1,90,11,300,0.003475,0.002943,0.005521,0.003439
1,90,11,400,0.003487,0.004213,0.005783,0.00455
1,90,11,500,0.004521,0.005932,0.005021,0.004586
1,90,11,600,0.004748,0.007049,0.005174,0.006275
1,90,11,700,0.00454,0.006929,0.006328,0.006201
1,90,11,800,0.005263,0.010756,0.005503,0.007654
1,90,11,900,0.00505,0.010281,0.005388,0.008261
1,90,11,1000,0.005481,0.011195,0.004248,0.008268
1,90,11,1100,0.004774,0.012291,0.00532,0.009416
1,90,11,1200,0.005067,0.013381,0.004891,0.009601
1,90,11,1300,0.005425,0.015722,0.005481,0.011326
1,90,11,1400,0.005117,0.016098,0.004779,0.012136
1,100,3,100,0.004915,0.000507,0.004607,0.000376
1,100,3,200,0.003479,0.000575,0.003749,0.000536
1,100,3,300,0.005659,0.001295,0.004022,0.00062
1,100,3,400,0.003883,0.001103,0.00584,0.001046
1,100,3,500,0.003522,0.001029,0.005283,0.001036
1,100,3,600,0.004568,0.001551,0.004102,0.00088
1,100,3,700,0.005401,0.002807,0.004137,0.000961
1,100,3,800,0.004773,0.002315,0.004935,0.001176
1,100,3,900,0.003969,0.001565,0.006012,0.001677
1,100,3,1000,0.004012,0.001759,0.005448,0.00184
1,100,3,1100,0.00452,0.002816,0.004204,0.001798
1,100,3,1200,0.006188,0.002512,0.004142,0.001314
1,100,3,1300,0.005106,0.005136,0.004086,0.001494
1,100,3,1400,0.00561,0.004675,0.003855,0.001417
1,100,5,100,0.005387,0.000937,0.004074,0.00043
1,100,5,200,0.003394,0.000821,0.005009,0.000829
1,100,5,300,0.004717,0.001183,0.004229,0.000933
1,100,5,400,0.005536,0.001805,0.004083,0.001088
1,100,5,500,0.005023,0.001986,0.005105,0.001469
1,100,5,600,0.003847,0.001849,0.006776,0.001997
1,100,5,700,0.003542,0.001923,0.006887,0.002602
1,100,5,800,0.004099,0.002593,0.006758,0.002368
1,100,5,900,0.00396,0.002482,0.005946,0.003416
1,100,5,1000,0.00439,0.002847,0.006249,0.002879
1,100,5,1100,0.004171,0.003077,0.006937,0.00251
1,100,5,1200,0.004351,0.003909,0.00617,0.003124
1,100,5,1300,0.004931,0.006084,0.004866,0.002384
1,100,5,1400,0.005229,0.006976,0.005,0.003189
1,100,7,100,0.006249,0.000752,0.003615,0.000544
1,100,7,200,0.003542,0.00131,0.005677,0.001363
1,100,7,300,0.003491,0.001494,0.00559,0.001859
1,100,7,400,0.004534,0.001876,0.004096,0.002103
1,100,7,500,0.005695,0.002641,0.00414,0.002136
1,100,7,600,0.005646,0.003901,0.004006,0.002616
1,100,7,700,0.006134,0.004165,0.004045,0.003477
1,100,7,800,0.005348,0.004105,0.00521,0.003742
1,100,7,900,0.004709,0.003915,0.00511,0.005326
1,100,7,1000,0.004266,0.004857,0.006682,0.004377
1,100,7,1100,0.005169,0.007348,0.004121,0.003603
1,100,7,1200,0.005454,0.006973,0.005106,0.005925
1,100,7,1300,0.004091,0.007333,0.005757,0.004296
1,100,7,1400,0.005804,0.008035,0.004559,0.006996
1,100,9,100,0.004549,0.000945,0.003364,0.000736
