Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAO, time_subproblem_BAO, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.01605,0.000288,0.017805,0.000132,0.003572,0.000164,0.003484,0.000146,0.002063,0.000643,0.001911,0.000399,0.001991,0.000131,0.002532,0.000116,0.002994,0.001129,0.002703,0.000552
21,90,2,600,0.025923,0.010965,0.035563,0.007343,0.076951,0.006292,0.086393,0.007847,0.014574,0.011417,0.012384,0.010263,0.013379,0.011657,0.01596,0.008814,0.010421,0.011595,0.012564,0.011787
41,90,2,600,0.031042,0.045299,0.036772,0.02619,0.153334,0.027595,0.14871,0.025735,0.026131,0.040519,0.025917,0.042552,0.026343,0.040746,0.026846,0.04007,0.025727,0.044812,0.025632,0.043734
61,90,2,600,0.033544,0.099406,0.043087,0.050333,0.26895,0.051275,0.2202,0.047469,0.04937,0.075345,0.05004,0.076746,0.049694,0.072288,0.050881,0.072726,0.050188,0.078368,0.05041,0.077456
81,90,2,600,0.03962,0.162626,0.047341,0.089029,0.583469,0.091019,0.40151,0.081907,0.076213,0.128218,0.094968,0.183377,0.102353,0.152658,0.106709,0.148098,0.078295,0.140531,0.073271,0.13625
101,90,2,600,0.066883,0.300869,0.074854,0.157317,0.629889,0.120797,0.575407,0.120702,0.116016,0.19046,0.119714,0.190864,0.12099,0.18821,0.120751,0.188703,0.118396,0.194102,0.121054,0.188729
1,90,2,600,0.003288,6.1e-05,0.000621,3.2e-05,0.000539,5.4e-05,0.000542,5.4e-05,0.000519,0.000287,0.000515,0.000192,0.000582,4.5e-05,0.000575,4.6e-05,0.00055,0.000436,0.000508,0.000215
21,90,2,600,0.000676,0.005141,0.001217,0.001774,0.002409,0.002901,0.004152,0.002677,0.002435,0.006145,0.00258,0.003565,0.003023,0.002622,0.002392,0.004895,0.002155,0.002997,0.004323,0.00287
41,90,2,600,0.000771,0.014478,0.000715,0.004789,0.00656,0.013592,0.005741,0.012591,0.009446,0.010019,0.011513,0.010252,0.009315,0.012823,0.007117,0.013614,0.005771,0.013663,0.005742,0.014738
61,90,2,600,0.001002,0.029855,0.00074,0.01069,0.012309,0.02001,0.012642,0.019527,0.012194,0.021211,0.011856,0.020423,0.011772,0.019985,0.01244,0.020213,0.01205,0.020946,0.011761,0.020618
81,90,2,600,0.000812,0.044635,0.014231,0.018481,0.020061,0.033855,0.019487,0.033675,0.019771,0.035629,0.019375,0.034807,0.019448,0.033535,0.019457,0.033621,0.019459,0.034978,0.020421,0.03469
101,90,2,600,0.000826,0.060848,0.016691,0.03283,0.029166,0.054954,0.028876,0.051404,0.028646,0.053559,0.02851,0.053115,0.028519,0.051516,0.028756,0.051463,0.02826,0.053283,0.028827,0.05308
1,90,2,600,0.009256,0.000269,0.016123,0.000208,0.002488,0.000252,0.0024,0.000148,0.003351,0.001475,0.003377,0.000685,0.002212,0.000129,0.00206,0.000121,0.003006,0.001376,0.004042,0.001085
21,90,2,600,0.013703,0.011528,0.018786,0.007047,0.090099,0.006544,0.05507,0.007033,0.008738,0.009513,0.010249,0.006331,0.011838,0.00719,0.009777,0.007307,0.008151,0.007807,0.006782,0.009023
41,90,2,600,0.017319,0.03629,0.024589,0.018692,0.1434,0.028819,0.130788,0.028905,0.018143,0.031196,0.016539,0.031205,0.018259,0.027202,0.02095,0.030244,0.016388,0.030207,0.019118,0.030421
61,90,2,600,0.019757,0.078634,0.027554,0.041216,0.26209,0.048286,0.233543,0.048091,0.039476,0.051329,0.032008,0.049388,0.031962,0.048093,0.032621,0.047668,0.039543,0.054927,0.046234,0.063155
81,90,2,600,0.028319,0.130314,0.031175,0.061176,0.443638,0.08306,0.366541,0.087927,0.051037,0.086527,0.051224,0.081942,0.054713,0.087634,0.051385,0.082158,0.061399,0.107595,0.055631,0.090535
101,90,2,600,0.030433,0.179849,0.023833,0.098025,0.671004,0.115448,0.551998,0.116984,0.074623,0.131455,0.076634,0.12142,0.073831,0.12267,0.084859,0.128659,0.080683,0.134875,0.081499,0.132652
1,90,2,600,0.001022,5.9e-05,0.000682,3.4e-05,0.000653,5.5e-05,0.000671,7.4e-05,0.000829,0.000607,0.000935,0.000183,0.000691,4.6e-05,0.000756,4.5e-05,0.000597,0.000356,0.000596,0.000198
21,90,2,600,0.000747,0.003307,0.000912,0.001484,0.003051,0.00289,0.00217,0.003716,0.003031,0.00312,0.003339,0.003153,0.00261,0.002662,0.002499,0.003181,0.00278,0.004229,0.003017,0.003105
