Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,20,0.012295,0.000219,0.004684,0.000366,0.004399,0.001682,0.005207,0.001097,0.004547,0.000228,0.004198,0.000178,0.005258,0.005112,0.004182,0.002178
1,20,0.006128,0.000196,0.004247,0.000117,0.002366,0.001565,0.003082,0.0015,0.002451,9.1e-05,0.003725,0.000139,0.002581,0.003344,0.00305,0.003806
1,20,0.012865,0.000245,0.00439,0.000262,0.004131,0.00332,0.005209,0.002079,0.00465,0.000183,0.005107,0.000243,0.004919,0.00593,0.004659,0.004285
1,20,0.023111,0.000365,0.003343,0.000146,0.007293,0.004811,0.006455,0.002265,0.006642,0.000298,0.004833,0.00023,0.007556,0.00761,0.007108,0.006303
1,20,0.012674,0.000276,0.00276,0.000106,0.002332,0.002295,0.003106,0.001103,0.002566,0.000156,0.00304,0.000131,0.002414,0.005443,0.002499,0.002551
1,40,0.011664,0.00019,0.002167,0.000123,0.002873,0.001588,0.002176,0.000648,0.002272,0.000133,0.003271,0.000157,0.002312,0.003105,0.002782,0.001849
1,40,0.012464,0.000226,0.002108,0.000121,0.002112,0.001407,0.003183,0.001061,0.002564,0.000159,0.002674,0.000127,0.002572,0.002884,0.002477,0.003664
1,40,0.013053,0.000237,0.005479,0.000257,0.004054,0.002883,0.005404,0.001955,0.004919,0.000174,0.004373,0.000174,0.004838,0.005636,0.004744,0.004521
1,40,0.012426,0.00023,0.006524,0.000259,0.004317,0.002197,0.004381,0.001711,0.003657,0.000245,0.005177,0.000202,0.004539,0.006034,0.003945,0.004497
1,40,0.024229,0.000499,0.005183,0.000348,0.004943,0.003801,0.005028,0.001635,0.006743,0.000408,0.005668,0.000391,0.004754,0.005343,0.005165,0.003757
