STANDARD,1,0,4,0.034318,0.033645,0.000436
MATRIX,1,0,3,0.01042,0.009432,0.000416
STANDARD,1,20,4,0.034747,0.03386,0.000622
MATRIX,1,20,3,0.00943,0.008317,0.000506
STANDARD,1,40,3,0.021783,0.021066,0.000463
MATRIX,1,40,1,0.005491,0.004992,0.000234
STANDARD,1,60,4,0.02804,0.027403,0.000398
MATRIX,1,60,3,0.008283,0.007488,0.000293
STANDARD,1,80,2,0.008507,0.008278,0.00016
MATRIX,1,80,1,0.003905,0.003488,0.000186
STANDARD,1,100,2,0.007682,0.00747,0.000136
MATRIX,1,100,1,0.00337,0.003095,0.000119
STANDARD,11,0,2,0.010549,0.008502,0.001977
MATRIX,11,0,1,0.012956,0.006502,0.002471
STANDARD,11,20,9,0.140291,0.129685,0.010112
MATRIX,11,20,1,0.007464,0.004334,0.001469
STANDARD,11,40,9,0.147945,0.136948,0.010405
MATRIX,11,40,1,0.011065,0.006631,0.001407
STANDARD,11,60,4,0.028729,0.024483,0.004082
MATRIX,11,60,2,0.015635,0.009357,0.003163
STANDARD,11,80,15,0.477522,0.460352,0.016402
MATRIX,11,80,2,0.012789,0.007532,0.002676
STANDARD,11,100,10,0.180749,0.168387,0.011758
MATRIX,11,100,1,0.008286,0.004834,0.001615
STANDARD,21,0,10,0.226076,0.19601,0.02939
MATRIX,21,0,1,0.025124,0.009437,0.005114
STANDARD,21,20,7,0.107058,0.080362,0.026329
MATRIX,21,20,1,0.02717,0.008033,0.010261
STANDARD,21,40,3,0.029714,0.015653,0.013902
MATRIX,21,40,1,0.026247,0.00794,0.009742
STANDARD,21,60,3,0.030802,0.016367,0.014279
MATRIX,21,60,2,0.046585,0.016878,0.013938
STANDARD,21,80,3,0.03124,0.016596,0.01449
MATRIX,21,80,1,0.028009,0.011599,0.007626
STANDARD,21,100,5,0.060259,0.041168,0.018823
MATRIX,21,100,2,0.047674,0.01291,0.016873
STANDARD,31,0,3,0.044517,0.019159,0.02519
MATRIX,31,0,2,0.081159,0.021803,0.023918
STANDARD,31,20,12,0.41176,0.294427,0.116365
MATRIX,31,20,1,0.050974,0.01688,0.016383
STANDARD,31,40,2,0.027296,0.009264,0.017954
MATRIX,31,40,1,0.051344,0.015853,0.016394
STANDARD,31,60,14,0.502044,0.388904,0.112293
MATRIX,31,60,1,0.046509,0.015324,0.012282
STANDARD,31,80,3,0.042252,0.01181,0.030257
MATRIX,31,80,2,0.080827,0.026985,0.024667
STANDARD,31,100,11,0.340553,0.251415,0.088399
MATRIX,31,100,1,0.052739,0.015401,0.01525
STANDARD,41,0,2,0.035814,0.007432,0.028301
MATRIX,41,0,1,0.078256,0.019452,0.025102
STANDARD,41,20,3,0.064762,0.017272,0.047351
MATRIX,41,20,2,0.132975,0.032762,0.044632
STANDARD,41,40,11,0.415392,0.255076,0.159564
MATRIX,41,40,1,0.080103,0.023556,0.02665
STANDARD,41,60,3,0.064358,0.020903,0.043298
MATRIX,41,60,1,0.074205,0.020855,0.024246
STANDARD,41,80,2,0.042037,0.011457,0.030514
MATRIX,41,80,1,0.078485,0.021611,0.022862
STANDARD,41,100,14,0.615382,0.414537,0.199796
MATRIX,41,100,1,0.079595,0.019904,0.028348
STANDARD,51,0,4,0.1276,0.041132,0.08622
MATRIX,51,0,1,0.111189,0.027244,0.042322
STANDARD,51,20,3,0.085902,0.024534,0.061211
MATRIX,51,20,2,0.17507,0.040746,0.059362
STANDARD,51,40,11,0.505733,0.279384,0.225564
MATRIX,51,40,1,0.104925,0.0279,0.036418
STANDARD,51,60,2,0.049139,0.006702,0.042283
MATRIX,51,60,1,0.105854,0.025612,0.039711
STANDARD,51,80,15,0.808106,0.48055,0.326573
MATRIX,51,80,1,0.109016,0.027604,0.041302
STANDARD,51,100,15,0.83166,0.50179,0.328818
MATRIX,51,100,1,0.108389,0.029347,0.038626
STANDARD,61,0,7,0.320152,0.123472,0.196185
MATRIX,61,0,1,0.149882,0.035902,0.044836
STANDARD,61,20,11,0.607098,0.287808,0.318422
MATRIX,61,20,1,0.151217,0.035807,0.053104
STANDARD,61,40,2,0.070787,0.012427,0.058272
MATRIX,61,40,1,0.151316,0.035708,0.048371
STANDARD,61,60,7,0.316666,0.115122,0.201116
MATRIX,61,60,1,0.15849,0.037706,0.057254
STANDARD,61,80,3,0.109343,0.026372,0.082834
MATRIX,61,80,2,0.244592,0.055298,0.084851
STANDARD,61,100,11,0.605422,0.280138,0.324469
MATRIX,61,100,1,0.153396,0.036519,0.053307
STANDARD,71,0,2,0.091544,0.014777,0.076697
MATRIX,71,0,1,0.201911,0.046216,0.058258
STANDARD,71,20,2,0.093064,0.013376,0.079619
MATRIX,71,20,1,0.192079,0.047428,0.058696
STANDARD,71,40,11,0.729634,0.291268,0.431901
MATRIX,71,40,1,0.200682,0.04965,0.060776
STANDARD,71,60,15,1.13024,0.570919,0.558188
MATRIX,71,60,1,0.194548,0.046888,0.060103
STANDARD,71,80,14,1.01218,0.466042,0.54528
MATRIX,71,80,1,0.200996,0.049197,0.071462
STANDARD,71,100,17,1.35547,0.705047,0.649232
MATRIX,71,100,1,0.196966,0.045517,0.066956
STANDARD,81,0,2,0.113094,0.014414,0.098611
MATRIX,81,0,1,0.263848,0.064058,0.084346
STANDARD,81,20,9,0.626652,0.200985,0.425082
MATRIX,81,20,8,1.27643,0.27653,0.411524
STANDARD,81,40,15,1.24703,0.542585,0.703492
MATRIX,81,40,1,0.239068,0.057932,0.074531
STANDARD,81,60,10,0.720006,0.247113,0.472329
MATRIX,81,60,1,0.250397,0.055646,0.092695
STANDARD,81,80,4,0.24358,0.049723,0.193653
MATRIX,81,80,2,0.378526,0.084878,0.139584
STANDARD,81,100,10,0.702739,0.231041,0.471006
MATRIX,81,100,1,0.2444,0.054607,0.083897
STANDARD,91,0,7,0.53998,0.128212,0.411416
MATRIX,91,0,3,0.675696,0.143786,0.211342
STANDARD,91,20,4,0.292051,0.054617,0.237248
MATRIX,91,20,3,0.648486,0.140182,0.195348
STANDARD,91,40,3,0.200928,0.032748,0.167972
MATRIX,91,40,1,0.295157,0.064659,0.08762
STANDARD,91,60,18,1.90657,0.863877,1.0416
MATRIX,91,60,1,0.2948,0.062676,0.088459
STANDARD,91,80,13,1.16947,0.416834,0.751914
MATRIX,91,80,1,0.302611,0.064907,0.09172
STANDARD,91,100,2,0.136341,0.021185,0.115039
MATRIX,91,100,1,0.308503,0.06615,0.105036
