STANDARD,1,0,4,0.034318,0.033645,0.000436
KC,1,0,1,0.006022,0.00566,0.000197
STANDARD,1,20,4,0.034747,0.03386,0.000622
KC,1,20,1,0.008771,0.008307,0.000249
STANDARD,1,40,3,0.021783,0.021066,0.000463
KC,1,40,1,0.006185,0.005638,0.000235
STANDARD,1,60,4,0.02804,0.027403,0.000398
KC,1,60,2,0.006598,0.005806,0.000383
STANDARD,1,80,2,0.008507,0.008278,0.00016
KC,1,80,1,0.004261,0.003947,0.000192
STANDARD,1,100,2,0.007682,0.00747,0.000136
KC,1,100,1,0.004167,0.00387,0.000198
STANDARD,11,0,2,0.010549,0.008502,0.001977
KC,11,0,1,0.035909,0.032482,0.001794
STANDARD,11,20,9,0.140291,0.129685,0.010112
KC,11,20,1,0.024915,0.018628,0.002729
STANDARD,11,40,9,0.147945,0.136948,0.010405
KC,11,40,1,0.023594,0.018638,0.002624
STANDARD,11,60,4,0.028729,0.024483,0.004082
KC,11,60,1,0.037788,0.032793,0.002609
STANDARD,11,80,15,0.477522,0.460352,0.016402
KC,11,80,1,0.020474,0.015432,0.002377
STANDARD,11,100,10,0.180749,0.168387,0.011758
KC,11,100,1,0.016475,0.012672,0.001955
STANDARD,21,0,10,0.226076,0.19601,0.02939
KC,21,0,1,0.073383,0.058896,0.006641
STANDARD,21,20,7,0.107058,0.080362,0.026329
KC,21,20,1,0.09104,0.075533,0.006656
STANDARD,21,40,3,0.029714,0.015653,0.013902
KC,21,40,1,0.114985,0.096583,0.009457
STANDARD,21,60,3,0.030802,0.016367,0.014279
KC,21,60,1,0.099309,0.083088,0.007432
STANDARD,21,80,3,0.03124,0.016596,0.01449
KC,21,80,1,0.091647,0.074416,0.009379
STANDARD,21,100,5,0.060259,0.041168,0.018823
KC,21,100,1,0.071517,0.054278,0.007839
STANDARD,31,0,3,0.044517,0.019159,0.02519
KC,31,0,1,0.16282,0.133354,0.01426
STANDARD,31,20,12,0.41176,0.294427,0.116365
KC,31,20,1,0.092644,0.060456,0.014231
STANDARD,31,40,2,0.027296,0.009264,0.017954
KC,31,40,1,0.154897,0.126496,0.015009
STANDARD,31,60,14,0.502044,0.388904,0.112293
KC,31,60,1,0.112298,0.081159,0.015706
STANDARD,31,80,3,0.042252,0.01181,0.030257
KC,31,80,1,0.158778,0.128454,0.016788
STANDARD,31,100,11,0.340553,0.251415,0.088399
KC,31,100,1,0.121929,0.091895,0.013166
STANDARD,41,0,2,0.035814,0.007432,0.028301
KC,41,0,1,0.209256,0.156455,0.028727
STANDARD,41,20,3,0.064762,0.017272,0.047351
KC,41,20,1,0.21677,0.160461,0.027999
STANDARD,41,40,11,0.415392,0.255076,0.159564
KC,41,40,1,0.195549,0.145053,0.025453
STANDARD,41,60,3,0.064358,0.020903,0.043298
KC,41,60,1,0.195557,0.135999,0.032123
STANDARD,41,80,2,0.042037,0.011457,0.030514
KC,41,80,1,0.207671,0.150768,0.030256
STANDARD,41,100,14,0.615382,0.414537,0.199796
KC,41,100,1,0.111031,0.059291,0.026846
STANDARD,51,0,4,0.1276,0.041132,0.08622
KC,51,0,1,0.242801,0.173309,0.039327
STANDARD,51,20,3,0.085902,0.024534,0.061211
KC,51,20,1,0.27823,0.204598,0.043543
STANDARD,51,40,11,0.505733,0.279384,0.225564
KC,51,40,1,0.205145,0.127049,0.048523
STANDARD,51,60,2,0.049139,0.006702,0.042283
KC,51,60,1,0.264702,0.195519,0.039356
STANDARD,51,80,15,0.808106,0.48055,0.326573
KC,51,80,1,0.244569,0.168242,0.045409
STANDARD,51,100,15,0.83166,0.50179,0.328818
KC,51,100,1,0.139359,0.06763,0.042502
STANDARD,61,0,7,0.320152,0.123472,0.196185
KC,61,0,1,0.336324,0.226775,0.059801
STANDARD,61,20,11,0.607098,0.287808,0.318422
KC,61,20,1,0.29276,0.194809,0.049357
