Fichier, Gamma, tau, time_master_s_classic, time_subproblem_s_classic, time_master_s_augmented, time_subproblem_s_augmented, time_master_s_augmented_HOG, time_subproblem_s_augmented_HOG
toy_instances/toy_instance_1.txt,1,0,0.009104,0.000163,0.004089,0.000144,0.004893,0.002038
toy_instances/toy_instance_1.txt,1,20,0.003331,9.1e-05,0.003017,0.000113,0.002967,0.000912
toy_instances/toy_instance_1.txt,1,40,0.005464,0.000152,0.003094,0.000123,0.002983,0.000581
toy_instances/toy_instance_1.txt,1,60,0.017455,0.000186,0.002321,7.9e-05,0.002739,0.002869
toy_instances/toy_instance_1.txt,1,80,0.007196,0.000157,0.001896,8.8e-05,0.002262,0.003101
toy_instances/toy_instance_1.txt,1,100,0.002806,7.4e-05,0.002242,9.5e-05,0.002358,0.001147
toy_instances/toy_instance_1.txt,11,0,0.011416,0.002469,0.00514,0.000869,0.006727,0.004891
toy_instances/toy_instance_1.txt,11,20,0.009621,0.002641,0.0113,0.001302,0.007673,0.013126
toy_instances/toy_instance_1.txt,11,40,0.011369,0.002667,0.004791,0.000838,0.005031,0.003971
toy_instances/toy_instance_1.txt,11,60,0.038532,0.0104,0.005472,0.000759,0.00398,0.006039
toy_instances/toy_instance_1.txt,11,80,0.006281,0.002418,0.009467,0.000923,0.003505,0.005299
toy_instances/toy_instance_1.txt,11,100,0.016088,0.004029,0.003788,0.001162,0.003474,0.003349
toy_instances/toy_instance_1.txt,21,0,0.011547,0.008148,0.027805,0.003581,0.013438,0.01772
toy_instances/toy_instance_1.txt,21,20,0.003882,0.003615,0.017925,0.002288,0.003817,0.005837
toy_instances/toy_instance_1.txt,21,40,0.008076,0.005848,0.03227,0.00312,0.008133,0.01135
toy_instances/toy_instance_1.txt,21,60,0.016209,0.00889,0.011088,0.002661,0.007546,0.009987
toy_instances/toy_instance_1.txt,21,80,0.029118,0.013158,0.009054,0.002467,0.009536,0.010857
toy_instances/toy_instance_1.txt,21,100,0.017776,0.023189,0.034552,0.009206,0.025819,0.022102
toy_instances/toy_instance_1.txt,31,0,0.02475,0.030477,0.035678,0.007589,0.010494,0.010933
toy_instances/toy_instance_1.txt,31,20,0.013983,0.024993,0.061674,0.008567,0.005023,0.010646
toy_instances/toy_instance_1.txt,31,40,0.017352,0.02171,0.018343,0.005534,0.010131,0.016644
toy_instances/toy_instance_1.txt,31,60,0.013133,0.019123,0.063176,0.012705,0.023992,0.043586
toy_instances/toy_instance_1.txt,31,80,0.005645,0.012129,0.06937,0.012192,0.010719,0.022536
toy_instances/toy_instance_1.txt,31,100,0.016583,0.020735,0.060161,0.014145,0.012805,0.021936
toy_instances/toy_instance_1.txt,41,0,0.02159,0.050194,0.026383,0.009715,0.016648,0.023345
toy_instances/toy_instance_1.txt,41,20,0.01311,0.033155,0.241935,0.027264,0.084207,0.117572
toy_instances/toy_instance_1.txt,41,40,0.008984,0.025924,0.148018,0.0201,0.021835,0.037984
toy_instances/toy_instance_1.txt,41,60,0.015548,0.060371,0.159654,0.022542,0.042229,0.073973
toy_instances/toy_instance_1.txt,41,80,0.013938,0.03329,0.129585,0.018418,0.009828,0.016126
toy_instances/toy_instance_1.txt,41,100,0.013599,0.040204,0.034825,0.009483,0.008846,0.012146
toy_instances/toy_instance_1.txt,51,0,0.006578,0.034914,0.102785,0.014578,0.054605,0.087657
toy_instances/toy_instance_1.txt,51,20,0.008427,0.033239,0.072994,0.013357,0.015157,0.027665
toy_instances/toy_instance_1.txt,51,40,0.004731,0.024923,0.084262,0.012551,0.01009,0.018379
toy_instances/toy_instance_1.txt,51,60,0.005042,0.023519,0.07763,0.017855,0.010996,0.018634
toy_instances/toy_instance_1.txt,51,80,0.032815,0.081229,0.025694,0.019098,0.017143,0.024895
toy_instances/toy_instance_1.txt,51,100,0.003431,0.020584,0.083678,0.011764,0.015336,0.022456
toy_instances/toy_instance_1.txt,61,0,0.002515,0.01944,0.133151,0.017978,0.01186,0.018109
toy_instances/toy_instance_1.txt,61,20,0.019374,0.092662,0.026728,0.017535,0.0195,0.030409
toy_instances/toy_instance_1.txt,61,40,0.029617,0.100936,0.092584,0.026982,0.017368,0.032817
toy_instances/toy_instance_1.txt,61,60,0.003861,0.030843,0.05686,0.017795,0.010703,0.02141
toy_instances/toy_instance_1.txt,61,80,0.010573,0.064954,0.016292,0.019068,0.013792,0.022376
toy_instances/toy_instance_1.txt,61,100,0.006231,0.041245,0.066986,0.015443,0.020921,0.03525
toy_instances/toy_instance_1.txt,71,0,0.005517,0.053362,0.117974,0.021618,0.020672,0.037961
toy_instances/toy_instance_1.txt,71,20,0.004114,0.03749,0.122321,0.022672,0.015368,0.02342
toy_instances/toy_instance_1.txt,71,40,0.010356,0.073498,0.09942,0.021951,0.042145,0.065523
toy_instances/toy_instance_1.txt,71,60,0.012104,0.083815,0.029567,0.022942,0.015079,0.025288
toy_instances/toy_instance_1.txt,71,80,0.002502,0.026704,0.145807,0.027106,0.019411,0.033912
toy_instances/toy_instance_1.txt,71,100,0.00469,0.047642,0.139672,0.02312,0.031767,0.053281
toy_instances/toy_instance_1.txt,81,0,0.024561,0.166353,0.043665,0.026051,0.027066,0.048523
toy_instances/toy_instance_1.txt,81,20,0.004251,0.047484,0.112936,0.027911,0.017484,0.032386
toy_instances/toy_instance_1.txt,81,40,0.010939,0.098677,0.05702,0.031003,0.016301,0.029193
toy_instances/toy_instance_1.txt,81,60,0.052683,0.25026,0.196411,0.051448,0.038974,0.071943
toy_instances/toy_instance_1.txt,81,80,0.006649,0.080353,0.12034,0.033815,0.050832,0.086364
toy_instances/toy_instance_1.txt,81,100,0.00933,0.090185,0.104299,0.029654,0.033497,0.060983
toy_instances/toy_instance_1.txt,91,0,0.009705,0.117353,0.025336,0.037227,0.020477,0.041836
toy_instances/toy_instance_1.txt,91,20,0.012376,0.118206,0.031616,0.0377,0.020517,0.03938
toy_instances/toy_instance_1.txt,91,40,0.006763,0.078917,0.214826,0.043998,0.045237,0.069236
toy_instances/toy_instance_1.txt,91,60,0.012448,0.127988,0.188751,0.038641,0.022025,0.041541
toy_instances/toy_instance_1.txt,91,80,0.007594,0.105562,0.152545,0.034249,0.054892,0.097495
toy_instances/toy_instance_1.txt,91,100,0.008727,0.099929,0.139409,0.036032,0.051799,0.103527
