Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.121186,0.000303,0.085107,0.000217,0.142984,0.000179,0.071096,0.000255,0.049541,0.000308,0.041513,0.001237,0.054262,0.000841,0.047117,0.000319,0.044584,0.000313,0.044233,0.002166,0.045652,0.000718
21,90,2,600,1.05879,0.042938,1.68824,0.025832,1.5791,0.023304,0.155748,0.008338,0.153672,0.007858,0.035815,0.010197,0.034014,0.009293,0.03163,0.008431,0.038079,0.00743,0.030629,0.009443,0.033231,0.008746
41,90,2,600,1.42521,0.159679,1.23486,0.075517,1.14083,0.068,0.493253,0.024716,0.394656,0.025071,0.052524,0.028382,0.042446,0.026942,0.042014,0.024262,0.048883,0.024881,0.041098,0.026954,0.043305,0.027128
61,90,2,600,0.991735,0.296133,1.09763,0.153172,1.87755,0.155993,1.0243,0.053022,0.862006,0.052924,0.058011,0.05553,0.05875,0.054923,0.056963,0.051725,0.062204,0.051028,0.056615,0.055282,0.057478,0.055262
81,90,2,600,1.08411,0.499638,1.47534,0.259435,1.3068,0.22939,1.85377,0.089861,1.54415,0.089423,0.076414,0.093883,0.079036,0.093293,0.076345,0.087552,0.080346,0.087851,0.077911,0.093852,0.076138,0.093514
101,90,2,600,1.15258,0.835362,1.31169,0.388123,2.03964,0.425035,2.44724,0.137007,2.77919,0.137848,0.10339,0.144498,0.103379,0.142375,0.105269,0.135269,0.109156,0.135353,0.102135,0.14453,0.103436,0.142517
1,90,2,600,0.116924,0.000432,0.128671,0.000223,0.101427,0.000208,0.028615,0.000243,0.029301,0.000187,0.064298,0.002354,0.051873,0.001213,0.05761,0.000489,0.04463,0.0004,0.043392,0.001759,0.044169,0.001075
21,90,2,600,1.35067,0.05986,1.49827,0.029402,2.46882,0.027109,0.152367,0.007583,0.144722,0.008018,0.031221,0.009966,0.040213,0.008798,0.030256,0.00753,0.037716,0.007824,0.029561,0.010256,0.03015,0.008918
41,90,2,600,1.95364,0.218806,2.19317,0.122944,2.46527,0.093077,0.451855,0.028624,0.410689,0.02584,0.043478,0.02813,0.042589,0.027902,0.039839,0.025372,0.048464,0.025316,0.040158,0.02762,0.040702,0.027345
61,90,2,600,1.91799,0.453512,2.20196,0.234924,2.4241,0.18381,1.15834,0.052373,1.06115,0.05269,0.055769,0.054717,0.057868,0.055444,0.061325,0.051641,0.065644,0.052027,0.058721,0.056761,0.056896,0.054734
81,90,2,600,2.08139,0.808286,1.98754,0.390973,2.64026,0.318629,1.81056,0.094296,1.80325,0.092758,0.078339,0.095153,0.080321,0.093734,0.076271,0.088801,0.083897,0.087457,0.076564,0.095779,0.078373,0.094159
101,90,2,600,1.57706,1.07272,1.80114,0.546147,2.62402,0.46872,2.50194,0.137492,3.03946,0.145228,0.180773,0.156936,0.17733,0.165176,0.106116,0.136591,0.114234,0.132919,0.155466,0.149049,0.175041,0.169213
1,90,2,600,0.151815,0.000376,0.064543,0.000182,0.059893,0.00015,0.023094,0.000166,0.02204,0.000212,0.026938,0.000391,0.026982,0.000373,0.025654,0.000172,0.023131,0.000143,0.025862,0.000472,0.023104,0.000355
21,90,2,600,0.059914,0.013253,0.069139,0.006652,0.076759,0.008282,0.169242,0.00831,0.160162,0.007984,0.036126,0.009616,0.036165,0.009654,0.033676,0.007102,0.035276,0.008248,0.041561,0.009363,0.032756,0.008778
41,90,2,600,0.06494,0.043784,0.06952,0.022074,0.076445,0.024079,0.687277,0.027381,0.507898,0.026382,0.045385,0.027558,0.040536,0.026111,0.041717,0.02426,0.04813,0.024361,0.040707,0.027021,0.041426,0.026789
61,90,2,600,0.057068,0.090855,0.063891,0.047768,0.080605,0.046503,1.52784,0.053631,0.799723,0.055258,0.061855,0.055589,0.054743,0.053567,0.052924,0.050677,0.060503,0.051753,0.052727,0.054162,0.053291,0.053708
81,90,2,600,0.063791,0.150905,0.062218,0.076762,0.077703,0.075556,2.16645,0.093317,2.65757,0.100912,0.083298,0.097694,0.086939,0.09627,0.077493,0.088979,0.082523,0.09834,0.092536,0.100291,0.093969,0.094949
101,90,2,600,0.060344,0.242863,0.061212,0.120869,0.078806,0.117432,2.87408,0.136565,3.36892,0.139076,0.104836,0.141104,0.101451,0.140602,0.100363,0.133917,0.106914,0.133628,0.103798,0.149822,0.105956,0.141961
1,90,2,600,0.121035,0.000446,0.220712,0.000316,0.103977,0.000214,0.033779,0.000201,0.04113,0.000213,0.07385,0.002175,0.06612,0.001186,0.059508,0.000421,0.05843,0.000327,0.060736,0.002427,0.062728,0.001419
21,90,2,600,4.62131,0.089424,4.49103,0.042881,6.2213,0.033819,0.165005,0.00784,0.155048,0.007918,0.036995,0.009645,0.039174,0.008045,0.048366,0.008126,0.038618,0.007757,0.03558,0.009684,0.036669,0.008764
41,90,2,600,5.43573,0.277868,6.17591,0.152816,8.69341,0.126286,0.400196,0.027459,0.398422,0.027183,0.044738,0.029532,0.046828,0.028061,0.042943,0.026478,0.04819,0.024357,0.042448,0.028084,0.042248,0.027783
61,90,2,600,8.40532,0.621391,8.4519,0.310035,10.5879,0.270576,0.636125,0.056435,0.698667,0.056718,0.060995,0.057599,0.066811,0.055761,0.056998,0.051196,0.077487,0.051378,0.06245,0.055506,0.057424,0.055108
81,90,2,600,6.97996,0.988906,7.29076,0.533574,13.3273,0.504658,1.02608,0.094668,0.927244,0.09484,0.078712,0.094824,0.079926,0.094336,0.079455,0.08876,0.087917,0.088497,0.078499,0.097968,0.078269,0.094866
101,90,2,600,6.92263,1.42532,8.26862,0.807445,13.4936,0.756541,2.26027,0.141232,1.82352,0.139852,0.104755,0.14369,0.106523,0.141801,0.104241,0.133777,0.109051,0.134149,0.103154,0.142703,0.103541,0.142158
