STANDARD,1,0,4.54545,3.12234
KC,1,0,1.90909,0.296262
STANDARD,1,2,4.72727,2.71936
KC,1,2,1.90909,0.327999
STANDARD,1,4,5,3.16202
KC,1,4,2,0.309308
STANDARD,1,6,4,1.76142
KC,1,6,2,0.302066
STANDARD,1,8,3.54545,0.965232
KC,1,8,1.90909,0.318195
STANDARD,1,10,4.90909,3.5565
KC,1,10,2,0.324925
STANDARD,21,0,10.4545,66.9702
KC,21,0,2,10.0071
STANDARD,21,2,5.54545,15.9223
KC,21,2,1.90909,11.5208
STANDARD,21,4,7.36364,27.8066
KC,21,4,1.90909,10.7727
STANDARD,21,6,7.90909,57.93
KC,21,6,2.18182,12.2661
STANDARD,21,8,8.81818,72.1982
KC,21,8,2,10.5814
STANDARD,21,10,9.72727,90.0792
KC,21,10,2.18182,11.26
STANDARD,41,0,5.63636,18.407
KC,41,0,1.81818,46.1461
STANDARD,41,2,8.09091,44.5507
KC,41,2,2,46.1775
STANDARD,41,4,6.45455,34.223
KC,41,4,2,46.1477
STANDARD,41,6,7.36364,31.9908
KC,41,6,1.90909,43.0008
STANDARD,41,8,6.27273,23.3965
KC,41,8,2,46.2377
STANDARD,41,10,5.81818,32.3883
KC,41,10,1.81818,41.3092
STANDARD,61,0,7.09091,43.6927
KC,61,0,1.90909,98.7403
STANDARD,61,2,6.09091,28.0893
KC,61,2,2,112.006
STANDARD,61,4,8.09091,50.3762
KC,61,4,2,114.364
STANDARD,61,6,5.90909,38.8336
KC,61,6,1.81818,103.851
STANDARD,61,8,8.63636,45.3515
KC,61,8,1.90909,90.516
STANDARD,61,10,7.81818,53.9929
KC,61,10,2,95.6096
STANDARD,81,0,7.63636,46.2406
KC,81,0,2,190.789
STANDARD,81,2,6.27273,36.6964
KC,81,2,1.90909,141.82
STANDARD,81,4,5.18182,21.7649
KC,81,4,1.81818,160.476
STANDARD,81,6,7.81818,72.2751
KC,81,6,2,171.009
STANDARD,81,8,7.90909,55.9759
KC,81,8,2.09091,185.763
STANDARD,81,10,6.18182,22.6993
KC,81,10,1.81818,182.934
