Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,80,3,100,0.024987,0.002077,0.016958,0.001773
1,80,3,200,0.013151,0.002006,0.011642,0.00143
1,80,3,300,0.014772,0.003453,0.011281,0.00195
1,80,3,400,0.015001,0.00543,0.012856,0.00221
1,80,3,500,0.011233,0.003121,0.012758,0.002399
1,80,3,600,0.010751,0.004168,0.011119,0.001748
1,80,3,700,0.007877,0.002671,0.005897,0.001146
1,80,3,800,0.005396,0.002181,0.004416,0.001015
1,80,3,900,0.003899,0.00199,0.004516,0.001486
1,80,3,1000,0.00388,0.002243,0.003593,0.001097
1,80,3,1100,0.004531,0.003599,0.003393,0.001177
1,80,3,1200,0.00363,0.003761,0.003568,0.001188
1,80,3,1300,0.003261,0.003178,0.004659,0.001783
1,80,3,1400,0.003781,0.003272,0.003971,0.002105
1,80,5,100,0.004055,0.000614,0.00432,0.000395
1,80,5,200,0.003498,0.001002,0.004558,0.000807
1,80,5,300,0.003554,0.00111,0.003287,0.00079
1,80,5,400,0.004515,0.001822,0.003612,0.000985
1,80,5,500,0.003697,0.001724,0.004844,0.001673
1,80,5,600,0.004138,0.001891,0.003707,0.001354
1,80,5,700,0.004605,0.002379,0.004533,0.001918
1,80,5,800,0.004277,0.003585,0.003593,0.001494
1,80,5,900,0.003756,0.003282,0.003933,0.001812
1,80,5,1000,0.003705,0.003254,0.003669,0.001988
1,80,5,1100,0.003573,0.003389,0.003103,0.001927
1,80,5,1200,0.003712,0.003794,0.003133,0.001874
1,80,5,1300,0.003676,0.004181,0.003406,0.002281
1,80,5,1400,0.003217,0.005548,0.003236,0.002142
1,80,7,100,0.003283,0.000596,0.0037,0.00058
1,80,7,200,0.004629,0.001158,0.003541,0.000865
1,80,7,300,0.00406,0.001751,0.004041,0.001285
1,80,7,400,0.004076,0.002006,0.003682,0.002028
1,80,7,500,0.00411,0.002269,0.003526,0.001837
1,80,7,600,0.004121,0.002719,0.003479,0.002286
1,80,7,700,0.00362,0.003102,0.005084,0.002579
1,80,7,800,0.003591,0.003694,0.004995,0.005533
1,80,7,900,0.006061,0.005922,0.005984,0.004128
1,80,7,1000,0.006651,0.007832,0.005273,0.003944
1,80,7,1100,0.003913,0.005916,0.006272,0.004976
1,80,7,1200,0.005769,0.01022,0.006463,0.006181
1,80,7,1300,0.006469,0.008462,0.005378,0.007238
1,80,7,1400,0.006265,0.008283,0.006511,0.005959
1,80,9,100,0.008772,0.001846,0.006099,0.00089
1,80,9,200,0.00605,0.001805,0.004494,0.001384
1,80,9,300,0.006366,0.003833,0.006447,0.003167
1,80,9,400,0.004745,0.002976,0.005974,0.003856
1,80,9,500,0.004407,0.003301,0.003695,0.002977
1,80,9,600,0.004021,0.004407,0.003665,0.003242
1,80,9,700,0.003856,0.004699,0.00352,0.00346
1,80,9,800,0.003847,0.005591,0.003602,0.003636
1,80,9,900,0.004618,0.005979,0.003465,0.003951
1,80,9,1000,0.0038,0.006381,0.003194,0.004168
1,80,9,1100,0.003658,0.007227,0.003145,0.004695
1,80,9,1200,0.00424,0.008358,0.003088,0.005487
