Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.108713,0.000237,0.08766,0.000215,0.128135,0.000162,0.068387,0.00018,0.033073,0.000242,0.043832,0.000807,0.026719,0.000742,0.039029,0.000238,0.027761,0.000228,0.041097,0.001324,0.044525,0.001698
21,90,2,600,0.503101,0.03205,0.538781,0.018724,0.195369,0.008018,0.29994,0.008457,0.236659,0.007076,0.134015,0.027505,0.135364,0.024692,0.123693,0.022566,0.073382,0.01176,0.12119,0.030766,0.120602,0.030007
41,90,2,600,0.790344,0.123156,0.648724,0.063509,0.102086,0.023975,0.953056,0.025308,0.76962,0.025778,0.079141,0.041709,0.067388,0.041906,0.065734,0.039109,0.089107,0.039823,0.066068,0.041578,0.065427,0.041329
61,90,2,600,0.575786,0.239286,0.626228,0.124552,0.167482,0.045876,2.80621,0.053058,1.66506,0.054042,0.089101,0.085043,0.088493,0.084107,0.089394,0.081634,0.121717,0.083503,0.087798,0.086347,0.087116,0.0855
81,90,2,600,0.784942,0.449779,0.867739,0.230556,0.206308,0.10353,3.08531,0.089086,3.42239,0.089689,0.202357,0.197532,0.16432,0.147398,0.118365,0.138163,0.139962,0.139893,0.118809,0.14488,0.117928,0.145621
101,90,2,600,0.547608,0.615582,0.608891,0.313007,0.229898,0.155655,9.63771,0.135664,3.79105,0.142638,0.158539,0.221197,0.157619,0.220854,0.157569,0.211343,0.17884,0.21222,0.157817,0.223246,0.158281,0.221106
1,90,2,600,0.032214,0.00022,0.040405,0.000109,0.043507,0.000126,0.037306,0.000184,0.04087,0.000229,0.024439,0.00141,0.025235,0.000634,0.024279,0.000226,0.029853,0.000231,0.023986,0.001063,0.024782,0.000664
21,90,2,600,0.072272,0.012457,0.085303,0.00778,0.118428,0.007182,0.233291,0.007535,0.191433,0.008072,0.029587,0.008775,0.029248,0.008889,0.029627,0.007783,0.034794,0.007465,0.029249,0.008784,0.029692,0.007954
41,90,2,600,0.082368,0.044723,0.085361,0.02376,0.100368,0.024135,0.869865,0.025439,0.845272,0.027595,0.03946,0.026653,0.041053,0.026616,0.041062,0.025232,0.043713,0.025379,0.038605,0.026533,0.044701,0.026823
61,90,2,600,0.074859,0.08971,0.081981,0.045283,0.138053,0.046561,2.67551,0.052709,2.13165,0.053205,0.054884,0.054559,0.056912,0.053493,0.05362,0.051824,0.059023,0.050898,0.054413,0.05484,0.053937,0.054354
81,90,2,600,0.073812,0.150457,0.084045,0.078907,0.113678,0.07721,3.81832,0.090878,6.77809,0.089442,0.076937,0.092789,0.074637,0.093463,0.073771,0.088483,0.081433,0.090793,0.076373,0.093699,0.074494,0.094068
