BA,1,100,1,4,0.034115,0.033437,0.00034
KCHOGL,1,100,1,3,0.00895,0.008386,0.000284
BA,11,100,1,11,0.270384,0.25605,0.013138
KCHOGL,11,100,1,1,0.012452,0.007713,0.00205
BA,21,100,1,11,0.298685,0.251925,0.045492
KCHOGL,21,100,1,1,0.033442,0.014319,0.00934
BA,31,100,1,12,0.490714,0.37234,0.11669
KCHOGL,31,100,1,1,0.091504,0.029632,0.032697
BA,41,100,1,13,0.718985,0.479402,0.237748
KCHOGL,41,100,1,1,0.178491,0.060773,0.051307
BA,51,100,1,11,0.700678,0.385057,0.31394
KCHOGL,51,100,1,1,0.1747,0.052413,0.069726
BA,61,100,1,11,0.95293,0.480855,0.47037
KCHOGL,61,100,1,1,0.265684,0.086288,0.102842
BA,71,100,1,12,1.29192,0.601174,0.688768
KCHOGL,71,100,1,1,0.38938,0.108948,0.123468
BA,81,100,1,13,1.78089,0.799123,0.979451
KCHOGL,81,100,1,1,0.518185,0.164321,0.156493
BA,91,100,1,11,1.71879,0.684427,1.03234
KCHOGL,91,100,1,1,0.531201,0.139107,0.201622
BA,101,100,1,12,1.97811,0.781931,1.19405
KCHOGL,101,100,1,1,0.677395,0.226345,0.222427
BA,1,100,1,4,0.035215,0.034051,0.00069
KCHOGL,1,100,1,3,0.008215,0.007674,0.000272
BA,11,100,1,10,0.190167,0.177378,0.011712
KCHOGL,11,100,1,1,0.008272,0.005147,0.00135
BA,21,100,1,13,0.396876,0.33885,0.056257
KCHOGL,21,100,1,1,0.03819,0.016947,0.01158
BA,31,100,1,12,0.46276,0.334238,0.126524
KCHOGL,31,100,1,1,0.041691,0.016713,0.013355
BA,41,100,1,12,0.632252,0.398263,0.231699
KCHOGL,41,100,1,1,0.148143,0.055817,0.048296
BA,51,100,1,10,0.543852,0.285227,0.257052
KCHOGL,51,100,1,1,0.186419,0.063223,0.060712
BA,61,100,1,12,0.979206,0.50368,0.473487
KCHOGL,61,100,1,1,0.27522,0.09956,0.0764
BA,71,100,1,12,0.890156,0.42021,0.468027
KCHOGL,71,100,1,1,0.27725,0.074655,0.088271
BA,81,100,1,12,1.10983,0.492252,0.615774
KCHOGL,81,100,1,1,0.353167,0.119731,0.130349
BA,91,100,1,13,1.5176,0.674695,0.840629
KCHOGL,91,100,1,1,0.48607,0.103932,0.196338
BA,101,100,1,13,1.74448,0.713574,1.02885
KCHOGL,101,100,1,1,0.536328,0.133365,0.216467
BA,1,100,1,3,0.017808,0.017305,0.000261
KCHOGL,1,100,1,1,0.002767,0.002556,0.000117
BA,11,100,1,4,0.027485,0.024099,0.003017
KCHOGL,11,100,1,1,0.008968,0.005687,0.001497
BA,21,100,1,6,0.086121,0.064021,0.021259
KCHOGL,21,100,1,1,0.022388,0.010015,0.005284
