BA,1,100,1,4,0.034115,0.033437,0.00034
KCU,1,100,1,3,0.008946,0.008426,0.000237
BA,11,100,1,11,0.270384,0.25605,0.013138
KCU,11,100,1,1,0.012877,0.008371,0.002151
BA,21,100,1,11,0.298685,0.251925,0.045492
KCU,21,100,1,1,0.033716,0.014789,0.007622
BA,31,100,1,12,0.490714,0.37234,0.11669
KCU,31,100,1,1,0.092797,0.035734,0.02554
BA,41,100,1,13,0.718985,0.479402,0.237748
KCU,41,100,1,1,0.114733,0.040757,0.033447
BA,51,100,1,11,0.700678,0.385057,0.31394
KCU,51,100,1,1,0.235724,0.071557,0.074222
BA,61,100,1,11,0.95293,0.480855,0.47037
KCU,61,100,1,1,0.30586,0.11291,0.102512
BA,71,100,1,12,1.29192,0.601174,0.688768
KCU,71,100,1,1,0.384893,0.114802,0.097936
BA,81,100,1,13,1.78089,0.799123,0.979451
KCU,81,100,1,1,0.513601,0.156269,0.178119
BA,91,100,1,11,1.71879,0.684427,1.03234
KCU,91,100,1,1,0.564207,0.182441,0.202041
BA,101,100,1,12,1.97811,0.781931,1.19405
KCU,101,100,1,1,0.614812,0.194323,0.172932
BA,1,100,1,4,0.035215,0.034051,0.00069
KCU,1,100,1,3,0.008834,0.008266,0.000228
BA,11,100,1,10,0.190167,0.177378,0.011712
KCU,11,100,1,1,0.008167,0.005309,0.001476
BA,21,100,1,13,0.396876,0.33885,0.056257
KCU,21,100,1,1,0.034143,0.01504,0.008802
BA,31,100,1,12,0.46276,0.334238,0.126524
KCU,31,100,1,1,0.050556,0.020792,0.015247
BA,41,100,1,12,0.632252,0.398263,0.231699
KCU,41,100,1,1,0.13166,0.049144,0.038569
BA,51,100,1,10,0.543852,0.285227,0.257052
KCU,51,100,1,1,0.185831,0.061414,0.067937
BA,61,100,1,12,0.979206,0.50368,0.473487
KCU,61,100,1,1,0.328991,0.088579,0.092126
BA,71,100,1,12,0.890156,0.42021,0.468027
KCU,71,100,1,1,0.269583,0.075749,0.078005
BA,81,100,1,12,1.10983,0.492252,0.615774
KCU,81,100,1,1,0.328672,0.084111,0.113215
BA,91,100,1,13,1.5176,0.674695,0.840629
KCU,91,100,1,1,0.483719,0.127499,0.184485
BA,101,100,1,13,1.74448,0.713574,1.02885
KCU,101,100,1,1,0.479388,0.110188,0.18644
BA,1,100,1,3,0.017808,0.017305,0.000261
KCU,1,100,1,1,0.00286,0.002639,0.000108
BA,11,100,1,4,0.027485,0.024099,0.003017
KCU,11,100,1,1,0.009121,0.006248,0.001372
BA,21,100,1,6,0.086121,0.064021,0.021259
KCU,21,100,1,1,0.021192,0.010001,0.005161
BA,31,100,1,4,0.050549,0.02926,0.02084
KCU,31,100,1,1,0.065075,0.02301,0.017482
BA,41,100,1,6,0.162143,0.09103,0.070104
KCU,41,100,1,1,0.082774,0.031349,0.026369
BA,51,100,1,6,0.226668,0.082476,0.143437
KCU,51,100,1,1,0.118082,0.041882,0.038383
BA,61,100,1,7,0.365679,0.162319,0.202231
KCU,61,100,1,1,0.217442,0.061471,0.070197
BA,71,100,1,6,0.356596,0.131374,0.224348
KCU,71,100,1,1,0.265056,0.074683,0.083398
BA,81,100,1,4,0.291191,0.087939,0.20273
KCU,81,100,1,1,0.364208,0.118236,0.126609
BA,91,100,1,7,0.699794,0.244431,0.454211
KCU,91,100,1,1,0.421224,0.135599,0.141959
BA,101,100,1,6,0.656083,0.215664,0.439615
KCU,101,100,1,1,0.51635,0.18058,0.141562
BA,1,100,1,2,0.014457,0.014001,0.000236
KCU,1,100,1,1,0.002808,0.002558,0.000116
BA,11,100,1,3,0.015437,0.01317,0.002041
KCU,11,100,1,2,0.011395,0.007154,0.001934
BA,21,100,1,3,0.018828,0.012449,0.006177
KCU,21,100,1,2,0.035266,0.015481,0.008181
BA,31,100,1,3,0.049707,0.024707,0.024726
KCU,31,100,1,2,0.068225,0.024965,0.017872
BA,41,100,1,3,0.066298,0.028525,0.037468
KCU,41,100,1,2,0.170898,0.052254,0.042389
BA,51,100,1,3,0.081582,0.02985,0.051323
KCU,51,100,1,2,0.252019,0.074552,0.080711
BA,61,100,1,3,0.107507,0.02405,0.083203
KCU,61,100,1,2,0.369773,0.108073,0.099445
BA,71,100,1,3,0.175651,0.050538,0.12475
KCU,71,100,1,2,0.359924,0.108741,0.102915
