Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.076584,0.000787,0.035956,0.000234,0.020121,0.000167,0.005812,0.000239,0.0047,0.000179,0.006447,0.000678,0.005838,0.000348,0.004381,0.00014,0.005957,0.000205,0.005225,0.000501,0.004416,0.000283
21,90,2,600,0.154901,0.032945,0.273512,0.015476,0.380377,0.017662,0.064895,0.007297,0.033406,0.007705,0.009122,0.012279,0.012449,0.009371,0.008132,0.006598,0.00837,0.007661,0.008826,0.009789,0.008155,0.008878
41,90,2,600,0.137768,0.136091,0.289874,0.080673,0.286534,0.069434,0.16911,0.027871,0.1798,0.025856,0.01892,0.029387,0.018584,0.028245,0.023831,0.029798,0.018931,0.024831,0.018924,0.027551,0.01852,0.030868
61,90,2,600,0.10464,0.259817,0.296553,0.154681,0.308683,0.158432,0.268773,0.06611,0.235083,0.053757,0.040824,0.059227,0.033489,0.055011,0.04862,0.057585,0.037943,0.05593,0.033147,0.055534,0.03304,0.064903
81,90,2,600,0.104499,0.434628,0.290014,0.242007,0.306892,0.238649,0.424408,0.096449,0.336688,0.091194,0.055306,0.105464,0.061011,0.102186,0.054371,0.091389,0.056453,0.098834,0.071716,0.095624,0.054247,0.095771
101,90,2,600,0.13251,0.74526,0.294309,0.379897,0.214405,0.330552,0.560147,0.1439,0.468266,0.14784,0.117193,0.145922,0.083579,0.147034,0.088221,0.157924,0.081968,0.138891,0.08158,0.144624,0.08852,0.143369
1,90,2,600,0.02425,0.00042,0.031397,0.000258,0.021961,0.000197,0.004718,0.000243,0.006964,0.000368,0.010913,0.002185,0.009771,0.001725,0.007633,0.000456,0.005671,0.00024,0.007415,0.001856,0.007031,0.001253
21,90,2,600,0.560274,0.073874,2.06187,0.043564,1.35588,0.040985,0.053477,0.014323,0.044571,0.010861,0.009148,0.009381,0.009308,0.008314,0.009622,0.008138,0.009544,0.008193,0.008984,0.009658,0.011302,0.011625
41,90,2,600,0.618607,0.291367,1.93286,0.142624,1.97833,0.156377,0.157208,0.027908,0.134906,0.034415,0.018679,0.029242,0.019582,0.029315,0.025708,0.032284,0.019656,0.0262,0.018869,0.028407,0.01871,0.037379
61,90,2,600,0.599385,0.528924,1.28409,0.283334,1.52504,0.280986,0.215271,0.055272,0.212498,0.056888,0.035368,0.060056,0.035641,0.058948,0.036727,0.053262,0.036243,0.065132,0.034134,0.058286,0.034335,0.057353
81,90,2,600,0.57966,0.875251,1.34097,0.471496,1.82981,0.449144,0.29462,0.094794,0.259675,0.095936,0.074094,0.100866,0.057218,0.108966,0.055329,0.101972,0.077539,0.093628,0.056963,0.099175,0.055371,0.097547
