Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAO, time_subproblem_BAO, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
61,90,2,600,0.765004,0.579284,2.13463,0.362789,0.186285,0.074388,0.156498,0.076738,0.044316,0.07031,0.044044,0.068953,0.051908,0.061407,0.047327,0.069497,0.048237,0.068324,0.055247,0.066172
81,90,2,600,0.655949,0.886117,2.04747,0.511779,0.24377,0.101231,0.226379,0.108898,0.075766,0.109233,0.081332,0.102453,0.07124,0.10971,0.076993,0.094268,0.058235,0.090142,0.051443,0.083849
101,90,2,600,0.647103,1.04625,1.55732,0.581659,0.326226,0.125682,0.338158,0.124218,0.076214,0.125905,0.076318,0.124734,0.077354,0.116692,0.075951,0.120683,0.077911,0.125958,0.076096,0.124872
1,90,2,600,0.011153,0.000237,0.016175,0.000299,0.0022,0.000164,0.004182,0.000238,0.003208,0.001072,0.002089,0.00044,0.002208,0.000128,0.0023,0.000266,0.004659,0.002142,0.002345,0.000441
21,90,2,600,0.02469,0.015335,0.032838,0.006539,0.071609,0.008407,0.050479,0.006538,0.011427,0.01102,0.018826,0.009913,0.011512,0.016441,0.015842,0.009497,0.010565,0.014189,0.014087,0.010902
41,90,2,600,0.033938,0.048298,0.043516,0.02464,0.152798,0.02829,0.138533,0.03348,0.027469,0.047911,0.028497,0.046532,0.026542,0.042417,0.028486,0.042336,0.027221,0.045132,0.027483,0.044722
61,90,2,600,0.031508,0.103902,0.043814,0.051561,0.263544,0.048945,0.226693,0.048489,0.049416,0.081818,0.051337,0.081782,0.053238,0.078028,0.051338,0.075481,0.049325,0.081898,0.052603,0.083632
81,90,2,600,0.043912,0.167788,0.047499,0.086795,0.395381,0.078474,0.341949,0.079683,0.076924,0.130088,0.079302,0.135197,0.084091,0.130704,0.079808,0.130221,0.078834,0.133224,0.079004,0.138883
101,90,2,600,0.047707,0.242769,0.054709,0.124661,0.671071,0.120355,0.506837,0.115877,0.116364,0.193835,0.11575,0.209851,0.117688,0.198112,0.119425,0.182434,0.127117,0.205758,0.115075,0.190658
1,90,2,600,0.004827,0.000178,0.006315,9.6e-05,0.006184,0.000339,0.003923,0.000196,0.002077,0.000622,0.002428,0.000428,0.002952,0.000141,0.002682,0.000138,0.002087,0.000659,0.002867,0.000925
21,90,2,600,0.015133,0.011459,0.017546,0.00679,0.093304,0.00767,0.068572,0.006373,0.014816,0.014582,0.013684,0.010242,0.016237,0.011714,0.014192,0.009374,0.013097,0.010271,0.014689,0.012412
41,90,2,600,0.020051,0.035062,0.023028,0.024518,0.146212,0.027251,0.141151,0.027013,0.030059,0.048737,0.026444,0.043752,0.025917,0.04419,0.026971,0.044647,0.026952,0.044831,0.02724,0.042987
61,90,2,600,0.019783,0.078114,0.0254,0.041059,0.26853,0.048718,0.219532,0.051985,0.049813,0.082641,0.049496,0.080859,0.053181,0.078739,0.052406,0.074167,0.048745,0.077153,0.05058,0.075511
81,90,2,600,0.024667,0.126623,0.029803,0.06576,0.404279,0.080169,0.368611,0.079985,0.079483,0.125334,0.07852,0.126842,0.082049,0.123893,0.079823,0.123774,0.079321,0.131547,0.082445,0.123656
101,90,2,600,0.029587,0.1775,0.023691,0.095377,0.613341,0.120503,0.528179,0.12976,0.119554,0.190549,0.117191,0.196579,0.117455,0.186164,0.12232,0.179981,0.115959,0.200039,0.119129,0.190893
1,90,2,600,0.014124,0.000362,0.017262,0.00017,0.004621,0.000256,0.007824,0.000336,0.004455,0.00036,0.006159,0.000461,0.005527,0.000203,0.004159,0.000215,0.006148,0.000596,0.006135,0.000303
21,90,2,600,0.080977,0.027249,0.146751,0.011286,0.041523,0.00794,0.04695,0.006231,0.008775,0.008308,0.010476,0.007521,0.008836,0.01111,0.009962,0.006008,0.009087,0.008183,0.011726,0.007123
41,90,2,600,0.088621,0.078285,0.155568,0.044081,0.111106,0.029101,0.113233,0.028293,0.016884,0.030569,0.017129,0.0297,0.016843,0.028562,0.017577,0.028634,0.016976,0.030614,0.016894,0.029816
