Gamma, tau, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCHOGL, time_subproblem_KCHOGL
21,100,0.009265,0.00769,0.010078,0.011291
21,100,0.009339,0.008587,0.010242,0.01466
21,100,0.00975,0.006541,0.009052,0.009379
21,100,0.010022,0.006959,0.009923,0.013422
21,100,0.00982,0.009015,0.009726,0.017195
31,80,0.020787,0.017638,0.020353,0.01662
31,80,0.020775,0.015274,0.018391,0.017258
31,80,0.020193,0.017208,0.019315,0.017869
31,80,0.020135,0.015254,0.01849,0.020554
31,80,0.01845,0.017026,0.020111,0.017726
31,80,0.019781,0.017527,0.019557,0.019072
31,80,0.018938,0.016979,0.019637,0.018377
31,80,0.0188,0.017293,0.01782,0.019411
31,80,0.019697,0.01753,0.019527,0.021284
31,80,0.018489,0.016142,0.020128,0.018038
31,80,0.014481,0.016773,0.01584,0.017076
31,80,0.008215,0.008199,0.007903,0.014312
31,80,0.007961,0.007857,0.017076,0.019171
31,80,0.017482,0.016085,0.016532,0.020025
31,80,0.018577,0.014527,0.020623,0.026553
31,90,0.017094,0.017424,0.019544,0.016914
31,90,0.019569,0.017859,0.01861,0.014796
31,90,0.018032,0.017208,0.017928,0.017602
31,90,0.018472,0.01676,0.01886,0.017312
31,90,0.019874,0.016029,0.020038,0.020149
31,90,0.019498,0.018053,0.020686,0.019434
31,90,0.01991,0.015859,0.019773,0.018062
31,90,0.018596,0.015318,0.019657,0.01865
31,90,0.020833,0.018166,0.019613,0.021599
31,90,0.019994,0.016507,0.019439,0.018832
31,90,0.020377,0.018406,0.018032,0.021515
31,90,0.018678,0.019271,0.01945,0.024891
31,90,0.0195,0.016333,0.01913,0.018768
31,90,0.014385,0.016663,0.017274,0.018364
31,90,0.008186,0.008771,0.007807,0.01755
31,100,0.007796,0.008715,0.018131,0.013944
31,100,0.018087,0.018176,0.016579,0.015911
31,100,0.016098,0.014745,0.01978,0.017916
31,100,0.017206,0.01645,0.019671,0.017532
31,100,0.019077,0.021377,0.018578,0.01678
31,100,0.018055,0.017147,0.018496,0.018129
31,100,0.018392,0.017587,0.019115,0.017661
31,100,0.019878,0.019523,0.020482,0.019115
31,100,0.019114,0.018602,0.020562,0.020031
31,100,0.019105,0.017233,0.021349,0.017637
31,100,0.018158,0.016124,0.018966,0.021362
31,100,0.018833,0.02073,0.018824,0.023709
31,100,0.020635,0.016059,0.019214,0.0197
31,100,0.019983,0.017777,0.01722,0.023182
31,100,0.019225,0.01861,0.019221,0.026728
41,80,0.032296,0.030369,0.030179,0.030816
41,80,0.01359,0.014596,0.011662,0.014298
41,80,0.02316,0.025689,0.025636,0.027967
41,80,0.028778,0.033253,0.025106,0.030945
41,80,0.030071,0.031129,0.029808,0.031347
41,80,0.029782,0.031964,0.032915,0.032129
41,80,0.031147,0.03038,0.032781,0.029099
41,80,0.030543,0.032624,0.027506,0.034205
41,80,0.030518,0.032643,0.030788,0.035896
41,80,0.030217,0.032481,0.031326,0.032662
41,80,0.030313,0.030332,0.031488,0.035788
41,80,0.025091,0.031293,0.017673,0.02339
41,80,0.011588,0.013815,0.023527,0.026764
41,80,0.027438,0.030348,0.027819,0.037646
41,80,0.032713,0.027914,0.030798,0.046025
41,90,0.028585,0.027927,0.030862,0.028548
41,90,0.03065,0.031982,0.02967,0.032025
41,90,0.031542,0.030152,0.030626,0.033108
41,90,0.029402,0.034706,0.029669,0.032021
41,90,0.030997,0.03134,0.030516,0.032558
41,90,0.031062,0.033796,0.031051,0.034378
41,90,0.034426,0.027023,0.026403,0.028397
41,90,0.017218,0.017057,0.011903,0.017844
41,90,0.025107,0.021844,0.028902,0.034861
41,90,0.026129,0.027319,0.025837,0.031739
41,90,0.030105,0.030085,0.029429,0.033034
41,90,0.02932,0.030728,0.032349,0.037919
41,90,0.033313,0.027917,0.031043,0.034217
41,90,0.03051,0.03204,0.028305,0.03583
41,90,0.030261,0.032684,0.030614,0.04152
41,100,0.031389,0.030779,0.031459,0.032004
41,100,0.031193,0.030872,0.030749,0.033026
41,100,0.023979,0.031755,0.017493,0.018378
41,100,0.011504,0.013805,0.024282,0.023118
41,100,0.028637,0.028102,0.028017,0.032764
41,100,0.028725,0.028283,0.030211,0.033421
41,100,0.030152,0.027932,0.03004,0.031189
41,100,0.030084,0.032856,0.032356,0.033182
41,100,0.032525,0.030681,0.031505,0.03551
41,100,0.031722,0.032396,0.030213,0.033076
41,100,0.030094,0.031121,0.030326,0.035163
41,100,0.031452,0.032011,0.030554,0.037181
41,100,0.030337,0.031719,0.028164,0.031228
41,100,0.019808,0.020356,0.011731,0.020358
41,100,0.025025,0.021986,0.028083,0.036413
51,80,0.04208,0.047864,0.044529,0.048239
51,80,0.043583,0.040167,0.0429,0.049109
51,80,0.042444,0.047904,0.046728,0.047846
51,80,0.044383,0.046715,0.04295,0.046858
51,80,0.043976,0.046703,0.043181,0.049241
51,80,0.043942,0.047035,0.034011,0.032475
51,80,0.016907,0.021469,0.039159,0.042889
51,80,0.042238,0.044232,0.041493,0.045466
51,80,0.042501,0.049335,0.042686,0.049211
51,80,0.046436,0.042551,0.0458,0.04531
51,80,0.04228,0.046772,0.041421,0.051852
51,80,0.044979,0.045534,0.04923,0.048867
51,80,0.043012,0.048424,0.042709,0.040133
51,80,0.017476,0.021627,0.029571,0.047289
51,80,0.042553,0.043473,0.041886,0.061545
51,90,0.042269,0.043563,0.042893,0.052057
51,90,0.051355,0.039167,0.043671,0.047551
51,90,0.043446,0.046107,0.042712,0.049365
51,90,0.043758,0.047166,0.041703,0.049158
51,90,0.046803,0.043715,0.039653,0.055059
51,90,0.018286,0.022311,0.032205,0.034152
51,90,0.036338,0.043106,0.044267,0.042231
51,90,0.042595,0.044883,0.044333,0.045819
51,90,0.04385,0.047303,0.044056,0.05956
51,90,0.046264,0.047726,0.042529,0.049235
51,90,0.041168,0.056591,0.04765,0.045754
51,90,0.04424,0.050012,0.041609,0.05288
51,90,0.02496,0.024461,0.035902,0.031574
51,90,0.032848,0.049213,0.038413,0.067671
51,90,0.043878,0.046018,0.042119,0.058648
51,100,0.045766,0.043179,0.047259,0.048991
51,100,0.043639,0.045952,0.042765,0.045393
51,100,0.043308,0.047222,0.043981,0.048658
51,100,0.041178,0.054307,0.043021,0.057221
51,100,0.028722,0.03342,0.016662,0.030806
51,100,0.039253,0.044021,0.040107,0.047065
51,100,0.041672,0.046896,0.041496,0.044255
51,100,0.043972,0.046959,0.042728,0.049526
51,100,0.044342,0.050506,0.042427,0.051005
51,100,0.042443,0.044951,0.042947,0.050387
51,100,0.047516,0.043646,0.042763,0.057332
51,100,0.034893,0.031688,0.017109,0.032148
51,100,0.042737,0.043114,0.039942,0.048197
51,100,0.043803,0.042098,0.041701,0.060376
51,100,0.04115,0.048814,0.043633,0.060123
61,80,0.06091,0.069275,0.058624,0.066759
