Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
61,100,2,600,0.024845,0.052364,0.477769,0.03939,0.032963,0.041892,0.033257,0.041492,0.033082,0.038815,0.033785,0.038994,0.033403,0.042327,0.033107,0.041997
81,100,2,600,0.035013,0.091518,0.970592,0.068189,0.055067,0.072045,0.055982,0.070434,0.054275,0.068013,0.055488,0.067616,0.05764,0.069303,0.057286,0.069397
101,100,2,600,0.04524,0.144004,0.386901,0.111871,0.074715,0.085547,0.07178,0.088352,0.068916,0.086406,0.068598,0.086046,0.072689,0.087117,0.068964,0.092147
1,100,2,600,0.009003,0.000149,0.002171,9.8e-05,0.002152,0.000509,0.002171,0.000318,0.002124,8.4e-05,0.002129,8.4e-05,0.002141,0.000546,0.002134,0.000358
21,100,2,600,0.018416,0.007158,0.039629,0.004245,0.009261,0.006623,0.00905,0.007003,0.00892,0.005968,0.011571,0.006248,0.008908,0.007029,0.008858,0.007227
41,100,2,600,0.023213,0.026284,0.142656,0.015997,0.027072,0.02957,0.027345,0.030015,0.029221,0.026796,0.031936,0.02789,0.02841,0.030466,0.028263,0.029837
61,100,2,600,0.040088,0.06967,0.595764,0.039335,0.056451,0.062515,0.054039,0.064025,0.054017,0.065518,0.060488,0.057745,0.054208,0.064897,0.054066,0.064023
81,100,2,600,0.053893,0.121644,0.806622,0.068305,0.101006,0.101434,0.094089,0.112203,0.093428,0.103897,0.096067,0.105151,0.09262,0.112192,0.088342,0.09761
101,100,2,600,0.062002,0.156768,0.803607,0.089562,0.11441,0.143659,0.117174,0.142443,0.116687,0.133841,0.121509,0.133072,0.116498,0.143339,0.117301,0.142001
1,100,2,600,0.018908,0.000194,0.002864,9.7e-05,0.004293,0.000286,0.004441,0.000224,0.005802,0.000178,0.004598,0.000139,0.004453,0.000274,0.00446,0.00022
21,100,2,600,0.09409,0.016803,0.024536,0.004156,0.006032,0.00525,0.006064,0.00468,0.005722,0.003904,0.006304,0.003894,0.005817,0.005287,0.005999,0.004973
41,100,2,600,0.115432,0.059238,0.125461,0.01713,0.014631,0.016639,0.014708,0.016144,0.014233,0.014311,0.014791,0.014404,0.01447,0.016727,0.014477,0.016015
61,100,2,600,0.142877,0.12913,0.170304,0.032561,0.028574,0.035949,0.02855,0.034926,0.028258,0.031911,0.029293,0.032276,0.028511,0.035944,0.028665,0.034789
81,100,2,600,0.144916,0.203432,0.262346,0.056144,0.046934,0.061519,0.046631,0.060441,0.046659,0.056315,0.047091,0.055883,0.046639,0.061488,0.046742,0.060466
101,100,2,600,0.206282,0.353405,0.614406,0.086138,0.068444,0.093648,0.068329,0.092424,0.068191,0.086426,0.06908,0.086468,0.068722,0.093949,0.068573,0.092945
1,100,2,600,0.004471,8.8e-05,0.002962,0.000101,0.002102,0.000529,0.002097,0.000311,0.002078,9.2e-05,0.002581,8.6e-05,0.002105,0.000572,0.003614,0.000367
21,100,2,600,0.017938,0.007217,0.060216,0.003967,0.005686,0.004419,0.005407,0.004315,0.005389,0.003857,0.006189,0.00365,0.005314,0.00463,0.0053,0.004657
41,100,2,600,0.013889,0.019648,0.159131,0.014639,0.013867,0.015946,0.013761,0.015749,0.013788,0.014391,0.014421,0.014322,0.014884,0.014902,0.013982,0.015627
61,100,2,600,0.049697,0.071878,0.24878,0.03266,0.030468,0.032811,0.028069,0.034494,0.028053,0.032583,0.028643,0.032114,0.028042,0.034777,0.027966,0.034466
81,100,2,600,0.088842,0.150942,0.533056,0.055934,0.045969,0.060594,0.047325,0.058831,0.04642,0.056259,0.050894,0.051455,0.045302,0.060096,0.046211,0.05978
101,100,2,600,0.038371,0.117597,1.00802,0.088034,0.067642,0.104951,0.067839,0.092063,0.068061,0.086231,0.068259,0.085807,0.068045,0.092218,0.06795,0.092058
1,100,2,600,0.016986,0.000195,0.0029,9.8e-05,0.004736,0.000205,0.004725,0.000176,0.005879,0.000183,0.004699,0.000131,0.004505,0.000205,0.004494,0.000177
21,100,2,600,0.059815,0.012516,0.02113,0.003962,0.006026,0.00552,0.006064,0.004514,0.005803,0.003881,0.006535,0.003897,0.005889,0.005299,0.005858,0.005346
41,100,2,600,0.086838,0.052671,0.089622,0.014781,0.014555,0.016801,0.015058,0.014995,0.014264,0.014263,0.014915,0.014284,0.014273,0.016831,0.014249,0.015998
61,100,2,600,0.087251,0.10041,0.110438,0.032844,0.028386,0.035577,0.028256,0.035039,0.028357,0.031973,0.028952,0.032037,0.028396,0.035716,0.028293,0.035072
81,100,2,600,0.139077,0.202426,0.330062,0.055992,0.046223,0.060596,0.046647,0.060567,0.046238,0.055885,0.047383,0.056008,0.046395,0.060788,0.0465,0.059838
101,100,2,600,0.169779,0.311993,2.01421,0.106466,0.079852,0.112856,0.071749,0.09835,0.067093,0.086031,0.069734,0.083497,0.068438,0.091669,0.066948,0.091786
1,100,2,600,0.00943,0.000141,0.002182,0.000114,0.002177,0.00176,0.00222,0.000235,0.00216,8.4e-05,0.002138,8.5e-05,0.002279,0.000389,0.002167,0.000262
21,100,2,600,0.00968,0.00641,0.0888,0.004039,0.005564,0.004659,0.005788,0.004178,0.005393,0.003809,0.006342,0.003671,0.005334,0.005179,0.005321,0.004408
41,100,2,600,0.01439,0.019519,0.315752,0.01498,0.013792,0.015678,0.013537,0.017514,0.013758,0.014305,0.014871,0.014666,0.014345,0.016239,0.014241,0.016028
61,100,2,600,0.019925,0.042809,0.51451,0.032213,0.02729,0.034002,0.027628,0.034317,0.027269,0.037009,0.028426,0.031875,0.027436,0.034679,0.027356,0.034533
81,100,2,600,0.027602,0.074995,0.537348,0.055674,0.045434,0.059615,0.046351,0.058944,0.045494,0.055629,0.050417,0.050743,0.045394,0.059354,0.045299,0.059123
101,100,2,600,0.03715,0.115926,1.30816,0.092843,0.06738,0.092079,0.074102,0.084267,0.072107,0.079749,0.067597,0.085162,0.069846,0.088165,0.067209,0.090923
1,100,2,600,0.017182,0.000177,0.002877,0.0001,0.004657,0.000794,0.004501,0.000474,0.005489,0.000178,0.00454,0.000131,0.00432,0.000825,0.004349,0.000522
21,100,2,600,0.202761,0.023199,0.014308,0.00387,0.00594,0.005366,0.00607,0.005148,0.005688,0.00387,0.006393,0.003877,0.005728,0.005364,0.005495,0.004768
41,100,2,600,0.21724,0.080078,0.113664,0.014837,0.014177,0.016496,0.014963,0.016038,0.014153,0.014043,0.014522,0.01411,0.013994,0.016688,0.014044,0.015916
61,100,2,600,0.214227,0.154834,0.140599,0.035209,0.033747,0.043397,0.03315,0.042378,0.032751,0.038388,0.033647,0.038466,0.032942,0.043489,0.033021,0.042259
81,100,2,600,0.295687,0.332764,0.396831,0.067132,0.055057,0.073386,0.059758,0.06777,0.056949,0.064966,0.055213,0.067488,0.054516,0.074303,0.054611,0.073216
101,100,2,600,0.320576,0.483557,1.12148,0.08259,0.067275,0.095659,0.067228,0.091824,0.067458,0.086258,0.067939,0.085332,0.067264,0.093695,0.067751,0.092106
1,100,2,600,0.009168,0.000132,0.001961,9.9e-05,0.0019,0.000286,0.00339,0.000186,0.001908,9.1e-05,0.001882,9.1e-05,0.00189,0.000282,0.001899,0.000192
21,100,2,600,0.009958,0.005349,0.030045,0.004462,0.005362,0.004878,0.005309,0.004544,0.005158,0.003857,0.005575,0.003852,0.005199,0.005515,0.005217,0.005078
41,100,2,600,0.01241,0.019441,0.34268,0.014581,0.013394,0.016022,0.013372,0.015429,0.013389,0.01411,0.013796,0.014122,0.013292,0.016063,0.013663,0.015609
61,100,2,600,0.01964,0.04262,0.405081,0.031837,0.027422,0.034801,0.029883,0.037306,0.027327,0.032059,0.028198,0.030855,0.029013,0.033198,0.027472,0.034483
81,100,2,600,0.027314,0.07479,0.914784,0.056075,0.045394,0.059542,0.049706,0.054705,0.046267,0.05485,0.045941,0.055596,0.045583,0.059623,0.045304,0.059386
101,100,2,600,0.03624,0.116143,1.56058,0.090523,0.067317,0.092672,0.067034,0.091879,0.067561,0.086061,0.067277,0.085498,0.066531,0.092099,0.067089,0.105812
1,100,2,600,0.00962,0.000153,0.002218,9.7e-05,0.002184,0.000629,0.003718,0.000361,0.002172,9.7e-05,0.002158,8.5e-05,0.002159,0.000651,0.002161,0.000412
21,100,2,600,0.018056,0.007135,0.032882,0.003948,0.009245,0.007594,0.008894,0.00734,0.009095,0.005985,0.011122,0.005795,0.008955,0.007252,0.008898,0.006866
41,100,2,600,0.02317,0.026055,0.200759,0.014892,0.023225,0.024327,0.023161,0.024194,0.024427,0.02152,0.022046,0.022481,0.025312,0.023012,0.024813,0.024503
61,100,2,600,0.034596,0.057559,0.379746,0.032328,0.044715,0.051311,0.064504,0.075842,0.0432,0.049102,0.045329,0.049033,0.04811,0.050979,0.047087,0.051777
81,100,2,600,0.044231,0.100145,1.27978,0.062215,0.089769,0.111765,0.12746,0.162025,0.091819,0.103407,0.080832,0.086265,0.077205,0.093694,0.077165,0.092073
101,100,2,600,0.082309,0.196223,1.69101,0.099541,0.193155,0.230242,0.191698,0.231207,0.160693,0.181005,0.117003,0.133637,0.160014,0.196257,0.170904,0.179615
1,100,2,600,0.004732,8.9e-05,0.003058,0.000103,0.002171,0.000571,0.002149,0.000325,0.002135,8.6e-05,0.002696,8.6e-05,0.002152,0.000596,0.002138,0.000383
21,100,2,600,0.005011,0.00359,0.070643,0.003998,0.005541,0.00466,0.005493,0.00472,0.005387,0.003939,0.006162,0.003907,0.005473,0.004676,0.00543,0.004978
41,100,2,600,0.007004,0.013304,0.146604,0.014705,0.01498,0.015117,0.014322,0.015777,0.014191,0.014533,0.015138,0.014439,0.014203,0.016136,0.014405,0.015477
61,100,2,600,0.010399,0.028947,0.239254,0.032844,0.027906,0.034737,0.029163,0.034672,0.028053,0.032241,0.028919,0.032046,0.028517,0.035169,0.028315,0.034876
81,100,2,600,0.014361,0.050851,0.399083,0.054259,0.046401,0.060213,0.04644,0.060216,0.046503,0.056589,0.047489,0.056012,0.046798,0.060427,0.047078,0.06031
101,100,2,600,0.019028,0.078741,2.23341,0.094402,0.068196,0.105919,0.075189,0.085639,0.068594,0.086733,0.06897,0.086653,0.068383,0.105386,0.068436,0.092658
1,100,2,600,0.004416,8.7e-05,0.003036,0.000101,0.002045,0.000705,0.001971,0.000402,0.001951,8.3e-05,0.002454,8.5e-05,0.002023,0.000734,0.002013,0.000447
21,100,2,600,0.004605,0.003592,0.046799,0.004755,0.005471,0.005163,0.005436,0.004461,0.005299,0.00395,0.005757,0.003908,0.005247,0.005263,0.005248,0.004482
41,100,2,600,0.006571,0.013396,0.158021,0.017608,0.014615,0.015838,0.014098,0.015956,0.014349,0.014938,0.015,0.014932,0.014609,0.016821,0.014091,0.016128
61,100,2,600,0.009989,0.029137,0.242812,0.032529,0.027964,0.035202,0.030317,0.032138,0.027981,0.032584,0.028065,0.032116,0.028163,0.035371,0.0291,0.033881
81,100,2,600,0.013848,0.050812,0.470293,0.056617,0.04606,0.060805,0.046076,0.060256,0.046202,0.056602,0.047207,0.05626,0.046276,0.060533,0.046317,0.060322
101,100,2,600,0.018571,0.079162,1.44033,0.100122,0.087746,0.10547,0.081025,0.11249,0.082284,0.102793,0.06844,0.086633,0.068536,0.093126,0.068479,0.092241
1,100,2,600,0.016702,0.000192,0.002911,0.000104,0.005465,0.001141,0.004021,0.000511,0.005215,0.000185,0.004601,0.000135,0.003856,0.000899,0.003839,0.000581
21,100,2,600,0.178248,0.022823,0.01499,0.003954,0.006121,0.00561,0.006176,0.004775,0.005796,0.004174,0.006389,0.003902,0.005945,0.005543,0.005936,0.004878
41,100,2,600,0.295255,0.093899,0.104337,0.015324,0.017309,0.017504,0.014763,0.016416,0.015507,0.013975,0.015112,0.014557,0.014485,0.017338,0.01454,0.016412
61,100,2,600,0.277175,0.187401,0.155316,0.032129,0.028774,0.036226,0.028894,0.035254,0.029152,0.037347,0.03186,0.029809,0.028598,0.036567,0.02862,0.035767
81,100,2,600,0.434573,0.381022,0.210435,0.056465,0.04797,0.061935,0.048118,0.060811,0.04808,0.056211,0.049154,0.056259,0.051395,0.058145,0.048076,0.060796
101,100,2,600,0.436667,0.550726,0.274012,0.08998,0.068094,0.094726,0.068923,0.093269,0.068536,0.086593,0.069838,0.085615,0.068258,0.094786,0.068546,0.093533
1,100,2,600,0.017508,0.000196,0.002809,0.000108,0.004032,0.001063,0.005678,0.000694,0.005534,0.000173,0.004513,0.000128,0.004147,0.000924,0.004163,0.000593
21,100,2,600,0.391092,0.029302,0.022987,0.003948,0.006393,0.005554,0.005944,0.005381,0.005817,0.00418,0.006521,0.004167,0.005881,0.005573,0.005833,0.004905
41,100,2,600,0.432447,0.107169,0.092304,0.015364,0.015452,0.017728,0.015332,0.016801,0.015072,0.014886,0.015764,0.014854,0.01547,0.017381,0.015027,0.016777
61,100,2,600,0.430213,0.216235,0.146651,0.038219,0.029023,0.03653,0.02878,0.035812,0.02842,0.032602,0.029127,0.032187,0.02846,0.036475,0.028646,0.03559
81,100,2,600,0.410593,0.354128,0.198497,0.052799,0.046425,0.061647,0.046868,0.060952,0.046676,0.056237,0.047228,0.056142,0.046463,0.062616,0.046581,0.061664
101,100,2,600,0.47449,0.548881,0.311013,0.086766,0.069133,0.094936,0.06854,0.093552,0.068474,0.08699,0.069093,0.086386,0.068307,0.095032,0.06851,0.093356
1,100,2,600,0.009604,0.000132,0.002014,9.9e-05,0.002098,0.000507,0.001956,0.000294,0.001943,9.2e-05,0.001954,8.4e-05,0.001953,0.000514,0.001969,0.000331
21,100,2,600,0.025417,0.00893,0.035284,0.004185,0.010466,0.008052,0.009202,0.006631,0.008839,0.006577,0.010284,0.006894,0.008688,0.007875,0.00865,0.007463
41,100,2,600,0.033519,0.033183,0.21976,0.014925,0.024352,0.024506,0.023931,0.024698,0.023622,0.022925,0.02555,0.022645,0.024654,0.024602,0.023882,0.027517
61,100,2,600,0.047299,0.072073,0.216915,0.032805,0.045664,0.053453,0.046648,0.053581,0.0466,0.049613,0.047915,0.049679,0.046704,0.054134,0.048915,0.0568
81,100,2,600,0.063065,0.127017,0.41867,0.055799,0.077046,0.092598,0.077809,0.092671,0.077734,0.086746,0.079531,0.086005,0.078083,0.093995,0.078519,0.092048
101,100,2,600,0.083027,0.196029,0.629901,0.089657,0.116106,0.141004,0.116574,0.142767,0.116236,0.133758,0.1176,0.133586,0.121618,0.139465,0.115174,0.142126
1,100,2,600,0.005818,0.000107,0.002912,9.9e-05,0.004879,0.000702,0.002191,0.000395,0.001936,8.4e-05,0.0024,9.2e-05,0.001967,0.00073,0.001973,0.000446
21,100,2,600,0.004546,0.003582,0.034832,0.003985,0.005474,0.004702,0.005383,0.00456,0.005346,0.00374,0.005598,0.004133,0.005447,0.004512,0.005234,0.005029
41,100,2,600,0.006356,0.013245,0.213977,0.015653,0.013883,0.016014,0.014073,0.015727,0.013962,0.01417,0.014272,0.01439,0.01402,0.016112,0.013879,0.015722
61,100,2,600,0.00989,0.029137,0.258277,0.032387,0.027969,0.03501,0.028166,0.040069,0.028127,0.03215,0.028361,0.032091,0.028028,0.034988,0.029295,0.033252
81,100,2,600,0.014031,0.050647,0.466649,0.05666,0.046061,0.060033,0.046255,0.059998,0.050171,0.052025,0.046846,0.056061,0.046212,0.060693,0.046225,0.059872
101,100,2,600,0.018435,0.078301,0.760013,0.096762,0.068299,0.092848,0.067723,0.092772,0.067948,0.100364,0.068338,0.086319,0.068792,0.091908,0.067709,0.093012
1,100,2,600,0.004116,9.6e-05,0.003061,0.0001,0.002018,0.000543,0.002013,0.000323,0.001988,8.3e-05,0.003338,8.6e-05,0.002033,0.000604,0.002027,0.000374
