gamma,time_BA,iter_BA,time_HOG,iter_HOG,time_HOGL,iter_HOGL,time_KC,iter_KC,time_KCRDK,iter_KCRDK,time_KCRDKL,iter_KCRDKL,time_KCU,iter_KCU,time_KCUD,iter_KCUD
1,0.01025786,2.92,0.0035672399999999997,1.38,0.00334976,1.38,0.0030492999999999996,1.14,0.00393602,1.44,0.00359682,1.46,0.00328108,1.58,0.00330988,1.36
21,0.1088514,6.74,0.01769398,1.32,0.01730416,1.32,0.04412152,1.0,0.01831816,1.38,0.01718388,1.3,0.0169438,1.4,0.01689522,1.28
41,0.1597622,6.88,0.06067966,1.34,0.0596795,1.34,0.18311506000000002,1.0,0.06064646,1.38,0.06137086,1.4,0.05796458,1.38,0.05676398,1.28
61,0.23533638,6.84,0.1293248,1.4,0.12745118,1.4,0.31016206,1.0,0.12795242,1.4,0.13075958,1.42,0.1241634,1.4,0.11726075999999999,1.28
81,0.33691494,6.86,0.22046976000000001,1.4,0.21807406000000001,1.4,0.65266078,1.0,0.21808826,1.38,0.22799545999999998,1.42,0.21363352,1.36,0.20257045999999998,1.28
101,0.4468255,6.74,0.32885412,1.38,0.32960748,1.38,1.36958172,1.0,0.34394248,1.4,0.35033624,1.44,0.33254276,1.4,0.30645286,1.28
