Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKOPT, time_subproblem_KCRDKOPT, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG
1,40,0.019336,0.000417,0.008179,0.000354,0.007325,0.002797,0.007818,0.001383,0.007445,0.000394,0.007609,0.000318,0.007811,0.006303
1,40,0.018232,0.000396,0.008168,0.000413,0.007105,0.00387,0.008455,0.002249,0.00684,0.000313,0.007628,0.000331,0.006647,0.008522
1,40,0.019314,0.00038,0.004225,0.00025,0.004376,0.003313,0.004152,0.001214,0.004486,0.000198,0.009214,0.00023,0.008525,0.012632
1,40,0.034957,0.000401,0.003961,0.000241,0.010341,0.00465,0.007432,0.001615,0.008622,0.000202,0.008636,0.000234,0.007112,0.010136
1,40,0.015827,0.000258,0.014085,0.000284,0.005132,0.002966,0.007289,0.003496,0.009317,0.000203,0.008619,0.000199,0.007524,0.0083
1,40,0.022818,0.000319,0.007505,0.000242,0.007902,0.008245,0.007129,0.00363,0.013309,0.002195,0.009392,0.00026,0.005307,0.015726
1,40,0.038357,0.000549,0.013393,0.000381,0.013275,0.005995,0.01437,0.002156,0.014607,0.000298,0.021121,0.000546,0.008681,0.017828
1,40,0.017807,0.000281,0.014098,0.000226,0.008022,0.00947,0.013731,0.001781,0.011404,0.000196,0.006881,0.002721,0.008665,0.015316
1,40,0.0353,0.000389,0.017264,0.000391,0.010909,0.011987,0.009276,0.007531,0.009532,0.000299,0.013133,0.000307,0.01156,0.018135
1,40,0.030785,0.000415,0.004369,0.000229,0.008502,0.004827,0.004978,0.005685,0.006134,0.000182,0.00369,0.000186,0.005033,0.01023
1,40,0.062582,0.000595,0.009325,0.00024,0.017281,0.007877,0.023122,0.005717,0.017161,0.000481,0.016016,0.000366,0.018599,0.016625
1,40,0.028082,0.001789,0.004242,0.00024,0.008941,0.004298,0.010958,0.002353,0.004177,0.000192,0.008378,0.00022,0.005445,0.010227
1,40,0.014684,0.000299,0.010148,0.000236,0.008557,0.00471,0.008789,0.002443,0.005345,0.000178,0.008533,0.00028,0.008704,0.010869
