Fichier, Gamma, tau, time_master_classic, time_subproblem_classic, time_master_matrix, time_subproblem_matrix, time_master_augmented, time_subproblem_augmented, time_master_augmented_HOG, time_subproblem_augmented_HOG
toy_instances/toy_instance_1.txt,1,0,0.002016,1.1e-05,0.000443,6e-06,0.000405,9e-06,0.000338,0.000183
toy_instances/toy_instance_1.txt,1,20,0.000705,1.6e-05,0.00046,6e-06,0.000278,2.3e-05,0.000277,0.0001
toy_instances/toy_instance_1.txt,1,40,0.000626,1.2e-05,0.000436,6e-06,0.000385,1.4e-05,0.000574,0.000173
toy_instances/toy_instance_1.txt,1,60,0.000959,1.4e-05,0.000749,9e-06,0.000529,1.3e-05,0.000559,0.000182
toy_instances/toy_instance_1.txt,1,80,0.001161,2.1e-05,0.001031,8e-06,0.000654,1.2e-05,0.000549,0.0001
toy_instances/toy_instance_1.txt,1,100,0.000797,1.6e-05,0.000534,1.1e-05,0.000421,9e-06,0.000342,0.000241
toy_instances/toy_instance_1.txt,11,0,0.000581,0.000207,0.000604,0.000146,0.000635,0.00016,0.000618,0.001841
toy_instances/toy_instance_1.txt,11,20,0.001207,0.000264,0.001179,0.000144,0.002305,0.000346,0.001929,0.00236
toy_instances/toy_instance_1.txt,11,40,0.000952,0.000217,0.000658,0.000123,0.000672,0.000171,0.001004,0.001972
toy_instances/toy_instance_1.txt,11,60,0.000783,0.000184,0.001568,0.000124,0.00192,0.000246,0.001521,0.001586
toy_instances/toy_instance_1.txt,11,80,0.000967,0.000159,0.00087,6.9e-05,0.000503,0.000123,0.000437,0.001217
toy_instances/toy_instance_1.txt,11,100,0.000715,0.000162,0.001215,0.000162,0.001345,0.000173,0.001206,0.002227
toy_instances/toy_instance_1.txt,21,0,0.001424,0.000791,0.001417,0.000231,0.001057,0.00045,0.001035,0.002371
toy_instances/toy_instance_1.txt,21,20,0.000763,0.000731,0.002488,0.000977,0.003044,0.000282,0.001047,0.00101
toy_instances/toy_instance_1.txt,21,40,0.000462,0.000349,0.000914,0.000261,0.001711,0.000375,0.000677,0.001091
toy_instances/toy_instance_1.txt,21,60,0.001765,0.000935,0.001797,0.000206,0.001262,0.000254,0.00069,0.001169
toy_instances/toy_instance_1.txt,21,80,0.000879,0.000265,0.001201,0.000371,0.000879,0.000511,0.002317,0.002747
toy_instances/toy_instance_1.txt,21,100,0.000712,0.000311,0.000751,0.000197,0.000637,0.000237,0.00078,0.001855
toy_instances/toy_instance_1.txt,31,0,0.000556,0.000586,0.001479,0.001423,0.002763,0.000465,0.001225,0.001231
