Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.019238,0.000208,0.020263,0.000129,0.018889,0.000118,0.00651,0.000233,0.00651,0.000236,0.005526,0.001112,0.005431,0.000683,0.005392,0.000204,0.006409,0.000206,0.005516,0.001216,0.005443,0.000815
21,90,2,600,0.512779,0.039469,8.25598,0.019313,1.01899,0.01663,0.029955,0.004111,0.026435,0.003974,0.005621,0.005488,0.00562,0.005383,0.005795,0.003903,0.006091,0.00405,0.005705,0.005269,0.005674,0.004867
41,90,2,600,0.38562,0.114764,7.78016,0.056406,1.65083,0.048998,0.08631,0.016118,0.091272,0.015594,0.012609,0.016074,0.012612,0.017403,0.012651,0.014583,0.012908,0.01452,0.012461,0.016112,0.012478,0.01568
61,90,2,600,0.399602,0.244562,6.30463,0.120672,5.27485,0.132923,0.224033,0.036623,0.173392,0.036605,0.024935,0.034143,0.025603,0.036114,0.02414,0.03176,0.024866,0.031473,0.024436,0.033902,0.024282,0.033328
81,90,2,600,0.37652,0.406099,20.8145,0.247331,1.11373,0.232864,0.260358,0.064951,0.247631,0.055635,0.043176,0.059405,0.041979,0.066013,0.042303,0.055036,0.043271,0.055207,0.041971,0.060051,0.04172,0.059312
101,90,2,600,0.424688,0.647322,5.22991,0.322482,0.774469,0.324991,0.638146,0.101316,0.544048,0.09967,0.066478,0.094225,0.066574,0.104075,0.065769,0.087746,0.0665,0.087635,0.06639,0.0948,0.06592,0.093201
1,90,2,600,0.010102,0.000159,0.012753,0.000101,0.011652,9.2e-05,0.004031,0.000171,0.004025,0.000171,0.003606,0.000694,0.003923,0.002601,0.00359,0.000148,0.003857,0.000146,0.003757,0.000746,0.003795,0.000444
21,90,2,600,0.195363,0.024218,0.456684,0.012598,0.299204,0.010545,0.036896,0.004136,0.027058,0.004114,0.005568,0.005141,0.005872,0.005365,0.005595,0.004087,0.006387,0.004053,0.005705,0.005276,0.005785,0.004866
41,90,2,600,0.20277,0.086414,0.365577,0.040156,0.949467,0.044704,0.126653,0.015348,0.130277,0.015254,0.012624,0.016201,0.013069,0.017206,0.012376,0.014623,0.013196,0.01452,0.012573,0.015984,0.012776,0.015556
61,90,2,600,0.220024,0.183693,0.367087,0.087708,0.546765,0.097001,0.230407,0.034417,0.210448,0.033899,0.026109,0.033456,0.024772,0.037109,0.024232,0.03174,0.025153,0.034595,0.024667,0.033562,0.024553,0.033307
