Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAO, time_subproblem_BAO, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
101,90,2,600,0.101868,0.328515,0.070791,0.137185,0.651882,0.124807,0.570242,0.120838,0.121885,0.192589,0.123744,0.196993,0.120911,0.186246,0.122263,0.186463,0.12253,0.196879,0.120129,0.192983
101,90,2,600,0.064442,0.247307,0.053318,0.124738,0.639717,0.122326,0.527674,0.134167,0.122017,0.194846,0.122546,0.198567,0.125204,0.184158,0.125965,0.186971,0.120121,0.1966,0.119713,0.196605
101,90,2,600,0.042564,0.180671,0.039151,0.093191,0.664573,0.122031,0.517375,0.124356,0.076582,0.127698,0.075574,0.125156,0.074529,0.121101,0.077353,0.119328,0.074861,0.124652,0.074738,0.124525
101,90,2,600,0.785748,1.01614,1.96103,0.592104,0.178487,0.122592,0.16501,0.123006,0.077936,0.128431,0.079609,0.117791,0.075093,0.120639,0.080338,0.114447,0.076692,0.124983,0.078294,0.126778
101,90,2,600,0.022482,0.12321,0.026742,0.062465,0.669471,0.121433,0.526558,0.120579,0.080629,0.119262,0.075994,0.131032,0.076062,0.120079,0.076399,0.121255,0.080431,0.125188,0.075476,0.124925
101,90,2,600,0.064803,0.242618,0.055021,0.125858,0.608171,0.123873,0.515576,0.126969,0.120081,0.198986,0.118963,0.194602,0.121545,0.185611,0.123197,0.188569,0.121398,0.195089,0.124448,0.19466
101,90,2,600,0.209944,0.555705,0.204027,0.290314,0.422179,0.122666,0.363452,0.123464,0.081753,0.127402,0.075221,0.126514,0.075872,0.134658,0.07684,0.119593,0.07537,0.124668,0.077722,0.122135
101,90,2,600,0.514207,0.846103,0.812983,0.451945,0.328724,0.122215,0.300835,0.124374,0.077446,0.125939,0.076999,0.126409,0.077907,0.121882,0.077544,0.124636,0.07672,0.127503,0.076497,0.127876
101,90,2,600,0.63537,0.90982,1.26044,0.487873,0.386573,0.123532,0.35717,0.121774,0.076411,0.132069,0.082587,0.127133,0.09491,0.13413,0.09701,0.133837,0.078705,0.133747,0.106067,0.152179
101,90,2,600,0.205761,0.611359,0.175337,0.269939,0.429942,0.126949,0.357022,0.122948,0.080151,0.131318,0.076479,0.125362,0.088356,0.127294,0.113934,0.136754,0.085786,0.129443,0.078645,0.127371
