Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCU, time_subproblem_KCU, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCHOG, time_subproblem_KCHOG
71,0,0.012243,0.067172,0.313391,0.063544,0.043361,0.071206,0.048156,0.068007,0.35575,0.140529,0.046265,0.075964
71,20,0.011993,0.065927,0.396899,0.07109,0.050005,0.076488,0.043447,0.074227,0.33739,0.134717,0.046005,0.068213
71,40,0.004964,0.072401,0.309038,0.066014,0.045359,0.069581,0.043268,0.067678,0.350669,0.136431,0.042343,0.066483
71,60,0.015696,0.074228,0.322223,0.064927,0.044893,0.096048,0.059388,0.077435,0.339137,0.145713,0.05471,0.077719
71,80,0.007723,0.099529,0.403368,0.072832,0.044961,0.080495,0.04835,0.064237,0.485276,0.172565,0.045846,0.071106
71,100,0.015491,0.06665,0.305572,0.062304,0.048392,0.06491,0.044647,0.066274,0.326318,0.143337,0.059771,0.092887
81,0,0.016408,0.086685,0.428502,0.080562,0.053317,0.084823,0.06152,0.098335,0.533934,0.20722,0.052385,0.094422
81,20,0.015356,0.091132,0.465276,0.110145,0.060675,0.088952,0.056713,0.12452,0.451562,0.181428,0.071171,0.104369
81,40,0.016443,0.09175,0.453753,0.099793,0.056048,0.089304,0.058903,0.091351,0.506163,0.177037,0.066333,0.095777
81,60,0.017119,0.096201,0.462059,0.105184,0.056764,0.087712,0.054809,0.089614,0.463287,0.185679,0.053296,0.101315
81,80,0.014609,0.092867,0.423574,0.084202,0.053918,0.091479,0.053469,0.082769,0.432376,0.185846,0.060151,0.10419
81,100,0.017845,0.081997,0.350048,0.087477,0.052335,0.083969,0.052635,0.081032,0.317038,0.175161,0.055601,0.082445
91,0,0.029708,0.112468,0.539007,0.110807,0.06776,0.107354,0.087367,0.141077,0.555004,0.256845,0.08696,0.122062
91,20,0.019815,0.119664,0.588422,0.127377,0.078681,0.104831,0.064733,0.103101,0.531183,0.219088,0.066445,0.117194
91,40,0.018366,0.105653,0.538805,0.115887,0.065234,0.110023,0.065907,0.110524,0.52946,0.22147,0.065923,0.13049
91,60,0.020238,0.111978,0.601225,0.099022,0.091937,0.162096,0.092606,0.126868,0.485895,0.226676,0.064555,0.106484
91,80,0.022984,0.108767,0.49001,0.105008,0.064656,0.123711,0.070677,0.107638,0.689926,0.229616,0.06668,0.113531
91,100,0.019978,0.098473,0.444851,0.120704,0.069933,0.129732,0.08247,0.115172,0.468215,0.229929,0.076513,0.112239
