Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAO, time_subproblem_BAO, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.020006,0.000291,0.021852,0.000201,0.002217,0.000116,0.002207,0.000192,0.006794,0.003482,0.002176,0.000376,0.002221,0.000154,0.00427,0.000206,0.004625,0.00158,0.003397,0.000506
21,90,2,600,0.031213,0.028535,0.050646,0.005785,0.115244,0.009272,0.091775,0.009593,0.020018,0.02189,0.020167,0.013217,0.018474,0.016733,0.025499,0.019319,0.032268,0.016,0.028852,0.027184
41,90,2,600,0.040392,0.077354,0.045814,0.033603,0.206977,0.037608,0.190724,0.033549,0.044856,0.051229,0.040301,0.051917,0.038471,0.05172,0.038647,0.047022,0.042341,0.058979,0.037538,0.053558
61,90,2,600,0.048456,0.139222,0.061414,0.067151,0.397595,0.068351,0.343021,0.069882,0.067681,0.110479,0.069361,0.109436,0.059203,0.111211,0.075999,0.097828,0.070281,0.113025,0.058892,0.107126
81,90,2,600,0.055521,0.234067,0.065127,0.115204,0.594007,0.103158,0.461453,0.105123,0.11227,0.167511,0.112468,0.162451,0.110015,0.161432,0.111229,0.175919,0.111445,0.169155,0.120455,0.167145
101,90,2,600,0.101806,0.379706,0.095761,0.202796,0.845573,0.161676,0.785248,0.162392,0.164048,0.253855,0.165413,0.246753,0.16409,0.252512,0.174906,0.251461,0.15946,0.265622,0.159143,0.267731
1,90,2,600,0.003493,0.000122,0.002734,9.7e-05,0.002013,8.9e-05,0.001629,0.000154,0.001562,0.000614,0.000622,0.000209,0.000514,4.7e-05,0.000618,6.6e-05,0.00087,0.000459,0.000872,0.00035
21,90,2,600,0.001028,0.010129,0.001235,0.00257,0.006734,0.004212,0.004686,0.003558,0.002093,0.007189,0.00412,0.007794,0.002501,0.006489,0.002241,0.003916,0.002309,0.004126,0.00263,0.002663
41,90,2,600,0.00081,0.023297,0.000755,0.007734,0.018063,0.011991,0.010449,0.014176,0.007095,0.01395,0.010478,0.018955,0.010242,0.011073,0.00928,0.017857,0.009197,0.011625,0.01217,0.012143
61,90,2,600,0.000886,0.036743,0.013251,0.019665,0.016312,0.032515,0.014084,0.032417,0.015747,0.04155,0.01825,0.0346,0.02284,0.03056,0.019304,0.025991,0.014357,0.03226,0.015223,0.026578
