Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCU, time_subproblem_KCU, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCHOG, time_subproblem_KCHOG
1,0,0.065588,0.000854,0.01653,0.000824,0.012695,0.000339,0.01114,0.002823,0.01132,0.00998
1,0,0.087742,0.001033,0.006015,0.000201,0.01353,0.000389,0.008967,0.001626,0.012004,0.003085
1,0,0.007397,0.000208,0.004583,0.000171,0.002958,0.000128,0.002973,0.002262,0.003793,0.00259
1,0,0.017162,0.000329,0.009919,0.000404,0.008514,0.000305,0.008899,0.002654,0.008985,0.004264
1,0,0.009802,0.000283,0.007163,0.000257,0.005932,0.000209,0.005238,0.00195,0.004781,0.004059
1,0,0.01055,0.000282,0.008,0.000284,0.004663,0.000194,0.004901,0.001827,0.005227,0.004898
1,0,0.010109,0.00043,0.00703,0.000267,0.004815,0.000198,0.004916,0.001898,0.004509,0.004208
1,0,0.020608,0.000481,0.004148,0.000255,0.004531,0.000207,0.004156,0.002043,0.004874,0.003744
1,0,0.023195,0.000445,0.004602,0.000253,0.005097,0.000197,0.005289,0.001623,0.004937,0.002863
1,0,0.022154,0.000421,0.004813,0.000269,0.005251,0.000205,0.004829,0.001926,0.005433,0.003791
1,20,0.032711,0.000442,0.008067,0.000247,0.011227,0.000213,0.00464,0.001335,0.005225,0.004555
1,20,0.046301,0.000652,0.013007,0.000298,0.016793,0.00044,0.033807,0.002528,0.034775,0.003617
1,20,0.018195,0.000296,0.015446,0.000315,0.004688,0.000207,0.015345,0.001496,0.017219,0.007385
1,20,0.023805,0.000435,0.016341,0.00052,0.009247,0.000304,0.009181,0.002828,0.010596,0.006364
1,20,0.01353,0.000306,0.009746,0.000276,0.004817,0.0002,0.004814,0.001566,0.007603,0.010306
1,20,0.011828,0.000291,0.009904,0.000269,0.004697,0.000194,0.004708,0.001766,0.00496,0.00692
1,20,0.012323,0.000277,0.011629,0.000288,0.004289,0.000203,0.00499,0.001619,0.006398,0.004475
1,20,0.022011,0.000484,0.004126,0.000257,0.004514,0.000198,0.006444,0.001461,0.004424,0.006489
1,20,0.048501,0.000487,0.004592,0.000243,0.009976,0.000186,0.004893,0.001481,0.004978,0.002851
1,20,0.021048,0.000441,0.00445,0.000282,0.004429,0.000206,0.004597,0.001341,0.004656,0.003883
1,40,0.022228,0.000416,0.004865,0.000253,0.004946,0.000189,0.004896,0.001386,0.004987,0.00412
1,40,0.039715,0.000582,0.006836,0.000265,0.013464,0.000398,0.013474,0.002464,0.013993,0.003678
1,40,0.010242,0.000284,0.007558,0.000273,0.004478,0.000173,0.004475,0.001333,0.004347,0.003921
1,40,0.022765,0.000514,0.011344,0.000421,0.010244,0.000336,0.008708,0.0026,0.010555,0.004907
1,40,0.011851,0.000284,0.009096,0.00028,0.004846,0.000199,0.004901,0.001605,0.006801,0.004648
1,40,0.017595,0.000288,0.007551,0.000286,0.006369,0.000227,0.00597,0.001797,0.005731,0.005005
1,40,0.012099,0.000273,0.009123,0.000274,0.004587,0.000201,0.004931,0.001723,0.004489,0.006432
1,40,0.023739,0.000505,0.008192,0.000248,0.004863,0.0002,0.004387,0.00166,0.00478,0.007053
1,40,0.028888,0.000429,0.007874,0.000261,0.005379,0.000199,0.005315,0.001318,0.007894,0.003364
1,40,0.024896,0.000437,0.004825,0.000256,0.004947,0.000201,0.004768,0.001273,0.007789,0.004426
1,60,0.028576,0.000418,0.007912,0.000268,0.004995,0.000202,0.005424,0.001383,0.005412,0.004185
1,60,0.045884,0.000604,0.007129,0.000267,0.013112,0.000525,0.013316,0.002402,0.013279,0.003018
1,60,0.009678,0.000299,0.007349,0.000299,0.006415,0.0002,0.005317,0.001397,0.007938,0.003657
1,60,0.029743,0.000622,0.01422,0.000424,0.009085,0.000299,0.009636,0.002562,0.013175,0.003786
1,60,0.013843,0.000293,0.008053,0.000263,0.00479,0.003748,0.009791,0.001711,0.005822,0.006996
1,60,0.010272,0.000297,0.01044,0.000378,0.009067,0.000213,0.005824,0.001811,0.009529,0.004182
1,60,0.014807,0.000277,0.011591,0.000292,0.004979,0.000206,0.004531,0.001715,0.008026,0.004606
1,60,0.02991,0.000455,0.004783,0.000263,0.004249,0.000196,0.004458,0.001364,0.004224,0.003005
1,60,0.024694,0.000435,0.005266,0.000262,0.007518,0.000202,0.004682,0.001306,0.005057,0.002759
1,60,0.029481,0.000493,0.004314,0.000263,0.005123,0.000203,0.004347,0.00133,0.005114,0.00398
1,80,0.025292,0.000458,0.004591,0.000256,0.007079,0.0002,0.005411,0.002266,0.004788,0.004123
1,80,0.041281,0.000614,0.006483,0.00026,0.014006,0.000415,0.017812,0.002686,0.014073,0.003839
1,80,0.009786,0.000301,0.012991,0.000264,0.004967,0.000207,0.004976,0.001536,0.004981,0.003408
1,80,0.023052,0.000481,0.011516,0.000413,0.008783,0.000358,0.009411,0.002601,0.00886,0.004334
1,80,0.009838,0.00031,0.007097,0.000261,0.005283,0.000224,0.006131,0.001776,0.004787,0.004226
1,80,0.010454,0.000304,0.012698,0.000271,0.00469,0.000197,0.004847,0.001868,0.005344,0.004797
1,80,0.010615,0.000281,0.007771,0.000268,0.004507,0.000208,0.004591,0.001617,0.004598,0.005167
1,80,0.021025,0.000441,0.004273,0.000292,0.004282,0.0002,0.004834,0.00144,0.004321,0.004103
1,80,0.024322,0.000472,0.004989,0.000304,0.004683,0.000196,0.005562,0.001373,0.004659,0.003004
1,80,0.021711,0.000445,0.010498,0.000278,0.004411,0.000196,0.00445,0.001283,0.00598,0.005936
1,100,0.025436,0.000585,0.004783,0.000251,0.005501,0.000199,0.005197,0.001473,0.005248,0.004207
1,100,0.041562,0.000595,0.006878,0.000252,0.014083,0.00038,0.013011,0.002201,0.013782,0.002907
1,100,0.010396,0.000304,0.007619,0.000252,0.00453,0.000205,0.005215,0.001324,0.00453,0.004405
1,100,0.023068,0.00044,0.009607,0.000433,0.008754,0.000294,0.008767,0.002394,0.008695,0.003845
1,100,0.010367,0.000274,0.007408,0.000268,0.004683,0.000208,0.00809,0.001661,0.00537,0.004547
1,100,0.011589,0.000293,0.00751,0.000259,0.004886,0.000197,0.007977,0.001811,0.005138,0.005216
1,100,0.014386,0.000285,0.007651,0.000302,0.00781,0.000219,0.007441,0.002017,0.004783,0.008167
1,100,0.020797,0.000419,0.007532,0.00026,0.004358,0.000195,0.004731,0.001333,0.00802,0.004316
1,100,0.023582,0.000463,0.004673,0.00025,0.008554,0.000198,0.005058,0.001347,0.005242,0.002461
1,100,0.028255,0.000443,0.008343,0.000527,0.004549,0.000192,0.004441,0.001299,0.008549,0.004149
11,0,0.027007,0.006194,0.047165,0.003642,0.013541,0.003269,0.007425,0.005085,0.007716,0.006178
11,0,0.347647,0.0222,0.023669,0.00369,0.009324,0.003028,0.009167,0.008174,0.00888,0.010596
11,0,0.00989,0.003932,0.054764,0.003601,0.00715,0.003062,0.007335,0.004754,0.007285,0.005884
11,0,0.352388,0.025032,0.02417,0.003555,0.009811,0.003028,0.009151,0.007018,0.009336,0.009426
11,0,0.009908,0.003853,0.04108,0.003676,0.007519,0.003084,0.007631,0.004989,0.007804,0.005838
11,0,0.013726,0.004142,0.050224,0.005631,0.01092,0.003344,0.007547,0.007671,0.007685,0.009783
11,0,0.01056,0.004077,0.051498,0.00568,0.010488,0.003341,0.007675,0.006898,0.010493,0.010055
11,0,0.049728,0.014786,0.03336,0.002219,0.015188,0.005244,0.007748,0.005491,0.007672,0.005713
11,0,0.018995,0.004473,0.025993,0.002888,0.006539,0.00241,0.005586,0.002872,0.004489,0.003237
11,0,0.024291,0.004689,0.025196,0.001945,0.007761,0.002801,0.007296,0.004807,0.00739,0.005474
11,20,0.014086,0.004188,0.030983,0.001994,0.006028,0.002439,0.004521,0.002537,0.00538,0.004309
11,20,0.239789,0.013293,0.014625,0.001913,0.005829,0.001706,0.005732,0.004399,0.005899,0.005832
11,20,0.006319,0.002053,0.040615,0.001938,0.004423,0.001539,0.005592,0.004649,0.007323,0.006064
11,20,0.245515,0.015911,0.016303,0.00192,0.006471,0.002347,0.006769,0.003985,0.006158,0.005722
11,20,0.006766,0.002081,0.028898,0.001908,0.004815,0.001733,0.004622,0.002716,0.004902,0.004433
11,20,0.006919,0.002193,0.033596,0.003206,0.004688,0.001668,0.005399,0.003275,0.004486,0.003808
11,20,0.006545,0.002786,0.032914,0.001932,0.004854,0.001831,0.004964,0.003981,0.00451,0.003793
11,20,0.023595,0.004771,0.057899,0.002837,0.006813,0.003089,0.014005,0.008163,0.014195,0.012442
11,20,0.024711,0.006639,0.030676,0.002159,0.008277,0.003242,0.004698,0.002648,0.004414,0.003218
11,20,0.025411,0.004508,0.030183,0.002987,0.007455,0.00248,0.007374,0.004446,0.006836,0.005
11,40,0.014978,0.004222,0.027731,0.001921,0.004644,0.001629,0.004351,0.002546,0.005183,0.003645
11,40,0.237626,0.015597,0.015128,0.001848,0.006442,0.001701,0.005712,0.004788,0.005951,0.005886
11,40,0.006301,0.002102,0.038939,0.001962,0.004805,0.002249,0.005108,0.004137,0.00685,0.004747
11,40,0.242878,0.01387,0.015512,0.001915,0.006912,0.001634,0.006342,0.00393,0.005916,0.005764
11,40,0.007308,0.002238,0.028961,0.001923,0.00462,0.00156,0.005138,0.003099,0.005304,0.004088
11,40,0.006499,0.002137,0.032851,0.001991,0.005658,0.001596,0.004455,0.003761,0.005382,0.003766
11,40,0.006477,0.002071,0.031836,0.002337,0.004299,0.001572,0.004573,0.003348,0.004168,0.003616
11,40,0.023134,0.005485,0.031253,0.002191,0.007036,0.002604,0.007471,0.004264,0.006608,0.00514
11,40,0.015558,0.004623,0.02682,0.001892,0.004806,0.001557,0.00445,0.002544,0.004787,0.004082
11,40,0.024639,0.004443,0.028315,0.00258,0.007142,0.002602,0.008306,0.005179,0.008757,0.006899
11,60,0.015207,0.00323,0.027759,0.001955,0.004896,0.001948,0.004471,0.002634,0.005194,0.003544
11,60,0.241319,0.012977,0.014786,0.001911,0.00601,0.002052,0.005902,0.004679,0.006033,0.005885
11,60,0.006378,0.002202,0.035977,0.001984,0.005265,0.001684,0.005564,0.004302,0.004604,0.00355
11,60,0.241303,0.013528,0.015498,0.001969,0.006445,0.00163,0.00565,0.004651,0.005956,0.005482
11,60,0.00694,0.0022,0.028403,0.002546,0.004839,0.001888,0.004558,0.002737,0.005097,0.003966
11,60,0.006278,0.002146,0.029048,0.00204,0.005004,0.001696,0.006445,0.004929,0.004883,0.003926
11,60,0.006768,0.002917,0.030889,0.00197,0.005204,0.001683,0.004243,0.002677,0.004419,0.004035
11,60,0.023848,0.004557,0.034577,0.001929,0.008461,0.002713,0.007176,0.004306,0.006469,0.005435
11,60,0.014898,0.00337,0.025644,0.001965,0.004372,0.001625,0.004992,0.00346,0.004421,0.004237
11,60,0.024576,0.004877,0.030465,0.002129,0.008394,0.002386,0.007275,0.005068,0.007215,0.005071
11,80,0.01636,0.003458,0.028146,0.001881,0.004622,0.001731,0.004427,0.002531,0.004815,0.004101
11,80,0.237575,0.013707,0.014717,0.002025,0.006104,0.001592,0.005997,0.005223,0.006777,0.005932
11,80,0.006362,0.003134,0.038898,0.002723,0.004971,0.001783,0.006944,0.003213,0.004345,0.003577
11,80,0.242849,0.015026,0.014712,0.002812,0.006633,0.002002,0.00617,0.003742,0.006677,0.006307
11,80,0.00678,0.002202,0.028785,0.002403,0.004445,0.001554,0.005112,0.003025,0.004625,0.003548
11,80,0.006634,0.002224,0.033878,0.002322,0.005603,0.001625,0.004644,0.003014,0.005596,0.003766
11,80,0.006542,0.002112,0.034057,0.002389,0.004418,0.001531,0.004461,0.003014,0.005114,0.004008
11,80,0.024353,0.004835,0.033723,0.002152,0.008057,0.002493,0.006981,0.005048,0.007079,0.005759
11,80,0.015313,0.00368,0.025824,0.002638,0.005106,0.001637,0.004909,0.002662,0.005277,0.003686
