Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCU, time_subproblem_KCU, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCHOG, time_subproblem_KCHOG
1,0,0.00411,0.000151,0.002018,0.000163,0.001429,9.8e-05,0.001848,0.000335,0.001674,0.000613
1,0,0.004942,0.000247,0.001761,0.000134,0.002187,0.000138,0.001611,0.000287,0.002113,0.00059
1,0,0.005486,0.000245,0.003404,0.000269,0.004572,0.000253,0.001919,0.000408,0.002891,0.000815
1,0,0.00662,0.000417,0.003156,0.000264,0.002214,0.000181,0.004375,0.000625,0.002927,0.000687
1,0,0.002992,0.000129,0.002108,0.000167,0.001153,0.000133,0.002826,0.000503,0.003732,0.00086
1,0,0.00305,0.00019,0.001759,0.000153,0.001236,0.000124,0.00316,0.000685,0.004032,0.000841
1,0,0.00381,0.000116,0.001634,0.000128,0.001398,0.000103,0.003973,0.000577,0.004099,0.00076
1,0,0.002726,0.000229,0.002648,0.000389,0.00159,0.000129,0.002732,0.000574,0.00384,0.000771
1,0,0.003513,0.000138,0.003794,0.000368,0.001095,9e-05,0.005396,0.000495,0.001714,0.000496
1,0,0.002181,0.000108,0.005101,0.000326,0.001375,0.000185,0.003326,0.000392,0.001377,0.000646
1,20,0.002164,0.00013,0.003566,0.000235,0.001061,0.000148,0.003718,0.000498,0.001897,0.000691
1,20,0.002096,0.000109,0.002405,0.000273,0.001255,0.000102,0.004794,0.000593,0.00303,0.000628
1,20,0.002607,9.8e-05,0.003184,0.000233,0.001431,0.000138,0.003626,0.000833,0.00298,0.000797
1,20,0.002584,9.3e-05,0.005842,0.000364,0.001289,9.7e-05,0.003587,0.000631,0.002408,0.001195
1,20,0.006394,0.000399,0.001913,0.00014,0.003386,0.000157,0.001728,0.000271,0.001114,0.000513
1,20,0.005369,0.000356,0.00222,0.000195,0.00327,0.000243,0.001386,0.000292,0.001409,0.000537
1,20,0.007465,0.000409,0.001707,0.000211,0.003001,0.000168,0.001584,0.000273,0.003365,0.000718
