Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.066409,0.00038,0.066623,0.000157,0.071915,0.000163,0.042946,0.003366,0.042346,0.002398,0.040802,0.003262,0.032359,0.002903,0.040766,0.000389,0.041406,0.000288,0.032077,0.003758,0.039984,0.002662
21,90,2,600,4.29865,0.078788,6.024,0.044149,8.04478,0.040245,0.144408,0.036159,0.129333,0.030175,0.032912,0.027876,0.034594,0.022221,0.037723,0.006834,0.049856,0.00761,0.032257,0.028142,0.032358,0.028431
41,90,2,600,5.13199,0.273071,7.09598,0.145125,6.78686,0.124614,0.315501,0.068422,0.30895,0.064685,0.044542,0.072385,0.04119,0.069698,0.041956,0.02455,0.048526,0.025085,0.04136,0.067212,0.041057,0.065678
61,90,2,600,4.37902,0.52818,8.07244,0.293855,9.60467,0.2856,0.593966,0.155021,0.617014,0.135161,0.060248,0.141965,0.057853,0.125883,0.055732,0.052138,0.064891,0.052064,0.05481,0.119155,0.057029,0.132171
81,90,2,600,4.79631,0.873901,6.15693,0.487615,9.3421,0.476345,0.888812,0.224331,0.875367,0.181454,0.075175,0.228273,0.079778,0.194714,0.075375,0.089808,0.079997,0.089807,0.075483,0.226138,0.07521,0.197341
101,90,2,600,4.06586,1.3032,6.81029,0.750513,11.7577,0.753147,2.02751,0.328015,1.58628,0.334185,0.104116,0.310362,0.102049,0.31591,0.100373,0.136155,0.099743,0.136538,0.100249,0.306292,0.101871,0.326057
1,90,2,600,0.037074,0.000242,0.038659,0.000123,0.035846,0.000163,0.032428,0.00192,0.039678,0.001805,0.0337,0.001856,0.040771,0.002142,0.025787,0.000178,0.033602,0.000152,0.031681,0.002595,0.028493,0.002193
21,90,2,600,0.034296,0.008103,0.045882,0.004673,0.04365,0.004297,0.232338,0.027391,0.197277,0.027445,0.040704,0.029795,0.032677,0.025796,0.031293,0.007734,0.041918,0.007996,0.030556,0.026265,0.031124,0.019098
41,90,2,600,0.095358,0.04586,0.073775,0.014589,0.03997,0.015688,1.05425,0.063782,0.742641,0.062586,0.039267,0.070937,0.038943,0.069019,0.039251,0.024872,0.047862,0.025013,0.041326,0.060895,0.039603,0.071463
61,90,2,600,0.033861,0.058544,0.036884,0.030953,0.042274,0.029655,2.38615,0.123969,2.15531,0.142365,0.05443,0.115304,0.05391,0.123856,0.054489,0.051966,0.065329,0.051898,0.054151,0.140121,0.055908,0.138531
