Fichier, Gamma, tau, time_master_s_classic, time_subproblem_s_classic, time_master_s_augmented, time_subproblem_s_augmented, time_master_s_augmented_HOG, time_subproblem_s_augmented_HOG
toy_instances/toy_instance_13.txt,1,20,0.044343,0.000666,0.008648,0.000449,0.015207,0.050366
toy_instances/toy_instance_20.txt,1,20,0.024754,0.000512,0.005537,0.00034,0.007619,0.019706
toy_instances/toy_instance_3.txt,1,20,0.052385,0.000805,0.008671,0.000339,0.023965,0.040038
toy_instances/toy_instance_16.txt,1,20,0.023241,0.000586,0.005315,0.000377,0.006674,0.0488
toy_instances/toy_instance_29.txt,1,20,0.051685,0.000845,0.008779,0.000298,0.01414,0.058889
toy_instances/toy_instance_37.txt,1,20,0.054649,0.000731,0.007857,0.000358,0.007402,0.020166
toy_instances/toy_instance_5.txt,1,20,0.029494,0.000608,0.006111,0.000325,0.006316,0.024762
toy_instances/toy_instance_11.txt,1,20,0.012612,0.000372,0.010598,0.000359,0.007159,0.025543
toy_instances/toy_instance_34.txt,1,20,0.04904,0.000772,0.012009,0.000597,0.013105,0.049575
toy_instances/toy_instance_41.txt,1,20,0.046177,0.000697,0.008191,0.000355,0.007771,0.02599
toy_instances/toy_instance_48.txt,1,20,0.025176,0.000535,0.006762,0.000451,0.005903,0.02545
toy_instances/toy_instance_19.txt,1,20,0.011917,0.000353,0.008382,0.000328,0.005655,0.024648
toy_instances/toy_instance_27.txt,1,20,0.025428,0.000673,0.011767,0.000556,0.0093,0.039201
toy_instances/toy_instance_22.txt,1,20,0.048167,0.000782,0.011897,0.000583,0.022428,0.062979
toy_instances/toy_instance_39.txt,1,20,0.027815,0.000577,0.006145,0.000331,0.006607,0.025323
toy_instances/toy_instance_23.txt,1,20,0.01171,0.000353,0.008156,0.000367,0.006257,0.026936
toy_instances/toy_instance_38.txt,1,20,0.010685,0.000351,0.009111,0.000306,0.005514,0.024568
toy_instances/toy_instance_8.txt,1,20,0.050611,0.00082,0.0076,0.000341,0.005858,0.000683
toy_instances/toy_instance_28.txt,1,20,0.012687,0.000345,0.008523,0.0004,0.006792,0.031841
toy_instances/toy_instance_21.txt,1,20,0.016609,0.000478,0.014266,0.000306,0.010822,0.058513
toy_instances/toy_instance_15.txt,1,20,0.123018,0.000651,0.026599,0.000385,0.036737,0.123134
toy_instances/toy_instance_44.txt,1,20,0.130891,0.000668,0.072548,0.000572,0.01947,0.007741
toy_instances/toy_instance_26.txt,1,20,0.026318,0.000349,0.01336,0.00031,0.013211,0.04155
toy_instances/toy_instance_32.txt,1,20,0.061663,0.000724,0.010069,0.000362,0.009098,0.001374
toy_instances/toy_instance_46.txt,1,20,0.015875,0.000357,0.011814,0.000371,0.006871,0.028708
toy_instances/toy_instance_17.txt,1,20,0.027776,0.000556,0.006742,0.000328,0.006412,0.018127
toy_instances/toy_instance_24.txt,1,20,0.026149,0.000586,0.006917,0.00033,0.006253,0.017202
toy_instances/toy_instance_49.txt,1,20,0.012895,0.000399,0.009373,0.000495,0.008219,0.026178
toy_instances/toy_instance_33.txt,1,20,0.029807,0.000548,0.012187,0.000555,0.01085,0.043294
toy_instances/toy_instance_10.txt,1,20,0.028323,0.000584,0.007146,0.000484,0.006899,0.018573
toy_instances/toy_instance_40.txt,1,20,0.056458,0.000925,0.008632,0.000365,0.008173,0.025619
toy_instances/toy_instance_18.txt,1,20,0.053561,0.000672,0.011678,0.000349,0.012855,0.039846
toy_instances/toy_instance_50.txt,1,20,0.0568,0.000813,0.014109,0.000493,0.014841,0.000793
toy_instances/toy_instance_6.txt,1,20,0.027161,0.000628,0.006854,0.0003,0.007565,0.030022
toy_instances/toy_instance_30.txt,1,20,0.034087,0.000551,0.013802,0.000504,0.015393,0.037326
toy_instances/toy_instance_45.txt,1,20,0.035877,0.000612,0.010715,0.000491,0.011909,0.048771
toy_instances/toy_instance_35.txt,1,20,0.078358,0.000922,0.029973,0.000627,0.014463,0.01185
toy_instances/toy_instance_12.txt,1,20,0.064839,0.00098,0.010171,0.000572,0.008946,0.017909
toy_instances/toy_instance_43.txt,1,20,0.013912,0.000376,0.010596,0.000604,0.008625,0.030489
toy_instances/toy_instance_36.txt,1,20,0.041116,0.000584,0.030582,0.000613,0.021634,0.084682
toy_instances/toy_instance_25.txt,1,20,0.093012,0.000669,0.009651,0.000351,0.032067,0.081398
toy_instances/toy_instance_1.txt,1,20,0.019356,0.000457,0.009143,0.000383,0.006193,0.024386
toy_instances/toy_instance_4.txt,1,20,0.025279,0.000533,0.013455,0.000585,0.01112,0.032036
toy_instances/toy_instance_31.txt,1,20,0.014663,0.000447,0.010593,0.000365,0.007164,0.025284
toy_instances/toy_instance_14.txt,1,20,0.0133,0.00042,0.009501,0.000378,0.006335,0.00889
toy_instances/toy_instance_42.txt,1,20,0.024969,0.000661,0.012494,0.0006,0.013021,0.014597
toy_instances/toy_instance_9.txt,1,20,0.024508,0.000537,0.011662,0.000561,0.00936,0.038891
toy_instances/toy_instance_2.txt,1,40,0.047734,0.000844,0.008436,0.000321,0.007724,0.021851
toy_instances/toy_instance_47.txt,1,40,0.045946,0.000751,0.007747,0.000305,0.007982,0.019947
toy_instances/toy_instance_7.txt,1,40,0.044825,0.000713,0.007407,0.00034,0.013748,0.046193
toy_instances/toy_instance_13.txt,1,40,0.049848,0.000716,0.008118,0.000366,0.01605,0.047201
toy_instances/toy_instance_20.txt,1,40,0.025792,0.000537,0.01084,0.000547,0.011001,0.00313
toy_instances/toy_instance_3.txt,1,40,0.023988,0.000576,0.011335,0.000539,0.013284,0.039876
toy_instances/toy_instance_16.txt,1,40,0.011859,0.000352,0.008646,0.000348,0.00605,0.024141
toy_instances/toy_instance_29.txt,1,40,0.011397,0.000398,0.009273,0.00037,0.015149,0.034036
toy_instances/toy_instance_37.txt,1,40,0.013918,0.000386,0.008827,0.001813,0.005876,0.024947
toy_instances/toy_instance_5.txt,1,40,0.026192,0.000506,0.01102,0.000509,0.011988,0.0316
toy_instances/toy_instance_11.txt,1,40,0.026193,0.000546,0.005634,0.000307,0.005444,0.013786
toy_instances/toy_instance_34.txt,1,40,0.01072,0.000378,0.00839,0.00037,0.005873,0.031613
toy_instances/toy_instance_41.txt,1,40,0.072764,0.000513,0.024063,0.000538,0.013006,0.042408
toy_instances/toy_instance_48.txt,1,40,0.034433,0.000567,0.006912,0.00048,0.006203,0.026504
toy_instances/toy_instance_19.txt,1,40,0.014163,0.000353,0.009035,0.000382,0.006773,0.027744
toy_instances/toy_instance_27.txt,1,40,0.04793,0.000782,0.008833,0.000302,0.008506,0.002307
toy_instances/toy_instance_22.txt,1,40,0.05873,0.00081,0.010732,0.0004,0.03527,0.145321
toy_instances/toy_instance_39.txt,1,40,0.033608,0.00062,0.017363,0.00044,0.012895,0.036457
toy_instances/toy_instance_23.txt,1,40,0.083913,0.000565,0.013593,0.000625,0.016913,0.086776
toy_instances/toy_instance_38.txt,1,40,0.080527,0.000732,0.018219,0.000377,0.025894,0.067038
toy_instances/toy_instance_8.txt,1,40,0.030314,0.000541,0.012211,0.000898,0.010431,0.03687
toy_instances/toy_instance_28.txt,1,40,0.053961,0.000825,0.008967,0.00032,0.018855,0.052951
toy_instances/toy_instance_21.txt,1,40,0.011679,0.000413,0.008966,0.000398,0.006942,0.017754
toy_instances/toy_instance_15.txt,1,40,0.027681,0.000662,0.007177,0.000359,0.007138,0.017146
toy_instances/toy_instance_44.txt,1,40,0.012644,0.000331,0.009348,0.00035,0.005965,0.024306
