BA,1,100,1,3,0.018682,0.018327,0.000228
KCHOGL,1,100,1,2,0.006322,0.005725,0.000368
BA,1,100,1,3,0.017569,0.017148,0.000252
KCHOGL,1,100,1,1,0.004115,0.003644,0.000322
BA,1,100,1,4,0.030046,0.029278,0.000508
KCHOGL,1,100,1,3,0.012892,0.011663,0.000647
BA,1,100,1,3,0.012632,0.012307,0.000224
KCHOGL,1,100,1,2,0.005024,0.004449,0.000345
BA,1,100,1,2,0.006121,0.00589,0.000174
KCHOGL,1,100,1,1,0.003286,0.002949,0.000194
BA,1,100,1,3,0.012228,0.011878,0.000235
KCHOGL,1,100,1,2,0.005101,0.004555,0.000318
BA,1,100,1,2,0.006491,0.006216,0.000195
KCHOGL,1,100,1,1,0.0028,0.002451,0.000214
BA,1,100,1,4,0.02466,0.024107,0.000367
KCHOGL,1,100,1,3,0.006569,0.005821,0.000463
BA,1,100,1,4,0.024292,0.02376,0.000295
KCHOGL,1,100,1,3,0.007097,0.006337,0.000448
BA,1,100,1,4,0.02114,0.020736,0.000235
KCHOGL,1,100,1,3,0.007618,0.006778,0.000509
BA,1,100,1,3,0.01152,0.011089,0.00032
KCHOGL,1,100,1,1,0.00292,0.0025,0.00029
BA,1,100,1,3,0.011702,0.011284,0.000252
KCHOGL,1,100,1,2,0.005495,0.004917,0.000325
BA,1,100,1,4,0.023013,0.022441,0.000339
KCHOGL,1,100,1,3,0.00821,0.00735,0.000458
BA,1,100,1,3,0.012862,0.012413,0.000315
KCHOGL,1,100,1,1,0.002817,0.002494,0.000232
BA,1,100,1,2,0.006466,0.006273,0.000137
KCHOGL,1,100,1,1,0.002808,0.002447,0.000231
BA,1,100,1,4,0.022996,0.02248,0.000322
KCHOGL,1,100,1,3,0.007998,0.007132,0.000505
BA,1,100,1,3,0.01282,0.012389,0.000242
KCHOGL,1,100,1,2,0.004362,0.00395,0.000244
BA,1,100,1,2,0.006385,0.006117,0.000183
KCHOGL,1,100,1,1,0.003731,0.003235,0.000354
BA,1,100,1,3,0.01419,0.013765,0.000286
KCHOGL,1,100,1,1,0.003957,0.003547,0.000235
BA,1,100,1,3,0.013621,0.013191,0.000293
KCHOGL,1,100,1,2,0.005306,0.004479,0.000475
BA,1,100,1,2,0.006439,0.006179,0.000198
KCHOGL,1,100,1,1,0.003371,0.00298,0.00025
BA,1,100,1,3,0.015166,0.014684,0.000298
KCHOGL,1,100,1,2,0.00598,0.005068,0.000606
BA,1,100,1,2,0.007504,0.007301,0.000151
KCHOGL,1,100,1,1,0.003625,0.003161,0.000306
BA,1,100,1,4,0.027744,0.027118,0.000402
KCHOGL,1,100,1,3,0.011291,0.010346,0.000524
BA,1,100,1,3,0.016324,0.015819,0.00034
KCHOGL,1,100,1,1,0.003606,0.003099,0.000329
BA,1,100,1,3,0.016263,0.015881,0.00024
KCHOGL,1,100,1,2,0.004638,0.004035,0.000383
BA,1,100,1,3,0.017932,0.017355,0.000386
KCHOGL,1,100,1,1,0.0027,0.002404,0.000162
BA,1,100,1,4,0.025457,0.024942,0.000372
KCHOGL,1,100,1,3,0.006786,0.006085,0.000412
BA,1,100,1,3,0.012849,0.012544,0.000203
KCHOGL,1,100,1,2,0.005215,0.004607,0.000373
BA,1,100,1,3,0.012438,0.012154,0.000182
KCHOGL,1,100,1,2,0.004325,0.003794,0.000362
BA,1,100,1,2,0.005516,0.005274,0.000144
KCHOGL,1,100,1,1,0.002637,0.002378,0.000153
BA,1,100,1,2,0.005482,0.005287,0.00012
KCHOGL,1,100,1,1,0.003335,0.002962,0.000252
BA,1,100,1,4,0.024984,0.024414,0.000359
KCHOGL,1,100,1,3,0.009061,0.008239,0.000484
BA,1,100,1,4,0.022146,0.021578,0.000385
KCHOGL,1,100,1,3,0.008463,0.007791,0.000357
BA,1,100,1,2,0.005913,0.005722,0.000136
KCHOGL,1,100,1,1,0.002612,0.002296,0.000176
BA,1,100,1,3,0.013492,0.013114,0.000263
KCHOGL,1,100,1,1,0.003352,0.002944,0.00022
BA,1,100,1,4,0.021596,0.021046,0.000404
KCHOGL,1,100,1,3,0.00779,0.006888,0.000582
BA,1,100,1,2,0.005946,0.005768,0.000115
KCHOGL,1,100,1,1,0.003179,0.002812,0.000226
BA,1,100,1,4,0.022729,0.022225,0.000335
KCHOGL,1,100,1,3,0.007774,0.006945,0.000505
BA,1,100,1,3,0.01307,0.012678,0.000267
KCHOGL,1,100,1,1,0.004193,0.003749,0.000221
BA,1,100,1,2,0.006039,0.005851,0.000129
KCHOGL,1,100,1,1,0.003463,0.003122,0.000207
BA,1,100,1,2,0.006013,0.005837,0.000126
KCHOGL,1,100,1,1,0.003375,0.002904,0.000302
BA,1,100,1,2,0.005928,0.005664,0.000192
KCHOGL,1,100,1,1,0.003143,0.002815,0.000206
BA,1,100,1,2,0.006333,0.006021,0.000233
KCHOGL,1,100,1,1,0.003168,0.00283,0.00023
BA,1,100,1,3,0.012435,0.012079,0.000259
KCHOGL,1,100,1,1,0.002995,0.002681,0.000192
BA,1,100,1,2,0.00592,0.005734,0.000127
KCHOGL,1,100,1,1,0.003309,0.002856,0.000291
BA,1,100,1,3,0.012958,0.012494,0.00032
KCHOGL,1,100,1,1,0.002703,0.002464,0.000147
BA,1,100,1,3,0.012485,0.012108,0.00024
