Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.381457,0.000971,0.199548,0.000214,0.115038,0.000218,0.038448,0.000243,0.036989,0.000268,0.036235,0.001362,0.056426,0.000658,0.037378,0.000247,0.035971,0.000163,0.040519,0.000974,0.036146,0.000805
21,90,2,600,0.416886,0.033259,0.463572,0.015808,0.176319,0.007547,0.308536,0.009595,0.270447,0.011185,0.169878,0.034707,0.193796,0.037215,0.159596,0.031007,0.10095,0.015288,0.165125,0.035841,0.17663,0.036232
41,90,2,600,0.960927,0.150414,0.843352,0.075533,0.181914,0.027142,1.09591,0.03023,0.847826,0.032389,0.081582,0.050589,0.095476,0.049315,0.078432,0.047937,0.124718,0.048692,0.08767,0.050985,0.084106,0.053147
61,90,2,600,0.736553,0.294541,0.822116,0.1519,0.203847,0.057461,2.95318,0.067158,1.90149,0.069249,0.114174,0.107365,0.109497,0.100991,0.118505,0.098301,0.167237,0.100292,0.113492,0.101441,0.107833,0.102187
81,90,2,600,0.995239,0.549378,1.11497,0.279271,0.292404,0.12351,3.76676,0.119661,3.98454,0.115064,0.154558,0.185606,0.154801,0.183341,0.146345,0.172528,0.180611,0.171233,0.150464,0.176064,0.153548,0.179884
101,90,2,600,0.653768,0.766295,0.747128,0.379357,0.309247,0.189478,11.1535,0.171053,4.40168,0.173066,0.205364,0.270842,0.196582,0.267577,0.193276,0.255875,0.229193,0.256628,0.195619,0.268949,0.192808,0.264582
1,90,2,600,0.040531,0.000196,0.052289,0.00013,0.060461,0.000122,0.036934,0.000192,0.037578,0.000192,0.030171,0.000872,0.028638,0.000532,0.030726,0.00022,0.041832,0.00016,0.028327,0.001107,0.030704,0.000744
21,90,2,600,0.097327,0.014353,0.102197,0.01013,0.163623,0.008998,0.276146,0.010066,0.215055,0.009534,0.039598,0.010271,0.041231,0.010062,0.038474,0.010568,0.044719,0.009571,0.037686,0.010312,0.037745,0.009962
41,90,2,600,0.106736,0.054783,0.121743,0.025963,0.131442,0.028169,1.04289,0.031023,1.11324,0.031303,0.056035,0.03434,0.052979,0.032848,0.048454,0.03032,0.055607,0.030431,0.049002,0.031447,0.048386,0.032016
61,90,2,600,0.099889,0.111698,0.098778,0.056631,0.160421,0.054909,2.95874,0.067039,2.47332,0.066835,0.065925,0.066766,0.067117,0.065104,0.06508,0.062466,0.076077,0.063131,0.072423,0.067529,0.06966,0.065973
81,90,2,600,0.101458,0.179303,0.09861,0.094303,0.14158,0.092991,4.59895,0.116721,7.36059,0.122672,0.099108,0.116512,0.104673,0.116031,0.097469,0.112012,0.100658,0.105915,0.094828,0.115943,0.091666,0.113854
101,90,2,600,0.091353,0.278753,0.097173,0.141419,0.179833,0.139407,10.1206,0.170654,9.65004,0.176432,0.141926,0.184907,0.139548,0.178291,0.118639,0.168015,0.129812,0.164026,0.123121,0.179722,0.121563,0.175255
