Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG
1,0,0.015621,0.000365,0.004872,0.000224,0.003014,0.000789,0.002296,0.000144,0.002449,0.000228,0.003644,0.004647
1,0,0.005615,0.000129,0.004381,0.000154,0.004355,0.001581,0.002333,0.000105,0.003687,0.00027,0.00257,0.002465
1,0,0.008431,0.000214,0.004223,0.000213,0.003755,0.001566,0.002385,9.4e-05,0.003365,0.000223,0.0021,0.002315
1,0,0.006835,0.000205,0.003594,0.000164,0.002175,0.000743,0.00228,0.000118,0.007307,0.000438,0.003965,0.001554
1,0,0.025146,0.000255,0.004278,0.000211,0.006482,0.002321,0.006614,0.000307,0.004249,0.000356,0.007417,0.002822
1,0,0.023156,0.000244,0.007182,0.000394,0.006706,0.000686,0.007855,0.00028,0.003935,0.000342,0.007322,0.000817
1,0,0.012341,0.000243,0.004101,0.000196,0.002226,0.000517,0.00208,0.000104,0.002084,0.000255,0.002188,0.00122
1,0,0.013893,0.000255,0.006447,0.000273,0.003519,0.00102,0.003307,0.00015,0.005253,0.000582,0.004246,0.002958
1,0,0.012297,0.000199,0.00233,0.000204,0.002196,0.000635,0.002234,9e-05,0.002451,0.000259,0.004173,0.00155
1,0,0.012331,0.000253,0.003045,0.000143,0.002196,0.000935,0.002096,9.1e-05,0.00236,0.000223,0.002858,0.004395
1,20,0.010265,0.000285,0.004485,0.000146,0.002247,0.000655,0.002242,0.000105,0.002207,0.000244,0.00337,0.003171
1,20,0.005276,0.000112,0.003349,0.000134,0.002191,0.000692,0.003679,0.000149,0.004048,0.000202,0.002213,0.001747
1,20,0.006757,0.000187,0.00391,0.000161,0.00201,0.00071,0.002,0.000106,0.003088,0.000256,0.002776,0.003992
1,20,0.004698,0.00011,0.003374,0.000134,0.003564,0.002008,0.002648,0.000129,0.003316,0.0002,0.002238,0.000842
1,20,0.024068,0.000338,0.004116,0.000227,0.007819,0.001935,0.006521,0.000363,0.004117,0.000367,0.008499,0.002751
1,20,0.026862,0.000314,0.008421,0.000457,0.011531,0.001217,0.011339,0.000452,0.008578,0.000646,0.011697,0.001383
1,20,0.016947,0.000338,0.003966,0.000218,0.003344,0.000612,0.002186,0.000136,0.002081,0.00028,0.002254,0.001056
1,20,0.014372,0.000352,0.007547,0.000285,0.004805,0.00185,0.006741,0.000349,0.005961,0.000468,0.00435,0.004394
1,20,0.012203,0.000216,0.004386,0.000263,0.002742,0.001227,0.003028,0.000106,0.003584,0.000351,0.004189,0.003703
1,20,0.019876,0.0003,0.005156,0.000416,0.006155,0.002472,0.002733,0.000124,0.0055,0.000584,0.003665,0.004132
1,40,0.015796,0.000241,0.002363,0.000146,0.005718,0.002176,0.003923,0.00013,0.002544,0.000279,0.004378,0.005077
1,40,0.005816,0.000116,0.006668,0.000211,0.003929,0.001105,0.002339,0.00013,0.003675,0.000243,0.005111,0.003968
1,40,0.004909,9.4e-05,0.003695,0.000173,0.004041,0.001986,0.002122,9.1e-05,0.003125,0.000198,0.002284,0.003172
1,40,0.005638,0.000137,0.003293,0.000112,0.002202,0.000733,0.003574,0.000258,0.004342,0.000255,0.002251,0.000837
1,40,0.022236,0.000294,0.006604,0.000301,0.005936,0.001151,0.008007,0.000431,0.004263,0.000429,0.007461,0.002857
1,40,0.023777,0.000342,0.00587,0.000309,0.005745,0.000668,0.005625,0.000306,0.006795,0.000647,0.00553,0.000596
1,40,0.013435,0.000233,0.002069,0.000126,0.002275,0.000695,0.004174,0.000169,0.002069,0.000246,0.002115,0.001008
1,40,0.01271,0.000261,0.003964,0.000232,0.003372,0.001196,0.005904,0.000224,0.004023,0.000401,0.003466,0.004835
1,40,0.011048,0.000199,0.002878,0.000198,0.00367,0.000786,0.002224,0.000109,0.002081,0.000223,0.002211,0.001461
1,40,0.012648,0.000212,0.002591,0.000194,0.004583,0.002989,0.003452,0.00013,0.002366,0.000259,0.004597,0.005153
1,60,0.016122,0.000266,0.003082,0.000141,0.002345,0.000745,0.003301,0.000226,0.00517,0.000349,0.003482,0.002669
1,60,0.008055,0.000216,0.005599,0.000129,0.002234,0.000646,0.003208,0.000228,0.007846,0.000355,0.002525,0.001897
1,60,0.008747,0.000143,0.004303,0.000155,0.002108,0.000653,0.005645,0.00025,0.005191,0.000303,0.002097,0.001843
1,60,0.007854,0.000293,0.005322,0.000147,0.002283,0.000768,0.003572,0.000177,0.006988,0.000277,0.002468,0.001029
1,60,0.029073,0.000398,0.004351,0.000235,0.009465,0.003046,0.007877,0.000362,0.006836,0.000456,0.008533,0.003336
1,60,0.031415,0.000418,0.00594,0.000356,0.008658,0.001141,0.008624,0.000237,0.007887,0.000635,0.005946,0.000538
1,60,0.016006,0.000314,0.004108,0.00018,0.004433,0.001166,0.002701,0.000107,0.002057,0.000229,0.002269,0.003381
1,60,0.018812,0.00052,0.005986,0.000198,0.005941,0.00287,0.005502,0.000227,0.004863,0.000549,0.007422,0.004869
1,60,0.016,0.000247,0.002564,0.000224,0.006047,0.001785,0.002992,0.00022,0.002205,0.000229,0.003375,0.00403
1,60,0.016677,0.000316,0.004045,0.000154,0.002427,0.001312,0.003849,0.000247,0.004952,0.000638,0.003111,0.002652
