gamma,time_KCHOGL,iter_KCHOGL,time_KCRDKL,iter_KCRDKL
1,0.004320859142857143,1.4114285714285715,0.0027732239047619047,1.4315238095238094
11,0.008328575999999999,1.3922857142857143,0.006894409714285714,1.4108571428571428
21,0.015591920571428573,1.34,0.013997657238095238,1.3397142857142856
31,0.027394779523809528,1.2814285714285714,0.025916623714285714,1.2817142857142858
41,0.04895392323809524,1.34,0.047323774476190475,1.34
51,0.07635460619047618,1.302857142857143,0.07510808685714286,1.3085714285714285
61,0.11026731885714285,1.32,0.1088078039047619,1.32
81,0.19177058495238095,1.326857142857143,0.19039262180952382,1.3276190476190477
91,0.257361065047619,1.4725714285714286,0.25556334590476193,1.4715238095238095
101,0.30619133952380956,1.469142857142857,0.30716036761904764,1.483047619047619
