Gamma, tau, nb_path_to_select, time_master_BA, time_subproblem_BA, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCHOGL, time_subproblem_KCHOGL
11,100,1,0.009911,0.001894,0.008124,0.002561,0.005808,0.003112,0.006264,0.002594
11,100,1,0.030016,0.006316,0.010379,0.003852,0.010069,0.003767,0.007591,0.004395
11,100,1,0.131081,0.009265,0.003751,0.001431,0.004949,0.002089,0.004838,0.00157
11,100,1,0.006841,0.001811,0.005132,0.002236,0.007788,0.003145,0.007668,0.004439
11,100,1,0.316639,0.01792,0.005431,0.00201,0.007113,0.002877,0.004137,0.001436
11,100,1,0.008088,0.00248,0.003385,0.001461,0.006892,0.003428,0.004763,0.003748
11,100,1,0.05958,0.006798,0.005433,0.002246,0.006461,0.001973,0.007479,0.002634
11,100,1,0.023183,0.004233,0.008446,0.003467,0.008339,0.003586,0.009212,0.003969
11,100,1,1.15227,0.021623,0.009156,0.003434,0.009001,0.003628,0.009434,0.003629
11,100,1,0.074147,0.007651,0.003659,0.001833,0.003484,0.001721,0.004742,0.003062
11,100,1,0.670249,0.018601,0.009306,0.003915,0.010552,0.004141,0.00945,0.003824
11,100,1,0.287137,0.015401,0.004732,0.002064,0.005136,0.002404,0.004996,0.003142
11,100,1,0.192119,0.014122,0.008673,0.004312,0.008756,0.004839,0.005827,0.002438
11,100,1,0.00567,0.002184,0.005161,0.002408,0.005983,0.002331,0.003761,0.002202
11,100,1,0.007069,0.00341,0.006494,0.003472,0.005536,0.002626,0.004006,0.001873
11,100,1,0.15845,0.010053,0.004246,0.001771,0.00425,0.001724,0.006504,0.001996
11,100,1,0.048545,0.006484,0.006086,0.002087,0.005189,0.002154,0.005045,0.001943
11,100,1,0.007102,0.002369,0.003362,0.002009,0.005777,0.001875,0.003617,0.002354
11,100,1,0.022666,0.005224,0.007452,0.003995,0.008686,0.004363,0.007628,0.003664
11,100,1,0.312373,0.013513,0.004729,0.002297,0.005826,0.002055,0.00493,0.002383
11,100,1,0.00569,0.002201,0.004718,0.002407,0.00464,0.002282,0.004684,0.002529
11,100,1,0.455987,0.018253,0.008875,0.003326,0.009596,0.003964,0.009642,0.00421
11,100,1,0.058877,0.006458,0.003693,0.001809,0.003726,0.001932,0.004455,0.002965
11,100,1,0.005988,0.002125,0.004525,0.002498,0.004919,0.002503,0.004717,0.003089
11,100,1,0.005724,0.002312,0.005577,0.002611,0.005219,0.002328,0.005014,0.002157
11,100,1,0.012103,0.003776,0.007318,0.003772,0.007591,0.004186,0.008002,0.00355
11,100,1,0.005896,0.002195,0.005094,0.002811,0.004479,0.002358,0.005433,0.001931
11,100,1,0.023031,0.004113,0.007174,0.003229,0.007762,0.003252,0.007098,0.003513
11,100,1,0.006252,0.002352,0.004426,0.002082,0.004352,0.001944,0.00465,0.002509
11,100,1,0.02124,0.004308,0.006874,0.003392,0.007799,0.003309,0.0078,0.003594
11,100,1,0.021728,0.00496,0.006834,0.003275,0.00766,0.003926,0.007774,0.003616
11,100,1,0.012883,0.003562,0.00657,0.002989,0.006896,0.003261,0.007596,0.004342
