Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG
1,0,0.021429,0.00019,0.004014,0.000117,0.007657,0.000583,0.007683,0.000205,0.003813,0.000221,0.007669,0.000573
1,0,0.020527,0.000203,0.003613,0.000123,0.007275,0.000593,0.007262,0.000207,0.003594,0.000224,0.007255,0.000597
1,0,0.0109,0.000154,0.002684,0.000125,0.002657,0.000794,0.002638,9.8e-05,0.002672,0.000218,0.002632,0.001187
1,0,0.020854,0.000203,0.003722,0.000131,0.007706,0.001354,0.007722,0.000207,0.003702,0.000231,0.007715,0.001741
1,0,0.005288,9.9e-05,0.003844,0.000121,0.002692,0.000771,0.002649,9.8e-05,0.00381,0.000219,0.002683,0.001432
1,0,0.005064,0.000102,0.003972,0.000131,0.002736,0.001138,0.002729,0.0001,0.003923,0.00022,0.002725,0.002135
1,0,0.005694,0.000102,0.004052,0.00012,0.002663,0.000786,0.002648,0.000108,0.00401,0.000217,0.002673,0.001421
1,0,0.011149,0.000154,0.002355,0.000118,0.002338,0.000705,0.002311,9.9e-05,0.002303,0.000219,0.0023,0.001058
1,0,0.005337,0.000102,0.003773,0.00012,0.002498,0.000737,0.002459,0.000101,0.003735,0.000222,0.002503,0.001317
1,0,0.011844,0.000154,0.002658,0.00012,0.002641,0.000833,0.002614,0.000101,0.002618,0.00022,0.002668,0.001488
1,0,0.019828,0.000203,0.003369,0.000121,0.006738,0.00121,0.006679,0.000224,0.003375,0.00022,0.006722,0.001208
1,0,0.00982,0.000161,0.002747,0.000119,0.002706,0.000752,0.002699,0.0001,0.002675,0.000219,0.002661,0.001136
1,0,0.018635,0.000209,0.003491,0.00013,0.006896,0.000454,0.00687,0.000208,0.003477,0.000224,0.006877,0.000449
1,0,0.004982,0.000104,0.003836,0.000128,0.002691,0.000768,0.002678,0.0001,0.003764,0.000221,0.002721,0.001381
1,0,0.011039,0.000165,0.004825,0.000189,0.004028,0.001118,0.003976,0.000159,0.004779,0.000337,0.004021,0.001983
1,0,0.005687,0.000104,0.003784,0.000122,0.002512,0.000861,0.002489,0.000102,0.003739,0.000229,0.00253,0.00158
1,0,0.011527,0.000166,0.005054,0.000187,0.004437,0.000924,0.004453,0.000156,0.005077,0.000342,0.00448,0.000911
1,0,0.021275,0.000228,0.003454,0.000121,0.007108,0.000877,0.0071,0.000212,0.003452,0.000225,0.007139,0.00089
1,0,0.011708,0.000155,0.004927,0.000184,0.004118,0.000816,0.00409,0.000156,0.004821,0.00035,0.004124,0.000827
1,0,0.011312,0.000158,0.002692,0.00012,0.002639,0.000834,0.002636,0.000101,0.00262,0.000229,0.002654,0.001544
1,0,0.012461,0.000155,0.004981,0.000186,0.004282,0.001185,0.004268,0.000154,0.004978,0.000349,0.004273,0.001687
1,0,0.005267,0.000102,0.003979,0.000122,0.002699,0.00076,0.002656,0.000101,0.003956,0.000223,0.002666,0.001413
1,0,0.0115,0.000158,0.002776,0.000121,0.002748,0.000552,0.002717,0.000101,0.002714,0.00022,0.002733,0.001282
