Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG
1,40,0.009581,0.000257,0.006711,0.00026,0.004458,0.004509,0.00465,0.000206,0.00598,0.00019,0.004521,0.004653
1,40,0.019769,0.000438,0.007974,0.000375,0.00688,0.007192,0.007329,0.000305,0.007997,0.000349,0.00711,0.00737
1,40,0.019322,0.00042,0.00443,0.000259,0.003192,0.002275,0.002613,0.000139,0.004323,0.000213,0.004381,0.003594
1,40,0.037056,0.000786,0.005801,0.000167,0.023579,0.010403,0.022022,0.000422,0.025217,0.00029,0.024488,0.014647
1,40,0.042224,0.000394,0.007005,0.000567,0.01141,0.004285,0.008715,0.000213,0.004684,0.0002,0.006411,0.006171
1,40,0.009156,0.000349,0.007456,0.000337,0.007779,0.005172,0.007498,0.000193,0.010458,0.000217,0.004733,0.007512
1,40,0.018557,0.00039,0.004027,0.000221,0.003831,0.004319,0.004262,0.000198,0.003941,0.000179,0.003869,0.004196
1,40,0.017361,0.00037,0.004431,0.000241,0.004302,0.004395,0.004262,0.000209,0.003912,0.000188,0.004305,0.003898
1,40,0.019764,0.000407,0.004213,0.000232,0.004703,0.004366,0.004448,0.000218,0.004244,0.000175,0.004666,0.004304
1,40,0.008234,0.000245,0.007263,0.000231,0.004593,0.004128,0.005148,0.000202,0.006102,0.000193,0.004976,0.004374
1,40,0.019285,0.000382,0.004439,0.000216,0.004866,0.002629,0.004785,0.000194,0.004355,0.000196,0.004738,0.002283
1,40,0.019065,0.000387,0.003934,0.000225,0.004246,0.004106,0.003974,0.000151,0.002351,9.7e-05,0.002478,0.003409
1,60,0.03585,0.000538,0.008404,0.000365,0.010151,0.00759,0.010478,0.000442,0.007716,0.00029,0.010446,0.007008
1,60,0.020346,0.000403,0.007432,0.000358,0.007866,0.003734,0.007257,0.000305,0.007787,0.000307,0.006878,0.004003
1,60,0.019315,0.000388,0.007933,0.000332,0.006824,0.005547,0.007298,0.000286,0.007699,0.00031,0.006879,0.006026
1,60,0.020562,0.000405,0.004892,0.000261,0.004536,0.003434,0.004593,0.000279,0.004529,0.000218,0.004392,0.003368
1,60,0.01984,0.00043,0.004299,0.000213,0.004136,0.003575,0.004636,0.00018,0.004301,0.000184,0.004025,0.003514
1,60,0.009429,0.000249,0.00591,0.00024,0.004393,0.004578,0.00397,0.00018,0.005444,0.000259,0.004426,0.003752
1,60,0.009679,0.000276,0.006476,0.000226,0.004469,0.004692,0.004603,0.000191,0.005756,0.000187,0.004495,0.004716
1,60,0.02063,0.0004,0.008637,0.000353,0.006565,0.006726,0.006958,0.000283,0.008225,0.000314,0.0068,0.005866
1,60,0.009766,0.000294,0.006141,0.000228,0.004781,0.004504,0.004397,0.000179,0.006002,0.000208,0.004507,0.003993
1,60,0.019679,0.000421,0.008632,0.000367,0.006746,0.006904,0.006516,0.00027,0.008427,0.000333,0.006819,0.007179
1,60,0.019231,0.00037,0.003936,0.000221,0.004237,0.003653,0.004299,0.00018,0.00394,0.000201,0.004425,0.00335
1,60,0.036719,0.000514,0.005656,0.000233,0.01053,0.009491,0.010762,0.000413,0.009073,0.000303,0.011079,0.007934
1,60,0.018418,0.000356,0.004413,0.000228,0.005207,0.004397,0.004279,0.000177,0.004947,0.000216,0.004509,0.004113
1,60,0.008492,0.000245,0.006806,0.000244,0.005045,0.004075,0.004518,0.000203,0.00544,0.000196,0.004892,0.004015
1,60,0.018501,0.000373,0.003999,0.000218,0.004703,0.004228,0.004268,0.000223,0.004542,0.000232,0.00449,0.003826
1,60,0.017856,0.000356,0.003965,0.000216,0.004507,0.004072,0.004089,0.000178,0.004229,0.000247,0.004546,0.00385
1,60,0.019844,0.000369,0.00423,0.000227,0.004521,0.004208,0.004516,0.000186,0.004667,0.000187,0.004513,0.003953
1,60,0.008569,0.00025,0.006724,0.000225,0.005007,0.004341,0.004719,0.000177,0.00598,0.000228,0.005213,0.00416
1,60,0.019767,0.000405,0.005235,0.000206,0.004673,0.002283,0.004475,0.000191,0.005094,0.000257,0.004543,0.002186
1,60,0.018621,0.000366,0.004891,0.000229,0.004004,0.003971,0.003926,0.000185,0.004465,0.000211,0.004135,0.003859
1,80,0.036893,0.000598,0.009077,0.000349,0.010378,0.008017,0.010835,0.000415,0.007891,0.000297,0.010714,0.007853
1,80,0.020822,0.000381,0.008108,0.000357,0.007641,0.003888,0.007202,0.000294,0.007927,0.000309,0.00746,0.003702
1,80,0.019448,0.000416,0.008259,0.00038,0.006979,0.00561,0.007356,0.000362,0.008047,0.000315,0.007307,0.006021
1,80,0.020801,0.000442,0.005109,0.000224,0.004437,0.003544,0.004992,0.000242,0.004565,0.000205,0.004427,0.003394
1,80,0.02017,0.000376,0.004392,0.000223,0.004052,0.003845,0.004799,0.000227,0.004156,0.000188,0.002819,0.002437
1,80,0.009316,0.000248,0.006519,0.000249,0.004795,0.004257,0.004503,0.000207,0.005677,0.000215,0.004722,0.004393
1,80,0.010668,0.00026,0.004946,0.000183,0.004472,0.004977,0.004855,0.000204,0.006074,0.000205,0.003759,0.004045
1,80,0.020596,0.000415,0.009562,0.000407,0.006302,0.006141,0.00638,0.000237,0.006022,0.000233,0.0058,0.005067
1,80,0.008752,0.000277,0.004652,0.000185,0.002857,0.002994,0.005016,0.000226,0.005182,0.000167,0.003445,0.003346
1,80,0.015011,0.000334,0.008607,0.000463,0.004539,0.005261,0.005267,0.000273,0.004871,0.000163,0.006739,0.005528
1,80,0.013511,0.000262,0.003053,0.000119,0.002482,0.002223,0.00374,0.000189,0.003968,0.000186,0.002557,0.002136
1,80,0.02698,0.000411,0.003621,0.000136,0.008845,0.005675,0.006047,0.000218,0.00664,0.000203,0.006371,0.003431
1,80,0.012025,0.00036,0.002523,0.000121,0.003338,0.002082,0.003335,0.000101,0.00252,0.000111,0.002467,0.00173
1,80,0.005773,0.000214,0.004722,0.000127,0.00264,0.001742,0.002491,0.000103,0.004648,0.000212,0.004028,0.002425
1,80,0.013117,0.000296,0.002369,0.000166,0.002294,0.001753,0.004182,0.000216,0.003786,0.000223,0.00244,0.001668
1,80,0.013157,0.00028,0.002327,0.000116,0.002264,0.001459,0.003699,0.000227,0.003732,0.000169,0.002299,0.001315
1,80,0.013509,0.000338,0.002539,0.000138,0.002495,0.001437,0.003505,0.00018,0.003497,0.000152,0.002699,0.001361
1,80,0.004678,0.000134,0.005542,0.00019,0.002835,0.001673,0.002506,9.8e-05,0.003307,0.000102,0.003413,0.002975
1,80,0.012428,0.000307,0.003509,0.000162,0.003321,0.00111,0.002478,0.00011,0.002416,0.000119,0.00439,0.001217
1,80,0.011178,0.000238,0.003201,0.000193,0.002994,0.001493,0.002162,0.000102,0.002112,0.000103,0.00214,0.001427
1,100,0.02519,0.00031,0.004646,0.000237,0.007593,0.004842,0.007038,0.000277,0.006311,0.000232,0.006879,0.005011
1,100,0.01631,0.000411,0.006103,0.000316,0.005978,0.002519,0.007842,0.000355,0.007907,0.000324,0.007051,0.003148
1,100,0.020552,0.00046,0.008359,0.000369,0.007222,0.005458,0.00677,0.000299,0.009226,0.0003,0.007096,0.006333
1,100,0.018795,0.000525,0.003927,0.00022,0.004574,0.003267,0.004452,0.0002,0.004379,0.000187,0.004994,0.002804
1,100,0.01576,0.000296,0.002655,0.000148,0.002481,0.002425,0.004906,0.000242,0.002904,0.000109,0.002458,0.002363
1,100,0.007658,0.000204,0.004374,0.000187,0.002543,0.002499,0.003766,0.000176,0.00469,0.000151,0.002562,0.002439
1,100,0.007853,0.000247,0.004644,0.000141,0.002717,0.002541,0.003882,0.000164,0.005358,0.00015,0.002694,0.002531
1,100,0.015458,0.000276,0.006254,0.00033,0.005438,0.004155,0.004945,0.000361,0.006922,0.000233,0.004103,0.004881
1,100,0.007504,0.000261,0.003812,0.000134,0.004846,0.004318,0.003029,9.9e-05,0.003591,0.000114,0.004147,0.003997
1,100,0.014055,0.000331,0.005507,0.000228,0.005318,0.005658,0.006081,0.000243,0.005299,0.000275,0.005814,0.004837
1,100,0.014253,0.000292,0.00233,0.00015,0.002401,0.00378,0.004229,0.000172,0.002633,0.000122,0.002388,0.001865
1,100,0.027871,0.000415,0.003339,0.00013,0.008872,0.005487,0.00818,0.000328,0.006578,0.000174,0.00825,0.006483
1,100,0.013835,0.000263,0.002844,0.000131,0.002727,0.002627,0.004748,0.000304,0.003641,0.000104,0.002736,0.002637
1,100,0.007325,0.000204,0.005686,0.000177,0.002891,0.002506,0.005356,0.000177,0.004234,0.000176,0.002799,0.002436
1,100,0.014307,0.000296,0.00243,0.000198,0.004854,0.002481,0.002687,0.000104,0.002485,0.000113,0.002441,0.003968
1,100,0.011898,0.000228,0.004756,0.000295,0.00297,0.002597,0.002506,9.7e-05,0.002424,0.000125,0.004216,0.003944
1,100,0.014932,0.000318,0.002878,0.000158,0.002738,0.002524,0.004467,0.000249,0.003946,0.000142,0.002772,0.002412
1,100,0.006778,0.000224,0.005157,0.000158,0.002838,0.00257,0.003948,0.000171,0.005254,0.000154,0.002775,0.002539
1,100,0.014762,0.000357,0.002699,0.000161,0.004636,0.002465,0.002925,0.000127,0.002615,0.000103,0.002625,0.001362
1,100,0.014592,0.000281,0.004407,0.000202,0.003695,0.003184,0.002433,9.9e-05,0.002461,0.000104,0.003223,0.003632
11,0,0.286126,0.014772,0.013118,0.002449,0.004921,0.006729,0.004648,0.001509,0.006592,0.001687,0.004794,0.006479
11,0,0.223707,0.011657,0.013172,0.002055,0.004261,0.00651,0.004341,0.001475,0.006674,0.00179,0.004236,0.004255
11,0,0.31752,0.014597,0.012667,0.001931,0.00457,0.00343,0.00539,0.002335,0.006888,0.002471,0.005478,0.003852
11,0,0.013696,0.002929,0.023192,0.001842,0.003999,0.003282,0.004878,0.001658,0.004539,0.001592,0.004273,0.00361
11,0,0.012497,0.003121,0.025368,0.002355,0.004829,0.003875,0.003645,0.001449,0.004562,0.001576,0.004256,0.003839
11,0,0.006075,0.002799,0.039436,0.002625,0.004451,0.003365,0.003874,0.001507,0.00454,0.001555,0.005135,0.003456
11,0,0.005978,0.001815,0.02564,0.001963,0.004686,0.004476,0.004219,0.001501,0.005015,0.001806,0.003879,0.002972
11,0,0.63792,0.021369,0.015716,0.002004,0.009568,0.007957,0.009257,0.002965,0.005846,0.002039,0.008245,0.009218
11,0,0.007032,0.002068,0.023525,0.001961,0.005444,0.00341,0.003901,0.001932,0.005379,0.001596,0.004384,0.003974
11,0,0.665134,0.021264,0.011486,0.00237,0.008653,0.009176,0.008102,0.00345,0.00638,0.001749,0.007823,0.008548
11,0,0.02305,0.004969,0.029184,0.001758,0.006205,0.005732,0.007914,0.00328,0.008252,0.003656,0.006544,0.00476
