STANDARD,1,0,4,0.004264,0.004119,6.1e-05
KC,1,0,1,0.000722,0.000684,1.8e-05
STANDARD,1,20,3,0.001699,0.001625,2.9e-05
KC,1,20,1,0.000646,0.000607,2.1e-05
STANDARD,1,40,2,0.001088,0.001044,2.5e-05
KC,1,40,1,0.000664,0.000612,3.1e-05
STANDARD,1,60,2,0.001256,0.00119,2.9e-05
KC,1,60,1,0.001385,0.001297,4.5e-05
STANDARD,1,80,2,0.002884,0.002732,8.1e-05
KC,1,80,1,0.001563,0.001502,2.5e-05
STANDARD,1,100,3,0.002878,0.00275,5.4e-05
KC,1,100,1,0.001483,0.001404,3.6e-05
STANDARD,11,0,5,0.009599,0.008023,0.001316
KC,11,0,1,0.004179,0.003231,0.000508
STANDARD,11,20,4,0.006391,0.005161,0.001088
KC,11,20,1,0.002145,0.001645,0.000316
STANDARD,11,40,3,0.002287,0.001618,0.000616
KC,11,40,1,0.004444,0.003217,0.000476
STANDARD,11,60,3,0.002441,0.001809,0.000588
KC,11,60,1,0.001875,0.001415,0.000219
STANDARD,11,80,4,0.006012,0.004712,0.001192
KC,11,80,1,0.001599,0.001201,0.000238
STANDARD,11,100,2,0.001056,0.000842,0.000196
KC,11,100,1,0.002984,0.001914,0.000672
STANDARD,21,0,3,0.003474,0.001956,0.001451
KC,21,0,1,0.00658,0.004912,0.001211
STANDARD,21,20,3,0.003761,0.002011,0.001709
KC,21,20,1,0.006426,0.004403,0.000832
STANDARD,21,40,3,0.00689,0.004002,0.002746
KC,21,40,1,0.00407,0.002794,0.000725
STANDARD,21,60,4,0.006927,0.004685,0.002105
KC,21,60,1,0.004792,0.002405,0.001518
STANDARD,21,80,3,0.002512,0.00158,0.000898
KC,21,80,1,0.003025,0.001904,0.000612
STANDARD,21,100,2,0.00161,0.001035,0.000555
KC,21,100,1,0.00376,0.002479,0.000649
STANDARD,31,0,4,0.005873,0.003071,0.002747
KC,31,0,1,0.00861,0.005075,0.001778
STANDARD,31,20,3,0.004294,0.002102,0.002156
KC,31,20,1,0.007659,0.00384,0.002376
STANDARD,31,40,3,0.003886,0.001783,0.00207
KC,31,40,1,0.008097,0.005848,0.001318
STANDARD,31,60,3,0.003474,0.001664,0.001764
KC,31,60,1,0.00613,0.003786,0.001374
STANDARD,31,80,4,0.006139,0.003174,0.002896
KC,31,80,1,0.005001,0.002696,0.001349
STANDARD,31,100,3,0.004064,0.001962,0.002063
KC,31,100,1,0.009125,0.004442,0.002077
STANDARD,41,0,3,0.008061,0.002932,0.005025
KC,41,0,1,0.013715,0.007708,0.002084
STANDARD,41,20,3,0.005618,0.002257,0.003322
KC,41,20,1,0.012081,0.005182,0.004767
STANDARD,41,40,3,0.01078,0.004378,0.006297
KC,41,40,1,0.009453,0.004326,0.00201
STANDARD,41,60,5,0.01585,0.006886,0.008661
KC,41,60,1,0.016999,0.005487,0.007193
STANDARD,41,80,4,0.011952,0.005318,0.006395
KC,41,80,1,0.007726,0.003528,0.002017
STANDARD,41,100,2,0.004427,0.001285,0.003116
KC,41,100,1,0.013007,0.006967,0.0022
