Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.071592,0.000346,0.089108,0.000195,0.11196,0.000177,0.101818,0.001262,0.035972,0.001767,0.04195,0.002228,0.03505,0.002164,0.030712,0.000133,0.033212,0.00018,0.067793,0.003255,0.067717,0.003434
21,90,2,600,0.173161,0.021284,0.133899,0.009537,0.1185,0.006683,0.387822,0.035082,0.194791,0.01804,0.052289,0.032683,0.05388,0.044423,0.06529,0.012498,0.087201,0.013051,0.065533,0.044527,0.091788,0.051811
41,90,2,600,0.101824,0.058322,0.118378,0.030144,0.104223,0.024005,1.06211,0.072935,0.72659,0.065758,0.070678,0.109691,0.071553,0.098774,0.065929,0.038234,0.089391,0.03922,0.064133,0.101832,0.069288,0.097504
61,90,2,600,0.095771,0.118554,0.109178,0.060753,0.104044,0.045608,1.98249,0.122722,1.80105,0.140206,0.088279,0.176977,0.089854,0.187512,0.086538,0.080501,0.112548,0.080957,0.105229,0.222006,0.093154,0.180895
81,90,2,600,0.096527,0.202663,0.110449,0.101266,0.087043,0.076465,2.96374,0.192349,3.01296,0.238078,0.152783,0.352828,0.125005,0.340874,0.123895,0.137353,0.142796,0.136485,0.123828,0.33939,0.129545,0.302321
101,90,2,600,0.104477,0.305652,0.119765,0.154225,0.114817,0.115694,6.04452,0.325542,5.94763,0.321277,0.168042,0.473782,0.162031,0.388812,0.161814,0.209723,0.178722,0.209041,0.162192,0.494411,0.161555,0.503928
1,90,2,600,0.062085,0.000335,0.066917,0.000212,0.067008,0.000146,0.025034,0.002173,0.034828,0.002039,0.028809,0.001963,0.029115,0.001574,0.026927,0.000147,0.030618,0.000169,0.035746,0.00165,0.039736,0.001955
21,90,2,600,0.095423,0.016317,0.12784,0.00857,0.091295,0.00658,0.191558,0.022646,0.176797,0.029739,0.050006,0.038967,0.056036,0.039469,0.052479,0.013014,0.079635,0.013997,0.048052,0.043985,0.06098,0.03862
41,90,2,600,0.102994,0.056965,0.108238,0.029877,0.095626,0.022738,0.661171,0.066366,0.483742,0.059678,0.068294,0.089962,0.136815,0.096896,0.113473,0.041528,0.165961,0.049095,0.061762,0.10177,0.065008,0.099477
61,90,2,600,0.102028,0.120962,0.111785,0.06202,0.103094,0.047598,1.49036,0.121043,1.50476,0.128648,0.093661,0.197882,0.09225,0.206024,0.085879,0.081821,0.103674,0.083146,0.082917,0.187663,0.08555,0.182156
81,90,2,600,0.103468,0.201815,0.113042,0.102443,0.089184,0.076341,2.34369,0.220221,2.12702,0.20644,0.12084,0.337731,0.117474,0.289434,0.117266,0.137104,0.12592,0.137196,0.118463,0.343813,0.115294,0.287371
