gamma,time_KCAll,iter_KCAll,time_KCFew,iter_KCFew
1,0.00561644,1.32,0.00593894,1.32
21,0.05656532,1.0,0.05693436,1.0
41,0.17080824,1.0,0.16993518000000002,1.0
61,0.28377372,1.0,0.28699564,1.0
81,0.44064056,1.0,0.44090834,1.0
101,0.6643629799999999,1.0,0.66763798,1.0
