Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,0.010698,0.00038
21,100,0.03412,0.005394
41,100,0.086291,0.030922
61,100,0.159805,0.057208
81,100,0.197772,0.092129
101,100,0.296214,0.149614
1,100,0.002594,0.000191
21,100,0.042836,0.005971
41,100,0.151941,0.028249
61,100,0.204297,0.048437
81,100,0.308319,0.085729
101,100,0.462597,0.125512
1,100,0.004032,0.000257
21,100,0.032513,0.006995
41,100,0.112102,0.028216
61,100,0.172176,0.049601
81,100,0.227693,0.090098
101,100,0.303339,0.125693
1,100,0.006172,0.000432
21,100,0.01685,0.006035
41,100,0.049082,0.024745
61,100,0.090365,0.050793
81,100,0.131196,0.082353
101,100,0.241606,0.128071
1,100,0.005106,0.000306
21,100,0.072935,0.006571
41,100,0.150348,0.027241
61,100,0.241604,0.049786
81,100,0.367859,0.084498
101,100,0.486234,0.125197
1,100,0.006492,0.000456
21,100,0.020748,0.006604
41,100,0.057956,0.030757
61,100,0.106728,0.052676
81,100,0.176747,0.086069
101,100,0.237116,0.12414
1,100,0.004653,0.000208
21,100,0.075255,0.006005
41,100,0.166784,0.030478
61,100,0.237697,0.050313
81,100,0.366536,0.086919
101,100,0.494575,0.136313
1,100,0.006543,0.000369
21,100,0.025307,0.005837
41,100,0.10897,0.02397
61,100,0.162575,0.049315
81,100,0.218006,0.087915
101,100,0.283585,0.124789
1,100,0.003972,0.000305
21,100,0.019151,0.005773
41,100,0.063168,0.028036
61,100,0.111258,0.053699
81,100,0.199861,0.083038
101,100,0.231655,0.121576
1,100,0.006457,0.000334
21,100,0.016272,0.005692
41,100,0.05122,0.025526
61,100,0.103712,0.048414
81,100,0.141735,0.0824
101,100,0.233125,0.125904
1,100,0.002768,0.000228
21,100,0.051669,0.008532
41,100,0.143264,0.02973
61,100,0.234487,0.053469
81,100,0.342253,0.085663
101,100,0.491018,0.124369
1,100,0.006473,0.000429
21,100,0.01786,0.007216
41,100,0.048613,0.029501
61,100,0.114049,0.049131
81,100,0.248156,0.090461
101,100,0.275092,0.171394
1,100,0.011177,0.000646
21,100,0.039923,0.012421
41,100,0.094139,0.04171
61,100,0.150215,0.053719
81,100,0.222941,0.105609
101,100,0.325828,0.143091
1,100,0.003457,0.000236
21,100,0.049799,0.007441
41,100,0.143767,0.027486
61,100,0.327283,0.068288
81,100,0.321603,0.087207
101,100,0.485125,0.126338
1,100,0.004483,0.000233
21,100,0.070884,0.011005
41,100,0.180458,0.029594
61,100,0.237725,0.049416
81,100,0.349509,0.082859
101,100,0.500189,0.14723
1,100,0.008054,0.000594
21,100,0.019199,0.006635
41,100,0.080559,0.027934
61,100,0.134234,0.053054
81,100,0.227166,0.086984
101,100,0.249466,0.122346
1,100,0.006166,0.000463
21,100,0.01155,0.005828
41,100,0.030934,0.03078
61,100,0.082719,0.04894
81,100,0.182807,0.08274
101,100,0.227077,0.126642
1,100,0.004414,0.000227
21,100,0.041323,0.00645
41,100,0.154761,0.028151
61,100,0.211681,0.047856
81,100,0.259389,0.094785
101,100,0.398016,0.13433
1,100,0.002515,0.000148
21,100,0.047773,0.006314
41,100,0.153866,0.029326
61,100,0.212098,0.046674
81,100,0.31213,0.079126
101,100,0.428285,0.128013
1,100,0.006454,0.00036
21,100,0.027432,0.006777
41,100,0.130429,0.026501
61,100,0.179302,0.052506
81,100,0.238056,0.10069
101,100,0.336616,0.127611
1,100,0.004494,0.000178
21,100,0.072848,0.006003
41,100,0.145479,0.028608
61,100,0.253462,0.050867
81,100,0.344233,0.084112
101,100,0.474951,0.123943
1,100,0.006599,0.000391
21,100,0.024877,0.007241
41,100,0.103219,0.031024
61,100,0.144297,0.05372
81,100,0.19273,0.085126
101,100,0.268874,0.124698
1,100,0.004547,0.000196
21,100,0.038825,0.007855
41,100,0.146765,0.026966
61,100,0.216118,0.05044
81,100,0.436626,0.111881
101,100,0.559569,0.148071
1,100,0.004249,0.000259
21,100,0.030247,0.007195
41,100,0.134876,0.029725
61,100,0.193564,0.05139
81,100,0.306752,0.084769
101,100,0.389924,0.131706
1,100,0.002748,0.000197
21,100,0.046831,0.006371
41,100,0.165973,0.035129
61,100,0.254001,0.051405
81,100,0.34313,0.096015
101,100,0.423881,0.123305
1,100,0.006749,0.000374
21,100,0.007867,0.006163
41,100,0.023561,0.02595
61,100,0.04831,0.049802
81,100,0.096,0.084399
101,100,0.174095,0.127556
1,100,0.002938,0.000163
21,100,0.048641,0.007865
41,100,0.146209,0.027779
61,100,0.185689,0.053496
81,100,0.272765,0.079287
101,100,0.560036,0.130248
1,100,0.007115,0.000447
21,100,0.016617,0.006699
41,100,0.042003,0.025275
61,100,0.104138,0.055337
81,100,0.149608,0.082233
101,100,0.182321,0.118735
1,100,0.007219,0.00035
21,100,0.025592,0.007827
41,100,0.095938,0.026182
61,100,0.157953,0.049821
81,100,0.210872,0.081576
101,100,0.285245,0.133616
1,100,0.007357,0.000404
21,100,0.023487,0.007075
41,100,0.069708,0.03021
61,100,0.125789,0.0511
81,100,0.195564,0.081914
101,100,0.277376,0.137821
1,100,0.006432,0.000378
21,100,0.049999,0.009061
41,100,0.172732,0.030903
61,100,0.291435,0.049682
81,100,0.518041,0.105214
101,100,0.803218,0.129006
1,100,0.004832,0.000228
21,100,0.054327,0.006292
41,100,0.175344,0.030551
61,100,0.248078,0.079319
81,100,0.342707,0.105235
101,100,0.425065,0.133807
1,100,0.004818,0.000192
21,100,0.027495,0.008327
41,100,0.067396,0.03153
61,100,0.106669,0.052478
81,100,0.233253,0.080336
101,100,0.300522,0.125889
1,100,0.004215,0.000243
21,100,0.028514,0.00583
41,100,0.098343,0.037843
61,100,0.137004,0.063053
81,100,0.212772,0.082621
101,100,0.373524,0.127195
1,100,0.004792,0.000261
21,100,0.048857,0.006622
41,100,0.145032,0.028678
61,100,0.243734,0.054453
81,100,0.350029,0.0847
101,100,0.504571,0.138755
1,100,0.002829,0.000234
21,100,0.046477,0.006418
41,100,0.141273,0.029173
61,100,0.231172,0.051846
81,100,0.295659,0.082977
101,100,0.423826,0.12203
