Fichier, Gamma, tau, time_master_classic, time_subproblem_classic, time_master_matrix, time_subproblem_matrix, time_master_augmented, time_subproblem_augmented, time_master_augmented_HOG, time_subproblem_augmented_HOG
toy_instances/toy_instance_1.txt,1,0,0.004797,7.9e-05,0.001195,2e-05,0.000857,4.8e-05,0.000912,2.2e-05
toy_instances/toy_instance_1.txt,1,20,0.001458,4.5e-05,0.000945,2.2e-05,0.001132,2.7e-05,0.001217,4.3e-05
toy_instances/toy_instance_1.txt,1,40,0.003202,5.7e-05,0.001488,2.8e-05,0.001754,5.7e-05,0.001135,5.4e-05
toy_instances/toy_instance_1.txt,1,60,0.002222,7.3e-05,0.001415,7e-05,0.000912,4e-05,0.0011,7.8e-05
toy_instances/toy_instance_1.txt,1,80,0.002409,6.9e-05,0.002859,3.6e-05,0.001423,3.5e-05,0.001564,7.7e-05
toy_instances/toy_instance_1.txt,1,100,0.002297,3.9e-05,0.001538,2.6e-05,0.001167,4.2e-05,0.001171,9.4e-05
toy_instances/toy_instance_1.txt,11,0,0.004179,0.000896,0.002903,0.000351,0.005606,0.00048,0.002267,0.002067
toy_instances/toy_instance_1.txt,11,20,0.004953,0.000955,0.002362,0.000312,0.00207,0.000344,0.00214,0.002158
toy_instances/toy_instance_1.txt,11,40,0.003758,0.000746,0.001283,0.000203,0.002326,0.000261,0.001198,0.001543
toy_instances/toy_instance_1.txt,11,60,0.003583,0.000803,0.003076,0.0004,0.003352,0.000355,0.001591,0.004881
toy_instances/toy_instance_1.txt,11,80,0.004894,0.000937,0.00199,0.00032,0.001879,0.000399,0.003559,0.000915
toy_instances/toy_instance_1.txt,11,100,0.002906,0.00074,0.001418,0.000234,0.002389,0.000316,0.001796,0.001128
toy_instances/toy_instance_1.txt,21,0,0.005031,0.00264,0.001697,0.000605,0.003364,0.001288,0.004032,0.003434
toy_instances/toy_instance_1.txt,21,20,0.000959,0.000723,0.001546,0.001041,0.005479,0.001472,0.002408,0.002405
toy_instances/toy_instance_1.txt,21,40,0.004689,0.002502,0.001691,0.000581,0.002815,0.000974,0.003535,0.002101
toy_instances/toy_instance_1.txt,21,60,0.00272,0.001593,0.001209,0.000372,0.002258,0.001677,0.003217,0.001627
toy_instances/toy_instance_1.txt,21,80,0.002538,0.001303,0.001311,0.000421,0.005785,0.0013,0.001702,0.003938
toy_instances/toy_instance_1.txt,21,100,0.003955,0.002209,0.002873,0.000955,0.00206,0.000752,0.001242,0.000858
toy_instances/toy_instance_1.txt,31,0,0.007445,0.006663,0.003273,0.002595,0.004638,0.002386,0.006463,0.002049
toy_instances/toy_instance_1.txt,31,20,0.003776,0.003821,0.003404,0.001034,0.002407,0.001517,0.005589,0.003209
toy_instances/toy_instance_1.txt,31,40,0.0029,0.004004,0.004197,0.001704,0.009106,0.001994,0.002884,0.002999
toy_instances/toy_instance_1.txt,31,60,0.004654,0.00481,0.001766,0.002231,0.00505,0.002002,0.005305,0.003045
toy_instances/toy_instance_1.txt,31,80,0.002565,0.003462,0.004154,0.001258,0.00385,0.001675,0.002764,0.006566
toy_instances/toy_instance_1.txt,31,100,0.001219,0.001362,0.003218,0.002671,0.003308,0.002588,0.005286,0.003939
toy_instances/toy_instance_1.txt,41,0,0.005698,0.007428,0.00605,0.00277,0.010614,0.002846,0.005873,0.006119
toy_instances/toy_instance_1.txt,41,20,0.001395,0.002176,0.005847,0.004108,0.009344,0.003234,0.00362,0.006205
toy_instances/toy_instance_1.txt,41,40,0.003925,0.005377,0.004922,0.004701,0.009718,0.00204,0.004126,0.007134
toy_instances/toy_instance_1.txt,41,60,0.004383,0.005019,0.003419,0.003913,0.004926,0.004046,0.003424,0.005034
toy_instances/toy_instance_1.txt,41,80,0.002705,0.004248,0.00592,0.003426,0.006318,0.005449,0.005778,0.006969
toy_instances/toy_instance_1.txt,41,100,0.001681,0.002844,0.004632,0.004576,0.007333,0.002358,0.004465,0.004391
toy_instances/toy_instance_1.txt,51,0,0.004038,0.00656,0.008331,0.004987,0.021846,0.004516,0.006057,0.012233
toy_instances/toy_instance_1.txt,51,20,0.001939,0.004995,0.006713,0.010135,0.013544,0.004153,0.009097,0.011387
toy_instances/toy_instance_1.txt,51,40,0.001688,0.008126,0.008248,0.004693,0.006832,0.010646,0.005724,0.005479
toy_instances/toy_instance_1.txt,51,60,0.004041,0.011081,0.004726,0.008435,0.01336,0.004921,0.003578,0.009409
toy_instances/toy_instance_1.txt,51,80,0.003326,0.010759,0.00701,0.007813,0.006825,0.003648,0.007708,0.013528
toy_instances/toy_instance_1.txt,51,100,0.001523,0.006058,0.011094,0.006852,0.005854,0.00477,0.009893,0.008179
toy_instances/toy_instance_1.txt,61,0,0.006116,0.012238,0.014246,0.008649,0.017969,0.008364,0.011583,0.008972
